,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.246,0.06,rain,23.55,24.75,23.55,1.0,1009.7,1.04,1.24,187,0.71,7,10.331,265.5
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.401,0.07,rain,24.96,26.23,24.96,1.0,1009.2,1.21,1.5,221,0.71,7,7.594,264.7
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5048,0.07,rain,25.77,27.58,25.77,1.0,1008.4,1.36,1.63,225,0.7,7,10.436,264.1
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5683,0.07,rain,25.92,28.09,25.92,1.0,1007.6,1.46,1.72,231,0.69,6,15.408,263.7
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5695,0.08,rain,25.19,26.25,25.19,1.0,1007.1,1.44,1.76,229,0.68,4,16.093,264.0
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4892,0.09,rain,24.18,25.7,24.18,1.0,1006.7,1.27,1.7,221,0.7,2,16.093,265.0
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3832,0.09,rain,23.04,24.68,23.04,1.0,1006.6,1.02,1.62,255,0.71,1,16.093,266.4
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3136,0.08,rain,22.26,23.91,22.26,1.0,1006.9,0.8,1.51,233,0.73,0,16.093,267.1
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.2815,0.08,rain,21.34,22.91,21.34,1.0,1007.7,0.62,1.36,192,0.75,0,16.093,267.1
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2715,0.07,rain,20.58,22.0,20.58,1.0,1008.8,0.47,1.2,82,0.77,0,10.757,266.8
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2689,0.07,rain,20.04,21.32,20.04,1.0,1009.5,0.39,1.11,104,0.79,0,8.245,266.3
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2622,0.07,rain,19.72,20.89,19.72,1.0,1009.8,0.41,1.12,113,0.82,0,11.202,265.7
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2642,0.09,rain,19.46,20.54,19.46,1.0,1009.8,0.47,1.17,122,0.85,0,15.846,265.0
13,2020-09-09 00:00:00,Overcast,cloudy,0.2682,0.11,rain,19.23,20.24,19.23,1.0,1009.8,0.5,1.19,128,0.89,0,16.093,264.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.2652,0.11,rain,18.96,19.92,18.96,1.0,1009.6,0.5,1.18,136,0.92,0,16.093,263.0
15,2020-09-09 02:00:00,Overcast,cloudy,0.2801,0.1,rain,18.96,19.92,18.96,1.0,1009.4,0.49,1.15,159,0.96,0,13.702,261.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.317,0.1,rain,19.01,19.97,19.01,1.0,1009.3,0.48,1.13,141,0.96,0,13.667,261.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.3774,0.13,rain,18.9,19.85,18.9,1.0,1009.3,0.47,1.08,135,0.94,0,16.093,262.7
