,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2428,0.06,rain,22.55,23.86,22.55,1,1009.7,1.06,1.29,188,0.75,7,10.601,265.4
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3886,0.07,rain,23.79,25.08,23.79,1,1009.1,1.23,1.54,209,0.75,7,7.908,264.7
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.49,0.07,rain,24.47,25.75,24.47,1,1008.4,1.37,1.65,215,0.74,7,10.69,264.1
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5549,0.07,rain,24.54,25.86,24.54,1,1007.6,1.47,1.71,221,0.73,6,15.549,263.7
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5574,0.08,rain,23.79,25.23,23.79,1,1007.1,1.45,1.72,221,0.72,4,16.093,264.0
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4779,0.09,rain,22.74,24.34,22.74,1,1006.7,1.28,1.65,216,0.73,2,16.093,265.1
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.375,0.09,rain,21.52,23.25,21.52,1,1006.6,1.03,1.57,237,0.74,1,16.093,266.5
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3078,0.08,rain,20.74,22.46,20.74,1,1006.8,0.8,1.45,221,0.76,0,16.093,267.2
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.2732,0.08,rain,20.0,21.66,20.0,1,1007.7,0.61,1.29,185,0.77,0,16.093,267.2
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2586,0.07,rain,19.3,20.79,19.3,1,1008.8,0.43,1.12,93,0.78,0,11.064,266.8
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2554,0.07,rain,18.79,20.14,18.79,1,1009.5,0.34,1.03,98,0.8,0,8.472,266.2
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.255,0.07,rain,18.57,19.84,18.57,1,1009.8,0.35,1.04,105,0.83,0,11.042,265.6
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.2624,0.1,rain,18.5,19.69,18.5,1,1009.8,0.41,1.09,117,0.86,0,15.18,264.9
13,2020-09-09 00:00:00,Overcast,cloudy,0.2705,0.12,rain,18.39,19.52,18.39,1,1009.7,0.44,1.13,126,0.9,0,16.093,264.0
14,2020-09-09 01:00:00,Overcast,cloudy,0.274,0.11,rain,18.36,19.47,18.36,1,1009.6,0.45,1.13,133,0.93,0,14.715,262.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.296,0.11,rain,18.4,19.5,18.4,1,1009.3,0.46,1.12,158,0.96,0,11.843,261.8
16,2020-09-09 03:00:00,Overcast,cloudy,0.3367,0.11,rain,18.38,19.47,18.38,1,1009.2,0.46,1.1,119,0.97,0,11.858,261.6
17,2020-09-09 04:00:00,Overcast,cloudy,0.3965,0.14,rain,18.2,19.27,18.2,1,1009.3,0.45,1.05,129,0.95,0,16.093,262.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.4847,0.19,rain,17.97,19.04,17.97,1,1009.4,0.45,1.0,116,0.9,0,16.093,264.1
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.5288,0.2,rain,17.79,18.89,17.79,1,1009.6,0.47,1.01,108,0.8,0,16.093,265.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.4757,0.17,rain,18.29,19.45,18.29,1,1010.1,0.53,1.06,109,0.62,1,16.093,265.3
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.3888,0.14,rain,19.28,20.53,19.28,1,1010.5,0.62,1.16,134,0.43,2,16.093,265.2
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.3188,0.11,rain,20.21,21.51,20.21,1,1010.6,0.74,1.33,158,0.33,5,16.093,264.5
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.2835,0.1,rain,21.14,22.5,21.14,1,1010.1,0.9,1.6,164,0.36,7,12.242,262.9
24,2020-09-09 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3207,0.09,rain,22.57,23.95,22.57,1,1009.5,1.08,1.9,172,0.46,9,7.252,261.0
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4229,0.09,rain,23.45,24.85,23.45,1,1008.7,1.18,2.07,196,0.57,8,5.457,259.9
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5705,0.09,rain,23.73,25.15,23.73,1,1007.8,1.18,2.07,208,0.73,7,8.084,259.8
27,2020-09-09 14:00:00,Humid and Overcast,cloudy,0.7233,0.11,rain,23.24,24.72,23.24,1,1006.8,1.12,1.99,220,0.89,5,12.404,260.2
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.7419,0.11,rain,22.36,23.9,22.36,1,1006.1,1.07,1.94,222,0.99,4,15.555,260.3
29,2020-09-09 16:00:00,Overcast,cloudy,0.5645,0.1,rain,21.5,23.17,21.5,1,1005.5,1.01,1.94,218,1.0,2,16.093,260.2
30,2020-09-09 17:00:00,Overcast,cloudy,0.3603,0.09,rain,21.05,22.79,21.05,1,1005.2,0.95,1.93,226,1.0,1,16.093,259.9
31,2020-09-09 18:00:00,Overcast,cloudy,0.2567,0.09,rain,20.44,22.12,20.44,1,1005.4,0.87,1.84,207,0.98,0,16.093,259.8
32,2020-09-09 19:00:00,Overcast,cloudy,0.2356,0.08,rain,19.86,21.45,19.86,1,1006.2,0.75,1.63,123,0.91,0,12.624,259.7
33,2020-09-09 20:00:00,Mostly Cloudy,partly-cloudy-night,0.231,0.08,rain,19.15,20.58,19.15,1,1007.3,0.63,1.39,16,0.83,0,7.638,259.6
34,2020-09-09 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2012,0.08,rain,18.63,19.9,18.63,1,1007.9,0.58,1.24,334,0.79,0,6.972,259.2
35,2020-09-09 22:00:00,Mostly Cloudy,partly-cloudy-night,0.1392,0.09,rain,18.31,19.45,18.31,1,1007.9,0.61,1.24,345,0.81,0,12.548,258.4
36,2020-09-09 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0845,0.09,rain,18.09,19.11,18.09,1,1007.7,0.67,1.29,4,0.84,0,16.093,257.5
37,2020-09-10 00:00:00,Overcast,cloudy,0.05,0.07,rain,17.77,18.68,17.77,1,1007.3,0.71,1.29,355,0.88,0,16.093,256.8
38,2020-09-10 01:00:00,Overcast,cloudy,0.0307,0.13,rain,17.56,18.4,17.56,1,1007.0,0.68,1.2,355,0.93,0,16.093,256.4
39,2020-09-10 02:00:00,Overcast,cloudy,0.0383,0.13,rain,17.4,18.2,17.4,1,1006.6,0.64,1.1,2,0.97,0,16.093,256.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.0621,0.11,rain,17.34,18.1,17.34,1,1006.5,0.64,1.08,9,1.0,0,16.093,256.7
41,2020-09-10 04:00:00,Overcast,cloudy,0.1002,0.09,rain,17.26,18.0,17.26,1,1006.6,0.7,1.2,16,1.0,0,16.093,257.6
42,2020-09-10 05:00:00,Overcast,cloudy,0.1633,0.08,rain,17.18,17.92,17.18,1,1006.7,0.77,1.33,24,0.99,0,16.093,258.7
43,2020-09-10 06:00:00,Overcast,cloudy,0.1742,0.08,rain,17.07,17.81,17.07,1,1006.9,0.79,1.33,41,0.99,0,16.093,259.4
44,2020-09-10 07:00:00,Overcast,cloudy,0.0851,0.07,rain,18.02,18.79,18.02,1,1007.2,0.71,1.08,67,0.99,1,16.093,259.7
45,2020-09-10 08:00:00,Overcast,cloudy,0.0175,0.05,rain,19.35,20.17,19.35,1,1007.2,0.62,0.81,98,1.0,2,16.093,259.8
46,2020-09-10 09:00:00,Overcast,cloudy,0.0247,0.04,rain,20.52,21.38,20.52,1,1007.0,0.65,0.82,122,0.99,4,16.093,259.4
47,2020-09-10 10:00:00,Overcast,cloudy,0.114,0.06,rain,21.62,22.56,21.62,1,1007.0,0.86,1.26,146,0.95,5,16.093,258.8
48,2020-09-10 11:00:00,Humid and Overcast,cloudy,0.3095,0.07,rain,23.02,24.05,23.02,1,1006.4,1.12,1.8,178,0.91,6,14.129,258.0
