,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 10:45:00,Foggy,fog,0.2825,0.08,rain,21.43,22.9,21.43,1,1010.9,1.45,1.76,313,0.43,8,1.671,264.4
1,2020-09-08 11:45:00,Foggy,fog,0.4836,0.1,rain,21.92,23.51,21.92,1,1010.3,1.49,1.83,318,0.52,8,1.374,264.1
2,2020-09-08 12:45:00,Foggy,fog,0.5581,0.1,rain,21.79,23.6,21.79,1,1009.7,1.5,1.82,321,0.6,8,1.034,263.9
3,2020-09-08 13:45:00,Foggy,fog,0.5677,0.11,rain,21.28,23.32,21.28,1,1008.9,1.48,1.75,323,0.68,6,1.062,263.4
4,2020-09-08 14:45:00,Foggy,fog,0.5563,0.1,rain,20.51,22.79,20.51,1,1008.3,1.45,1.64,325,0.74,5,1.272,263.4
5,2020-09-08 15:45:00,Foggy,fog,0.4881,0.09,rain,20.31,22.6,20.31,1,1007.9,1.44,1.51,322,0.75,3,1.249,263.7
6,2020-09-08 16:45:00,Foggy,fog,0.3825,0.1,rain,20.1,22.31,20.1,1,1007.6,1.44,1.44,322,0.73,1,1.817,264.3
7,2020-09-08 17:45:00,Foggy,fog,0.3048,0.08,rain,19.93,21.89,19.93,1,1007.8,1.43,1.43,327,0.73,0,2.827,264.8
8,2020-09-08 18:45:00,Mostly Cloudy,partly-cloudy-night,0.2858,0.07,rain,19.59,21.28,19.59,1,1008.6,1.4,1.4,57,0.8,0,9.283,264.9
9,2020-09-08 19:45:00,Overcast,cloudy,0.2824,0.05,rain,19.11,20.52,19.11,1,1009.8,1.39,1.39,44,0.89,0,16.093,264.8
10,2020-09-08 20:45:00,Overcast,cloudy,0.2448,0.06,rain,18.72,19.92,18.72,1,1010.7,1.4,1.4,23,0.96,0,16.093,264.7
11,2020-09-08 21:45:00,Overcast,cloudy,0.1425,0.05,rain,18.49,19.57,18.49,1,1011.1,1.45,1.45,17,0.97,0,16.093,264.3
12,2020-09-08 22:45:00,Overcast,cloudy,0.0495,0.04,rain,18.36,19.45,18.36,1,1011.1,1.52,1.52,20,0.98,0,16.093,263.9
13,2020-09-08 23:45:00,Overcast,cloudy,0.0154,0.03,rain,18.16,19.19,18.16,1,1010.5,1.56,1.56,21,0.94,0,16.093,263.7
14,2020-09-09 00:45:00,Mostly Cloudy,partly-cloudy-night,0.0173,0.03,rain,18.07,19.04,18.07,1,1010.4,1.54,1.54,21,0.82,0,16.093,263.4
15,2020-09-09 01:45:00,Mostly Cloudy,partly-cloudy-night,0.0385,0.04,rain,18.07,19.0,18.07,1,1010.7,1.5,1.5,21,0.65,0,16.093,263.3
16,2020-09-09 02:45:00,Partly Cloudy,partly-cloudy-night,0.0615,0.04,rain,18.37,19.25,18.37,1,1010.7,1.43,1.44,22,0.55,0,16.093,263.3
17,2020-09-09 03:45:00,Partly Cloudy,partly-cloudy-night,0.0673,0.04,rain,18.35,19.2,18.35,1,1010.8,1.34,1.35,20,0.56,0,16.093,263.4
18,2020-09-09 04:45:00,Mostly Cloudy,partly-cloudy-night,0.0692,0.05,rain,18.09,18.94,18.09,1,1011.0,1.23,1.23,19,0.63,0,16.093,263.6
19,2020-09-09 05:45:00,Mostly Cloudy,partly-cloudy-night,0.0681,0.04,rain,17.66,18.62,17.66,1,1011.2,1.18,1.18,24,0.71,0,16.093,263.8
