,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.2333,0.09,rain,18.16,19.68,18.16,1,1010.6,1.89,2.0,305,0.17,10,5.714,264.7
1,2020-09-08 12:00:00,Foggy,fog,0.346,0.11,rain,18.8,20.44,18.8,1,1009.9,1.97,2.2,309,0.27,10,1.614,264.4
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.4208,0.12,rain,19.65,21.21,19.65,1,1009.1,1.97,2.16,308,0.42,9,3.592,263.9
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.4662,0.1,rain,20.08,21.52,20.08,1,1008.3,1.93,1.98,308,0.59,7,7.974,263.6
4,2020-09-08 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4721,0.09,rain,20.02,21.42,20.02,1,1007.8,1.82,1.83,308,0.7,4,11.478,263.6
5,2020-09-08 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4306,0.1,rain,19.72,21.18,19.72,1,1007.4,1.63,1.63,307,0.74,2,13.516,263.8
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.3587,0.1,rain,19.09,20.59,19.09,1,1007.3,1.42,1.42,312,0.75,1,15.395,264.1
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.2802,0.08,rain,18.4,19.85,18.4,1,1007.6,1.35,1.35,348,0.75,0,16.093,264.4
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.1958,0.06,rain,17.92,19.22,17.92,1,1008.5,1.46,1.46,44,0.78,0,16.093,264.3
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.1217,0.04,rain,17.42,18.55,17.42,1,1009.8,1.64,1.67,18,0.79,0,16.093,264.1
