,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.2185,0.06,rain,27.09,29.56,22.4,0.76,1009.8,1.15,1.42,253,0.19,9,16.093,266.7
1,2020-09-08 12:00:00,Humid,clear-day,0.2964,0.07,rain,28.08,31.2,22.71,0.73,1009.2,1.25,1.56,261,0.26,10,16.093,266.3
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3332,0.07,rain,28.55,32.21,23.17,0.73,1008.5,1.29,1.65,259,0.35,9,16.093,266.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3749,0.07,rain,28.61,32.69,23.68,0.75,1007.8,1.28,1.69,253,0.45,7,16.093,266.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4178,0.08,rain,28.11,32.21,24.12,0.79,1007.2,1.23,1.68,256,0.52,4,16.093,266.2
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.43,0.08,rain,27.85,32.13,24.63,0.83,1006.8,1.15,1.6,266,0.55,2,14.514,266.6
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4257,0.08,rain,27.6,31.91,24.97,0.86,1006.5,1.04,1.5,280,0.56,1,11.997,266.9
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4368,0.07,rain,26.94,30.27,24.46,0.86,1006.7,0.93,1.43,275,0.61,0,10.967,267.3
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4752,0.06,rain,26.02,27.9,23.67,0.87,1007.6,0.8,1.36,103,0.71,0,12.808,267.4
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5062,0.06,rain,25.2,25.95,22.8,0.87,1008.7,0.68,1.3,53,0.82,0,15.657,267.3
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.4855,0.06,rain,24.61,25.42,22.43,0.88,1009.5,0.64,1.27,21,0.9,0,16.093,267.1
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.3977,0.05,rain,24.26,25.07,22.31,0.89,1009.8,0.72,1.23,15,0.92,0,16.093,266.7
12,2020-09-08 23:00:00,Overcast,cloudy,0.3041,0.05,rain,23.94,24.71,21.97,0.89,1009.9,0.83,1.21,19,0.93,0,16.093,266.3
13,2020-09-09 00:00:00,Overcast,cloudy,0.2609,0.04,rain,23.63,24.37,21.66,0.89,1009.9,0.9,1.23,21,0.91,0,16.093,265.9
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.274,0.04,rain,23.35,24.06,21.38,0.89,1009.8,0.92,1.28,25,0.84,0,16.093,265.4
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.3047,0.05,rain,23.0,23.67,21.02,0.89,1009.6,0.91,1.34,32,0.76,0,16.093,265.1
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.3078,0.04,rain,22.64,23.27,20.65,0.89,1009.6,0.88,1.32,35,0.72,0,16.093,265.2
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.2747,0.05,rain,22.05,22.64,20.17,0.89,1009.7,0.84,1.19,31,0.75,0,16.093,265.5
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.2267,0.04,rain,21.34,21.89,19.67,0.9,1009.8,0.78,1.04,27,0.81,0,16.093,266.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1741,0.04,rain,21.02,21.57,19.58,0.91,1010.0,0.73,0.96,39,0.86,0,16.093,266.4
20,2020-09-09 07:00:00,Overcast,cloudy,0.1135,0.03,rain,21.69,22.27,19.99,0.9,1010.3,0.7,0.97,70,0.91,0,16.093,266.9
21,2020-09-09 08:00:00,Overcast,cloudy,0.0647,0.03,rain,23.02,23.66,20.82,0.87,1010.7,0.7,1.03,90,0.96,2,16.093,267.4
22,2020-09-09 09:00:00,Overcast,cloudy,0.045,0.03,rain,24.32,24.97,21.46,0.84,1010.7,0.76,1.14,313,0.94,3,16.093,267.3
23,2020-09-09 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0501,0.03,rain,25.66,26.62,21.86,0.8,1010.2,0.93,1.34,267,0.84,5,16.093,266.6
24,2020-09-09 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0738,0.04,rain,27.15,29.4,21.81,0.73,1009.5,1.12,1.63,251,0.72,7,13.516,265.6
25,2020-09-09 12:00:00,Mostly Cloudy,partly-cloudy-day,0.1293,0.05,rain,28.36,31.14,21.99,0.68,1008.6,1.26,1.83,243,0.64,7,10.447,264.4
26,2020-09-09 13:00:00,Mostly Cloudy,partly-cloudy-day,0.274,0.05,rain,29.76,33.01,22.03,0.63,1007.5,1.35,1.91,238,0.63,7,7.706,263.0
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.5257,0.06,rain,30.69,34.2,22.04,0.6,1006.4,1.39,1.93,233,0.64,6,5.685,261.6
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7148,0.07,rain,30.92,34.66,22.22,0.6,1005.6,1.35,1.83,234,0.67,4,5.94,261.0
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7185,0.08,rain,30.49,34.79,22.98,0.64,1005.1,1.19,1.61,247,0.72,2,9.231,261.4
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6201,0.07,rain,29.67,34.29,23.68,0.7,1004.9,0.98,1.36,262,0.79,1,13.863,262.2
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4773,0.06,rain,28.09,31.9,23.7,0.77,1005.1,0.85,1.21,255,0.85,0,16.093,262.6
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.2967,0.05,rain,26.85,29.4,23.47,0.82,1006.0,0.8,1.19,107,0.91,0,16.093,262.6
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.1382,0.04,rain,25.47,26.17,22.96,0.86,1007.1,0.8,1.21,62,0.97,0,16.093,262.4
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.0542,0.04,rain,24.61,25.44,22.58,0.88,1008.0,0.82,1.22,30,1.0,0,16.093,262.1
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.0182,0.03,rain,24.12,24.93,22.33,0.9,1008.4,0.86,1.21,23,1.0,0,16.093,261.5
36,2020-09-09 23:00:00,Overcast,cloudy,0.0043,0.03,rain,23.71,24.46,21.79,0.89,1007.9,0.91,1.21,25,1.0,0,16.093,260.9
37,2020-09-10 00:00:00,Overcast,cloudy,0.0,0.0,,23.36,24.07,21.41,0.89,1007.4,0.95,1.22,27,1.0,0,16.093,260.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.0022,0.01,rain,23.07,23.76,21.17,0.89,1007.2,0.96,1.25,28,1.0,0,16.093,260.6
39,2020-09-10 02:00:00,Overcast,cloudy,0.0062,0.03,rain,22.76,23.42,20.9,0.89,1007.2,0.97,1.28,30,1.0,0,16.093,260.9
40,2020-09-10 03:00:00,Overcast,cloudy,0.008,0.03,rain,22.45,23.07,20.51,0.89,1007.0,0.96,1.29,31,0.99,0,16.093,261.1
41,2020-09-10 04:00:00,Overcast,cloudy,0.0041,0.02,rain,22.0,22.56,19.99,0.88,1007.0,0.95,1.27,27,0.96,0,16.093,261.4
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,21.42,21.93,19.43,0.88,1006.8,0.92,1.23,25,0.9,0,16.093,261.7
43,2020-09-10 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,21.19,21.68,19.24,0.89,1006.7,0.88,1.2,36,0.79,0,16.093,261.8
44,2020-09-10 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,21.84,22.32,19.37,0.86,1007.4,0.81,1.17,69,0.56,1,16.093,261.5
45,2020-09-10 08:00:00,Clear,clear-day,0.0,0.0,,23.12,23.61,19.85,0.82,1007.9,0.74,1.15,100,0.31,2,16.093,261.1
46,2020-09-10 09:00:00,Clear,clear-day,0.0099,0.01,rain,24.69,25.4,20.48,0.77,1007.7,0.73,1.15,274,0.18,5,16.093,260.5
47,2020-09-10 10:00:00,Clear,clear-day,0.051,0.03,rain,26.66,28.39,21.12,0.72,1007.1,0.76,1.16,252,0.19,7,16.093,259.8
48,2020-09-10 11:00:00,Clear,clear-day,0.1396,0.04,rain,28.68,31.15,21.3,0.64,1006.2,0.84,1.22,241,0.27,9,16.093,259.1
