,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.273,0.12,rain,28.58,39.24,28.58,1.0,1009.3,1.31,1.36,194,0.56,7,16.093,267.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3785,0.14,rain,29.14,40.73,29.12,1.0,1008.9,1.45,1.48,206,0.56,8,16.093,266.6
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5286,0.19,rain,29.04,41.94,29.04,1.0,1008.3,1.53,1.55,219,0.62,7,16.093,265.7
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7085,0.24,rain,28.48,41.83,28.48,1.0,1007.6,1.56,1.59,230,0.7,6,16.093,265.1
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.757,0.25,rain,27.94,41.25,27.94,1.0,1007.0,1.47,1.62,228,0.75,4,16.093,265.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5956,0.24,rain,27.75,41.23,27.75,1.0,1006.5,1.18,1.48,211,0.76,2,16.093,266.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4104,0.21,rain,27.28,39.09,27.28,1.0,1006.2,0.83,1.35,188,0.75,1,16.093,268.1
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2752,0.17,rain,26.71,35.21,26.71,1.0,1006.4,0.64,1.28,167,0.71,0,16.093,269.1
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1442,0.12,rain,26.12,29.55,26.12,1.0,1007.1,0.68,1.32,117,0.62,0,16.093,269.0
9,2020-09-08 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0703,0.08,rain,25.63,27.32,25.63,1.0,1008.1,0.81,1.41,80,0.53,0,16.093,268.6
