,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2733,0.07,rain,27.7,31.25,23.76,0.79,1009.5,1.19,1.43,229,0.45,8,16.093,267.5
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3476,0.08,rain,28.46,32.39,23.58,0.75,1009.0,1.43,1.72,240,0.46,9,16.093,266.5
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3816,0.09,rain,28.29,32.19,23.68,0.76,1008.5,1.5,1.87,250,0.47,8,16.093,266.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4054,0.11,rain,27.44,30.88,23.93,0.81,1007.8,1.46,1.98,252,0.49,7,16.093,265.9
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4066,0.11,rain,26.56,29.28,24.12,0.86,1007.2,1.33,1.94,241,0.5,5,16.093,266.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.386,0.1,rain,26.11,28.3,24.18,0.89,1006.7,1.03,1.65,220,0.5,2,16.093,266.8
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.354,0.08,rain,25.81,27.45,23.8,0.89,1006.3,0.7,1.3,236,0.51,1,16.093,267.6
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2892,0.07,rain,25.3,26.15,23.33,0.89,1006.4,0.52,1.18,244,0.53,0,16.093,268.4
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.1781,0.05,rain,24.68,25.55,22.86,0.9,1007.3,0.56,1.4,33,0.58,0,16.093,268.9
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1079,0.04,rain,23.95,24.79,22.48,0.91,1008.3,0.69,1.73,96,0.64,0,16.093,269.2
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.1156,0.03,rain,23.37,24.19,22.12,0.93,1009.0,0.8,1.97,108,0.68,0,16.093,269.1
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2036,0.05,rain,22.95,23.72,21.74,0.93,1009.3,0.87,2.08,102,0.7,0,16.093,268.5
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.3988,0.07,rain,22.62,23.38,21.49,0.93,1009.4,0.93,2.11,91,0.71,0,16.093,267.7
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.588,0.1,rain,22.4,23.15,21.42,0.94,1009.3,0.93,2.02,84,0.74,0,15.251,266.9
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.6671,0.11,rain,22.2,22.95,21.33,0.95,1009.2,0.85,1.76,82,0.8,0,14.672,266.0
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.6936,0.12,rain,22.09,22.85,21.29,0.95,1009.0,0.75,1.44,81,0.87,0,14.891,265.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.6778,0.13,rain,22.05,22.83,21.5,0.97,1008.8,0.71,1.23,79,0.91,0,16.093,264.9
17,2020-09-09 04:00:00,Overcast,cloudy,0.6054,0.14,rain,21.92,22.77,21.83,0.99,1008.8,0.74,1.19,75,0.93,0,16.093,265.5
18,2020-09-09 05:00:00,Overcast,cloudy,0.5235,0.15,rain,21.72,22.63,21.72,1.0,1008.9,0.78,1.22,73,0.94,0,16.093,266.5
19,2020-09-09 06:00:00,Overcast,cloudy,0.4691,0.14,rain,21.75,22.72,21.75,1.0,1009.2,0.76,1.21,82,0.93,0,16.093,267.0
20,2020-09-09 07:00:00,Humid and Overcast,cloudy,0.427,0.12,rain,22.33,23.34,22.33,1.0,1009.6,0.63,1.11,107,0.9,1,16.093,266.9
21,2020-09-09 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3917,0.1,rain,23.48,24.53,23.48,1.0,1010.1,0.5,1.04,140,0.84,2,14.697,266.5
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3539,0.09,rain,24.86,26.04,24.19,0.96,1010.2,0.51,1.16,169,0.78,4,12.321,265.9
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3067,0.08,rain,26.25,28.39,23.97,0.87,1009.8,0.75,1.56,193,0.68,6,13.939,264.9
24,2020-09-09 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2903,0.06,rain,27.91,31.42,23.43,0.77,1009.1,1.04,2.05,213,0.57,7,16.093,263.6
25,2020-09-09 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3087,0.07,rain,28.98,32.89,23.2,0.71,1008.4,1.24,2.39,226,0.55,8,16.093,262.8
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.354,0.07,rain,29.21,33.49,23.53,0.72,1007.5,1.33,2.57,227,0.63,7,15.46,262.3
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4193,0.08,rain,28.46,32.79,24.1,0.77,1006.6,1.36,2.64,222,0.75,6,12.812,262.1
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4409,0.09,rain,27.54,31.49,24.52,0.84,1005.8,1.3,2.47,213,0.83,4,12.086,262.1
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.381,0.1,rain,26.76,30.18,24.75,0.89,1005.3,1.12,1.96,199,0.87,2,14.029,262.5
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.3018,0.1,rain,26.26,28.54,24.44,0.9,1004.9,0.87,1.35,193,0.89,1,16.093,263.0
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.2432,0.09,rain,25.5,26.38,24.01,0.92,1005.0,0.72,1.06,202,0.91,0,16.093,263.3
