,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2741,0.12,rain,28.55,38.79,28.55,1.0,1009.3,1.32,1.37,192,0.56,7,16.093,267.5
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3753,0.15,rain,29.12,40.32,28.92,0.99,1008.8,1.44,1.48,205,0.56,8,16.093,266.7
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.525,0.19,rain,29.06,41.54,29.06,1.0,1008.2,1.54,1.56,219,0.61,7,16.093,265.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7079,0.24,rain,28.5,41.43,28.5,1.0,1007.5,1.59,1.62,231,0.68,6,15.823,265.2
4,2020-09-08 15:00:00,Possible Light Rain and Humid,rain,0.7594,0.25,rain,27.93,40.76,27.93,1.0,1007.0,1.49,1.67,229,0.73,4,16.093,265.2
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6,0.24,rain,27.76,40.78,27.76,1.0,1006.5,1.2,1.53,209,0.75,2,16.093,266.5
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4178,0.21,rain,27.31,38.75,27.31,1.0,1006.2,0.84,1.38,181,0.74,1,16.093,268.2
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.282,0.17,rain,26.77,35.18,26.77,1.0,1006.3,0.65,1.31,158,0.7,0,16.093,269.2
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1439,0.12,rain,26.15,29.64,26.15,1.0,1007.1,0.7,1.36,111,0.61,0,16.093,269.1
9,2020-09-08 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0647,0.08,rain,25.63,27.32,25.63,1.0,1008.0,0.84,1.45,78,0.51,0,16.093,268.7
10,2020-09-08 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0768,0.07,rain,25.2,25.88,25.2,1.0,1008.7,0.91,1.54,65,0.47,0,16.093,268.1
