,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.0067,0.02,rain,5.1,4.05,5.1,1,1010.4,1.46,2.2,235,0.05,12,10.105,255.1
1,2020-09-08 12:00:00,Clear,clear-day,0.0106,0.03,rain,6.12,5.14,6.12,1,1009.5,1.57,2.55,236,0.17,13,5.297,254.8
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.0187,0.04,rain,6.45,5.41,6.45,1,1008.5,1.66,2.86,255,0.44,10,3.506,254.9
3,2020-09-08 14:00:00,Foggy,fog,0.0292,0.04,rain,5.97,4.8,5.97,1,1008.0,1.71,3.04,304,0.76,7,3.125,255.1
4,2020-09-08 15:00:00,Overcast,cloudy,0.0354,0.04,rain,5.18,3.93,5.18,1,1007.5,1.67,2.9,37,0.96,4,3.39,255.2
5,2020-09-08 16:00:00,Overcast,cloudy,0.033,0.03,rain,4.46,3.53,4.46,1,1007.5,1.5,2.28,42,0.99,3,4.046,255.5
6,2020-09-08 17:00:00,Overcast,cloudy,0.0279,0.03,rain,3.95,4.03,3.95,1,1007.9,1.28,1.54,22,0.98,1,5.602,255.7
7,2020-09-08 18:00:00,Overcast,cloudy,0.0204,0.03,rain,3.46,3.46,3.46,1,1008.5,1.11,1.15,0,0.95,0,8.949,255.7
8,2020-09-08 19:00:00,Overcast,cloudy,0.0081,0.02,rain,2.87,2.87,2.87,1,1009.7,0.98,1.06,349,0.93,0,15.393,255.3
9,2020-09-08 20:00:00,Overcast,cloudy,0.0,0.0,,2.09,2.09,2.09,1,1010.9,0.9,1.0,347,0.91,0,16.093,254.8
10,2020-09-08 21:00:00,Overcast,cloudy,0.0,0.0,,1.34,1.34,1.34,1,1011.9,0.85,0.97,13,0.89,0,16.093,254.7
11,2020-09-08 22:00:00,Overcast,cloudy,0.0,0.0,,0.86,0.86,0.86,1,1012.4,0.83,0.95,30,0.89,0,16.093,254.9
12,2020-09-08 23:00:00,Overcast,cloudy,0.0,0.0,,0.51,0.51,0.51,1,1012.6,0.85,0.96,16,0.89,0,10.293,255.3
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,0.29,0.29,0.29,1,1012.7,0.84,0.95,7,0.91,0,5.392,255.4
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,0.26,0.26,0.26,1,1012.7,0.82,0.92,5,0.94,0,4.458,254.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,0.36,0.36,0.36,1,1012.6,0.8,0.89,6,0.97,0,4.911,254.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,0.28,0.28,0.28,1,1012.6,0.77,0.85,5,0.96,0,7.714,254.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,-0.1,-0.1,-0.1,1,1013.0,0.72,0.79,2,0.92,0,13.579,254.3
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.005,0.01,rain,-0.64,-0.64,-0.64,1,1013.4,0.68,0.73,6,0.85,0,16.093,254.8
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0073,0.04,rain,-0.57,-0.57,-0.57,1,1013.7,0.72,0.79,14,0.7,0,16.093,254.9
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.03,rain,-0.09,-0.09,-0.09,1,1013.5,0.88,0.96,28,0.45,1,16.093,254.4
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,0.88,0.91,0.88,1,1013.0,1.09,1.18,13,0.17,3,16.093,253.7
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,1.98,1.73,1.98,1,1012.2,1.27,1.42,309,0.02,6,16.093,253.4
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,3.38,2.1,3.38,1,1011.2,1.45,1.65,301,0.03,10,16.093,253.8
24,2020-09-09 11:00:00,Clear,clear-day,0.0,0.0,,5.24,4.1,5.24,1,1009.8,1.6,1.91,299,0.06,12,9.678,254.3
25,2020-09-09 12:00:00,Clear,clear-day,0.0,0.0,,6.47,5.38,6.47,1,1008.6,1.71,2.22,308,0.21,12,4.723,254.2
26,2020-09-09 13:00:00,Foggy,fog,0.0115,0.03,rain,6.75,5.62,6.75,1,1007.7,1.78,2.62,319,0.48,10,2.971,253.4
27,2020-09-09 14:00:00,Foggy,fog,0.0428,0.04,rain,6.09,4.82,6.09,1,1006.9,1.82,3.0,331,0.8,7,2.325,252.3
28,2020-09-09 15:00:00,Foggy,fog,0.0699,0.04,rain,5.21,3.85,5.21,1,1006.3,1.78,3.08,332,0.98,4,2.281,251.7
29,2020-09-09 16:00:00,Foggy,fog,0.0677,0.04,rain,4.33,2.99,4.33,1,1006.1,1.63,2.77,323,0.99,3,3.069,251.7
30,2020-09-09 17:00:00,Overcast,cloudy,0.0515,0.04,rain,3.75,2.8,3.75,1,1006.3,1.45,2.28,311,0.98,1,4.228,251.9
31,2020-09-09 18:00:00,Overcast,cloudy,0.0331,0.03,rain,3.28,3.36,3.28,1,1006.9,1.3,1.87,292,0.97,0,4.708,251.8
32,2020-09-09 19:00:00,Overcast,cloudy,0.0135,0.02,rain,2.87,2.87,2.87,1,1007.9,1.19,1.57,287,0.98,0,4.371,251.5
33,2020-09-09 20:00:00,Overcast,cloudy,0.0,0.0,,2.31,2.31,2.31,1,1009.3,1.11,1.32,287,0.99,0,3.744,251.1
34,2020-09-09 21:00:00,Foggy,fog,0.0,0.0,,1.74,1.74,1.74,1,1010.2,1.06,1.21,288,1.0,0,3.041,250.5
35,2020-09-09 22:00:00,Foggy,fog,0.0,0.0,,1.44,1.44,1.44,1,1010.4,1.05,1.3,291,1.0,0,1.764,249.8
36,2020-09-09 23:00:00,Foggy,fog,0.0,0.0,,1.23,1.23,1.23,1,1010.3,1.06,1.44,299,1.0,0,0.924,249.0
37,2020-09-10 00:00:00,Overcast,cloudy,0.0,0.0,,1.07,1.07,1.07,1,1010.2,1.02,1.41,313,1.0,0,3.485,248.3
38,2020-09-10 01:00:00,Overcast,cloudy,0.0018,0.01,rain,1.02,1.02,1.02,1,1010.2,0.91,1.11,341,1.0,0,11.574,247.8
39,2020-09-10 02:00:00,Overcast,cloudy,0.0061,0.04,rain,1.04,1.04,1.04,1,1010.2,0.79,0.85,15,1.0,0,16.093,247.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.008,0.04,rain,0.92,0.92,0.92,1,1010.3,0.7,0.75,29,0.99,0,16.093,247.4
41,2020-09-10 04:00:00,Overcast,cloudy,0.0041,0.03,rain,0.5,0.5,0.5,1,1010.3,0.67,0.71,33,0.95,0,16.093,247.8
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,-0.12,-0.12,-0.12,1,1010.4,0.66,0.7,32,0.91,0,9.826,248.4
