,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2498,0.15,rain,28.13,39.99,28.13,1.0,1009.4,2.18,2.68,133,0.47,8,16.093,267.8
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.365,0.18,rain,29.25,43.04,29.25,1.0,1009.0,2.21,2.51,141,0.46,8,16.093,267.6
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5223,0.24,rain,29.98,44.94,29.98,1.0,1008.3,1.99,2.09,148,0.51,8,16.044,267.7
3,2020-09-08 14:00:00,Possible Light Rain and Humid,rain,0.7018,0.27,rain,30.26,46.02,30.26,1.0,1007.5,1.62,1.62,152,0.6,6,10.336,268.0
4,2020-09-08 15:00:00,Possible Light Rain and Humid,rain,0.8072,0.29,rain,30.04,46.66,30.04,1.0,1007.0,1.32,1.33,148,0.68,4,8.656,268.3
5,2020-09-08 16:00:00,Possible Light Rain and Humid,rain,0.7916,0.28,rain,29.67,47.07,29.67,1.0,1006.6,1.04,1.14,133,0.74,2,12.707,268.7
6,2020-09-08 17:00:00,Possible Light Rain and Humid,rain,0.7015,0.27,rain,28.65,43.84,28.65,1.0,1006.5,0.83,1.13,111,0.79,0,16.093,269.0
7,2020-09-08 18:00:00,Possible Light Rain and Humid,rain,0.5432,0.26,rain,28.01,41.38,28.01,1.0,1006.8,0.8,1.29,88,0.84,0,16.093,268.8
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.3133,0.21,rain,27.26,38.03,27.26,1.0,1007.5,1.05,1.7,63,0.88,0,16.093,268.3
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.1402,0.17,rain,26.78,34.65,26.78,1.0,1008.4,1.39,2.19,38,0.91,0,16.093,267.5
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0905,0.16,rain,26.36,30.29,26.36,1.0,1008.9,1.61,2.49,24,0.93,0,16.093,266.6
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.1169,0.17,rain,26.14,29.3,26.14,1.0,1009.1,1.66,2.52,25,0.94,0,16.093,265.4
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.1882,0.22,rain,26.01,28.65,26.01,1.0,1009.0,1.65,2.44,33,0.95,0,16.093,264.3
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.2223,0.23,rain,25.86,28.04,25.86,1.0,1008.8,1.56,2.3,39,0.97,0,16.093,263.6
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.1672,0.24,rain,25.67,27.39,25.67,1.0,1008.4,1.37,2.07,39,0.98,0,16.093,263.4
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0963,0.2,rain,25.56,27.0,25.56,1.0,1008.0,1.15,1.82,38,1.0,0,16.093,263.5
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.0482,0.17,rain,25.35,26.52,25.35,1.0,1007.7,1.03,1.66,38,1.0,0,16.093,263.9
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.0174,0.14,rain,24.9,26.12,24.9,1.0,1007.3,1.06,1.65,35,1.0,0,16.093,264.6
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.0058,0.12,rain,24.48,25.7,24.48,1.0,1007.4,1.14,1.68,36,1.0,0,16.093,265.7
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.0066,0.1,rain,24.42,25.62,24.42,1.0,1007.7,1.2,1.64,48,0.9,0,16.093,266.4
20,2020-09-09 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.006,0.08,rain,25.2,26.76,25.2,1.0,1008.1,1.24,1.48,78,0.61,1,16.093,266.9
21,2020-09-09 08:00:00,Humid,clear-day,0.0133,0.08,rain,26.7,30.72,26.49,0.99,1008.6,1.31,1.35,114,0.28,3,16.093,267.1
22,2020-09-09 09:00:00,Humid,clear-day,0.044,0.09,rain,27.94,35.53,27.42,0.97,1009.1,1.42,1.43,138,0.08,5,16.093,267.0
23,2020-09-09 10:00:00,Humid,clear-day,0.1231,0.1,rain,28.88,39.21,28.58,0.98,1009.1,1.63,1.63,145,0.07,8,14.033,266.3
24,2020-09-09 11:00:00,Humid,clear-day,0.2674,0.14,rain,29.63,42.54,29.52,0.99,1008.6,1.87,1.87,147,0.14,10,9.051,265.3
25,2020-09-09 12:00:00,Humid,clear-day,0.4643,0.17,rain,30.73,45.76,29.93,0.95,1007.9,1.99,2.0,150,0.27,10,5.398,264.1
