,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0069,0.02,rain,15.86,16.29,15.86,1.0,1010.9,1.4,1.75,322,0.45,9,16.093,259.9
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.0134,0.02,rain,17.58,18.02,17.58,1.0,1010.1,1.63,2.3,317,0.34,10,16.093,259.7
2,2020-09-08 13:00:00,Clear,clear-day,0.0322,0.03,rain,18.1,18.68,18.1,1.0,1009.2,1.77,2.74,333,0.3,10,16.093,259.6
3,2020-09-08 14:00:00,Clear,clear-day,0.0688,0.03,rain,17.59,18.4,17.59,1.0,1008.3,1.86,3.07,280,0.28,9,16.093,259.6
4,2020-09-08 15:00:00,Clear,clear-day,0.1082,0.04,rain,16.51,17.6,16.51,1.0,1007.9,1.84,3.16,316,0.26,6,16.093,259.6
5,2020-09-08 16:00:00,Clear,clear-day,0.1467,0.05,rain,15.24,16.68,15.24,1.0,1008.1,1.67,2.89,346,0.26,3,16.093,259.6
6,2020-09-08 17:00:00,Clear,clear-day,0.1788,0.06,rain,14.04,15.74,14.04,1.0,1008.4,1.43,2.46,32,0.26,1,16.093,259.6
7,2020-09-08 18:00:00,Clear,clear-day,0.1643,0.06,rain,12.68,14.44,12.68,1.0,1009.1,1.26,2.11,54,0.25,0,16.093,259.5
8,2020-09-08 19:00:00,Clear,clear-night,0.089,0.04,rain,11.49,13.14,11.49,1.0,1010.2,1.17,1.85,117,0.2,0,16.093,259.5
9,2020-09-08 20:00:00,Clear,clear-night,0.027,0.03,rain,10.09,11.51,10.09,1.0,1011.6,1.11,1.59,99,0.16,0,16.093,259.5
10,2020-09-08 21:00:00,Clear,clear-night,0.0085,0.01,rain,9.12,10.27,9.12,1.0,1012.3,1.07,1.39,86,0.17,0,16.093,259.4
11,2020-09-08 22:00:00,Clear,clear-night,0.0046,0.01,rain,8.63,9.53,8.63,1.0,1012.7,1.04,1.28,90,0.24,0,16.093,259.4
12,2020-09-08 23:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.33,9.0,8.33,1.0,1012.7,1.01,1.21,94,0.34,0,16.093,259.4
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,8.03,8.52,8.03,1.0,1012.7,0.98,1.14,93,0.47,0,16.093,259.8
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,7.96,8.33,7.96,1.0,1012.3,0.94,1.06,91,0.65,0,16.093,260.5
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,8.05,8.35,8.05,1.0,1011.7,0.9,0.99,87,0.83,0,16.093,261.5
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,8.04,8.21,8.04,1.0,1011.9,0.9,1.0,86,0.92,0,16.093,262.5
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,7.7,7.8,7.7,1.0,1012.6,0.95,1.13,85,0.91,0,16.093,263.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,7.43,7.56,7.43,1.0,1013.2,1.02,1.33,83,0.84,0,16.093,265.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.02,rain,7.44,7.66,7.44,1.0,1013.3,1.02,1.36,88,0.71,0,16.093,265.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0055,0.01,rain,8.45,8.77,8.45,1.0,1013.2,0.91,1.15,107,0.5,0,16.093,265.5
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,10.12,10.54,10.12,1.0,1012.9,0.8,0.95,157,0.26,2,16.093,265.1
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,11.95,12.38,11.95,1.0,1012.0,0.83,0.95,14,0.12,5,16.093,264.2
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,13.71,14.02,13.71,1.0,1011.1,1.07,1.28,318,0.08,8,16.093,262.8
24,2020-09-09 11:00:00,Clear,clear-day,0.0,0.0,,15.84,16.05,15.61,0.99,1010.2,1.38,1.85,342,0.08,11,16.093,261.2
25,2020-09-09 12:00:00,Clear,clear-day,0.0,0.0,,17.83,18.02,16.18,0.9,1009.3,1.62,2.29,304,0.1,12,16.093,259.9
26,2020-09-09 13:00:00,Clear,clear-day,0.0,0.0,,18.85,19.08,16.78,0.88,1008.2,1.75,2.5,310,0.19,11,16.093,259.1
27,2020-09-09 14:00:00,Clear,clear-day,0.0086,0.02,rain,18.91,19.25,17.51,0.92,1007.3,1.82,2.63,261,0.29,9,16.093,258.5
28,2020-09-09 15:00:00,Partly Cloudy,partly-cloudy-day,0.0163,0.02,rain,17.95,18.49,17.95,1.0,1006.5,1.82,2.72,312,0.36,6,16.093,258.2
29,2020-09-09 16:00:00,Partly Cloudy,partly-cloudy-day,0.024,0.02,rain,16.4,17.26,16.4,1.0,1006.5,1.73,2.81,341,0.38,3,16.093,258.2
30,2020-09-09 17:00:00,Partly Cloudy,partly-cloudy-day,0.033,0.03,rain,14.66,15.93,14.66,1.0,1006.5,1.59,2.83,22,0.38,1,16.093,258.4
31,2020-09-09 18:00:00,Partly Cloudy,partly-cloudy-day,0.0392,0.03,rain,13.06,14.52,13.06,1.0,1007.0,1.45,2.63,40,0.37,0,16.093,258.1
32,2020-09-09 19:00:00,Partly Cloudy,partly-cloudy-night,0.0386,0.03,rain,11.77,13.26,11.77,1.0,1008.2,1.31,2.11,119,0.34,0,16.093,257.3
33,2020-09-09 20:00:00,Partly Cloudy,partly-cloudy-night,0.0345,0.03,rain,10.46,11.89,10.46,1.0,1009.6,1.17,1.56,115,0.32,0,16.093,256.4
34,2020-09-09 21:00:00,Partly Cloudy,partly-cloudy-night,0.0266,0.03,rain,9.54,10.81,9.54,1.0,1010.5,1.06,1.24,105,0.32,0,16.093,255.3
35,2020-09-09 22:00:00,Partly Cloudy,partly-cloudy-night,0.0147,0.02,rain,9.12,10.17,9.12,1.0,1010.6,1.03,1.21,107,0.38,0,16.093,253.9
36,2020-09-09 23:00:00,Partly Cloudy,partly-cloudy-night,0.0069,0.01,rain,8.9,9.75,8.9,1.0,1010.7,1.02,1.26,112,0.46,0,16.093,252.6
37,2020-09-10 00:00:00,Partly Cloudy,partly-cloudy-night,0.0054,0.01,rain,8.6,9.26,8.6,1.0,1010.5,0.97,1.23,113,0.51,0,16.093,251.9
38,2020-09-10 01:00:00,Partly Cloudy,partly-cloudy-night,0.0109,0.02,rain,8.33,8.84,8.33,1.0,1010.4,0.86,1.03,106,0.52,0,16.093,252.1
