,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0075,0.02,rain,9.1,8.96,9.1,1,1010.2,1.87,3.18,198,0.68,8,16.093,255.5
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.0101,0.02,rain,10.44,13.33,10.44,1,1009.2,2.2,3.79,228,0.64,9,16.093,255.0
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.0122,0.02,rain,11.11,13.88,11.11,1,1008.2,2.47,4.4,239,0.61,9,16.093,255.2
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.0134,0.03,rain,11.0,14.3,11.0,1,1007.4,2.68,4.93,239,0.58,8,16.093,255.7
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.0127,0.03,rain,10.24,12.88,10.24,1,1007.0,2.73,5.14,227,0.56,5,16.093,256.1
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.0106,0.03,rain,9.21,7.47,9.21,1,1007.1,2.61,4.93,183,0.52,3,16.093,256.4
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.0102,0.03,rain,8.07,6.62,8.07,1,1007.5,2.39,4.51,98,0.49,1,16.093,256.7
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.0092,0.03,rain,7.38,5.97,7.38,1,1008.2,2.18,4.11,238,0.47,0,16.093,256.9
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.0041,0.02,rain,6.7,5.34,6.7,1,1009.5,2.01,3.76,227,0.48,0,16.093,256.9
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,6.28,5.03,6.28,1,1010.6,1.84,3.41,236,0.5,0,16.093,256.8
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.0,0.0,,5.95,4.77,5.95,1,1011.4,1.72,3.19,243,0.54,0,16.093,256.7
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,5.61,4.45,5.61,1,1011.8,1.66,3.15,245,0.6,0,16.093,256.7
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,5.3,4.13,5.3,1,1012.3,1.63,3.17,245,0.69,0,16.093,256.7
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,5.06,3.91,5.06,1,1012.3,1.58,3.13,246,0.77,0,16.093,256.6
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,4.9,3.81,4.9,1,1012.2,1.52,3.01,248,0.84,0,16.093,256.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,4.78,3.66,4.78,1,1011.8,1.46,2.84,252,0.9,0,16.093,256.0
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,4.74,4.77,4.74,1,1011.9,1.36,2.61,255,0.94,0,16.093,256.1
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,4.38,7.37,4.38,1,1012.5,1.21,2.27,262,0.96,0,16.093,256.7
18,2020-09-09 05:00:00,Overcast,cloudy,0.0035,0.01,rain,3.91,3.67,3.91,1,1012.9,1.06,1.91,266,0.95,0,16.093,257.5
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0052,0.02,rain,3.71,3.62,3.71,1,1013.4,0.99,1.73,262,0.85,0,16.093,257.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,4.14,4.91,4.14,1,1013.2,0.98,1.75,266,0.56,1,16.093,256.6
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,5.08,9.23,5.08,1,1012.6,1.05,1.89,286,0.23,2,16.093,255.4
22,2020-09-09 09:00:00,Clear,clear-day,0.0,0.0,,6.33,9.19,6.33,1,1011.9,1.21,2.15,265,0.04,6,16.093,254.4
23,2020-09-09 10:00:00,Clear,clear-day,0.0,0.0,,7.76,6.71,7.76,1,1010.8,1.49,2.53,119,0.03,9,16.093,253.8
24,2020-09-09 11:00:00,Clear,clear-day,0.0,0.0,,9.21,9.24,9.21,1,1009.7,1.84,3.0,197,0.07,12,14.888,253.4
25,2020-09-09 12:00:00,Clear,clear-day,0.0,0.0,,10.4,13.94,10.4,1,1008.7,2.15,3.51,228,0.13,13,13.657,253.1
26,2020-09-09 13:00:00,Clear,clear-day,0.0076,0.01,rain,10.81,14.13,10.81,1,1007.4,2.43,4.12,237,0.18,12,15.455,252.8
27,2020-09-09 14:00:00,Clear,clear-day,0.0127,0.01,rain,10.61,14.3,10.61,1,1006.3,2.66,4.69,238,0.26,9,16.093,252.7
28,2020-09-09 15:00:00,Partly Cloudy,partly-cloudy-day,0.0157,0.01,rain,9.84,12.68,9.84,1,1005.8,2.73,4.98,228,0.34,6,16.093,252.7
29,2020-09-09 16:00:00,Partly Cloudy,partly-cloudy-day,0.0147,0.01,rain,9.05,7.26,9.05,1,1005.6,2.59,4.89,197,0.4,3,16.093,252.9
30,2020-09-09 17:00:00,Partly Cloudy,partly-cloudy-day,0.0114,0.01,rain,7.98,6.53,7.98,1,1005.7,2.36,4.62,326,0.48,1,16.093,253.1
31,2020-09-09 18:00:00,Partly Cloudy,partly-cloudy-day,0.0072,0.01,rain,7.4,6.02,7.4,1,1006.4,2.15,4.34,236,0.59,0,15.574,253.1
32,2020-09-09 19:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,6.68,5.33,6.68,1,1007.6,1.99,4.03,232,0.75,0,16.093,252.9
33,2020-09-09 20:00:00,Overcast,cloudy,0.0,0.0,,6.16,4.88,6.16,1,1008.8,1.84,3.7,234,0.92,0,16.093,252.4
34,2020-09-09 21:00:00,Overcast,cloudy,0.0,0.0,,5.75,4.53,5.75,1,1009.5,1.73,3.49,239,1.0,0,16.093,252.0
35,2020-09-09 22:00:00,Overcast,cloudy,0.0,0.0,,5.34,4.13,5.34,1,1009.9,1.66,3.44,241,1.0,0,16.093,251.3
36,2020-09-09 23:00:00,Overcast,cloudy,0.0,0.0,,5.0,3.8,5.0,1,1010.2,1.62,3.42,244,1.0,0,16.093,250.6
37,2020-09-10 00:00:00,Overcast,cloudy,0.0,0.0,,4.73,3.5,4.73,1,1010.4,1.53,3.24,246,0.97,0,16.093,250.1
38,2020-09-10 01:00:00,Overcast,cloudy,0.0051,0.01,rain,4.61,4.51,4.61,1,1010.3,1.37,2.82,248,0.94,0,16.093,249.9
39,2020-09-10 02:00:00,Overcast,cloudy,0.0084,0.04,rain,4.64,8.2,4.64,1,1010.1,1.2,2.33,254,0.89,0,16.093,249.9
40,2020-09-10 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0098,0.04,rain,4.73,7.84,4.73,1,1010.1,1.08,2.01,260,0.84,0,16.093,249.8
