,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.1471,0.05,rain,23.31,24.39,23.31,1.0,1010.3,1.48,1.86,183,0.96,5,11.277,265.1
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.2774,0.05,rain,24.75,25.87,24.62,0.99,1009.7,1.55,2.13,203,0.93,6,7.631,264.7
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3942,0.06,rain,25.34,26.53,25.23,0.99,1009.0,1.49,1.94,200,0.79,6,7.165,264.3
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4951,0.07,rain,25.07,26.36,25.07,1.0,1008.3,1.37,1.61,185,0.64,6,7.986,263.8
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5547,0.08,rain,24.18,25.63,24.18,1.0,1007.8,1.22,1.42,176,0.57,5,8.583,263.6
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5557,0.09,rain,23.01,24.65,23.01,1.0,1007.5,1.01,1.31,184,0.62,2,8.514,263.6
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5091,0.09,rain,21.77,23.45,21.77,1.0,1007.5,0.8,1.23,200,0.7,1,8.739,263.8
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4253,0.07,rain,20.68,22.28,20.68,1.0,1007.9,0.69,1.14,50,0.79,0,10.148,263.7
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3042,0.06,rain,19.75,21.19,19.75,1.0,1008.9,0.73,1.03,57,0.87,0,13.205,263.5
9,2020-09-08 20:00:00,Overcast,cloudy,0.1847,0.05,rain,18.76,19.96,18.76,1.0,1010.0,0.82,0.94,19,0.96,0,16.093,263.1
10,2020-09-08 21:00:00,Overcast,cloudy,0.1024,0.04,rain,17.94,18.93,17.94,1.0,1010.7,0.89,0.93,351,1.0,0,16.093,262.9
11,2020-09-08 22:00:00,Overcast,cloudy,0.0468,0.03,rain,17.6,18.41,17.6,1.0,1010.9,0.94,0.99,346,1.0,0,16.093,263.0
12,2020-09-08 23:00:00,Overcast,cloudy,0.0154,0.02,rain,17.47,18.13,17.47,1.0,1011.0,0.99,1.06,352,1.0,0,16.093,263.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.0056,0.02,rain,17.33,17.89,17.33,1.0,1010.8,1.06,1.16,355,1.0,0,16.093,263.1
14,2020-09-09 01:00:00,Overcast,cloudy,0.0065,0.02,rain,17.22,17.77,17.22,1.0,1010.7,1.13,1.32,351,1.0,0,16.093,262.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.0105,0.02,rain,17.21,17.79,17.21,1.0,1010.5,1.2,1.49,348,0.99,0,16.093,262.7
16,2020-09-09 03:00:00,Overcast,cloudy,0.0112,0.02,rain,17.38,17.97,17.38,1.0,1010.3,1.26,1.62,345,0.98,0,16.093,262.7
17,2020-09-09 04:00:00,Overcast,cloudy,0.0091,0.02,rain,17.32,17.88,17.32,1.0,1010.4,1.3,1.72,343,0.97,0,16.093,263.2
