,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.295,0.07,rain,30.58,37.09,24.97,0.72,1008.9,1.28,1.3,292,0.17,9,16.093,268.4
1,2020-09-08 12:00:00,Humid,clear-day,0.3735,0.08,rain,31.33,37.55,24.45,0.67,1008.4,1.47,1.49,273,0.24,10,16.093,267.4
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3472,0.09,rain,31.28,37.32,24.33,0.67,1007.9,1.46,1.73,266,0.35,9,16.093,267.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3022,0.1,rain,30.74,36.95,24.68,0.7,1007.2,1.35,2.23,274,0.49,6,16.093,267.2
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2843,0.1,rain,30.29,36.67,25.01,0.73,1006.6,1.17,2.32,287,0.57,4,15.36,267.4
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2884,0.1,rain,30.37,36.89,25.09,0.73,1006.0,0.91,1.83,316,0.55,2,16.093,267.7
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3016,0.1,rain,30.45,36.76,24.88,0.72,1005.5,0.62,1.18,63,0.52,1,16.093,268.0
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3222,0.09,rain,29.9,35.65,24.65,0.73,1005.6,0.51,0.9,95,0.55,0,16.093,268.5
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3409,0.08,rain,28.77,33.61,24.45,0.78,1006.4,0.61,1.17,50,0.67,0,15.986,269.0
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3763,0.07,rain,27.41,30.83,23.91,0.81,1007.4,0.8,1.61,0,0.83,0,12.15,269.5
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.4672,0.07,rain,26.46,28.74,23.26,0.83,1008.1,0.9,1.83,345,0.92,0,9.13,269.6
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.6624,0.08,rain,26.26,28.32,23.11,0.83,1008.3,0.9,1.74,11,0.94,0,7.014,268.9
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.9271,0.09,rain,26.24,28.29,23.07,0.83,1008.4,0.87,1.56,23,0.93,0,5.611,268.0
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,1.0984,0.09,rain,26.08,27.77,22.97,0.83,1008.4,0.86,1.4,17,0.94,0,5.838,267.2
