,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,1.2387,0.19,rain,27.55,31.98,25.12,0.87,1008.6,2.37,2.56,41,0.99,5,13.786,270.7
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,1.2432,0.22,rain,28.08,33.24,25.41,0.85,1008.3,2.12,2.25,35,0.99,5,13.312,270.0
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.6856,0.2,rain,28.53,33.93,25.24,0.82,1007.6,2.13,2.51,3,1.0,5,15.941,269.7
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.2024,0.12,rain,28.86,34.36,25.07,0.8,1006.7,2.18,3.25,352,1.0,5,16.093,269.5
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.0821,0.08,rain,29.19,35.09,25.21,0.79,1006.0,2.01,3.43,28,1.0,4,16.093,269.4
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.0936,0.08,rain,29.37,35.77,25.54,0.8,1005.5,1.51,2.7,107,1.0,2,16.093,269.2
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.1134,0.08,rain,29.34,35.8,25.62,0.8,1005.2,0.95,1.73,65,1.0,1,16.093,269.1
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.104,0.07,rain,28.79,34.61,25.44,0.82,1005.3,0.7,1.29,23,1.0,0,16.093,269.1
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.0555,0.04,rain,27.95,32.72,25.13,0.85,1005.9,0.86,1.57,30,0.97,0,16.093,269.1
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0203,0.03,rain,27.12,30.86,24.74,0.87,1006.6,1.16,2.09,41,0.94,0,16.093,269.1
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.012,0.02,rain,26.58,29.52,24.31,0.87,1007.1,1.36,2.37,39,0.92,0,16.093,269.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0079,0.01,rain,26.36,28.78,24.06,0.87,1007.1,1.42,2.29,41,0.93,0,16.093,269.4
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.28,28.58,23.87,0.87,1007.1,1.44,2.12,46,0.95,0,16.093,269.5
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.19,28.36,23.76,0.86,1007.1,1.49,2.04,51,0.94,0,16.093,269.7
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0,0.0,,26.11,28.18,23.72,0.87,1006.7,1.58,2.11,54,0.88,0,16.093,269.7
15,2020-09-09 02:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,26.03,28.01,23.72,0.87,1006.2,1.67,2.2,58,0.79,0,16.093,269.7
16,2020-09-09 03:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0,0.0,,25.81,27.44,23.59,0.88,1006.1,1.74,2.24,61,0.7,0,16.093,269.8
17,2020-09-09 04:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.0198,0.03,rain,25.26,26.09,23.24,0.89,1006.5,1.8,2.2,63,0.6,0,16.093,270.1
18,2020-09-09 05:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.076,0.06,rain,24.75,25.62,22.96,0.9,1006.9,1.82,2.15,65,0.51,0,16.093,270.3
19,2020-09-09 06:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1227,0.08,rain,24.55,25.4,22.91,0.91,1007.1,1.84,2.19,66,0.47,0,16.093,270.3
20,2020-09-09 07:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1103,0.07,rain,25.09,26.14,23.19,0.89,1007.7,1.85,2.34,64,0.5,0,16.093,270.2
21,2020-09-09 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0832,0.06,rain,26.24,28.37,23.51,0.85,1008.3,1.82,2.51,63,0.56,2,16.093,269.8
22,2020-09-09 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1004,0.05,rain,27.6,31.24,24.01,0.81,1008.5,1.72,2.53,69,0.58,4,16.093,269.1
