,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.2464,0.07,rain,29.92,35.58,24.54,0.73,1009.4,1.24,1.25,356,0.18,9,16.093,268.5
1,2020-09-08 12:00:00,Humid,clear-day,0.3278,0.08,rain,30.86,36.39,24.03,0.67,1009.0,1.37,1.43,307,0.23,10,16.093,267.5
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.35,0.09,rain,31.14,36.64,23.91,0.65,1008.4,1.31,1.69,274,0.32,9,16.093,267.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3732,0.1,rain,30.83,36.63,24.29,0.68,1007.8,1.17,2.16,266,0.43,7,16.093,267.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3876,0.11,rain,30.42,36.37,24.59,0.71,1007.1,1.01,2.26,283,0.5,4,15.687,267.2
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3592,0.1,rain,30.26,36.25,24.69,0.72,1006.6,0.83,1.88,328,0.49,2,15.872,267.5
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3253,0.1,rain,30.18,36.0,24.58,0.72,1006.1,0.65,1.33,96,0.48,1,16.093,267.9
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3256,0.09,rain,29.5,34.8,24.45,0.74,1006.2,0.57,1.04,127,0.53,0,16.093,268.4
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3597,0.08,rain,28.33,32.66,24.2,0.78,1006.9,0.61,1.11,78,0.67,0,14.314,268.8
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4104,0.07,rain,26.94,29.79,23.55,0.82,1007.9,0.71,1.29,356,0.84,0,12.026,269.2
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.4702,0.07,rain,26.01,27.64,22.9,0.83,1008.6,0.78,1.43,335,0.94,0,10.045,269.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.5515,0.07,rain,25.82,26.53,22.65,0.83,1008.9,0.84,1.48,351,0.95,0,8.273,268.6
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.6695,0.07,rain,25.85,26.63,22.58,0.82,1009.0,0.89,1.51,14,0.95,0,6.92,267.9
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.7627,0.08,rain,25.68,26.46,22.46,0.82,1009.0,0.92,1.5,12,0.95,0,6.934,267.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.7944,0.08,rain,25.27,26.02,22.14,0.83,1008.8,0.93,1.43,9,0.97,0,8.643,266.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.792,0.07,rain,24.69,25.39,21.6,0.83,1008.6,0.95,1.35,8,0.99,0,11.315,265.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.7421,0.07,rain,24.24,24.89,21.2,0.83,1008.5,0.96,1.3,6,1.0,0,14.535,265.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.6274,0.07,rain,23.74,24.36,20.84,0.84,1008.4,0.99,1.3,3,1.0,0,16.093,266.3
18,2020-09-09 05:00:00,Overcast,cloudy,0.4927,0.07,rain,23.27,23.85,20.5,0.84,1008.5,1.03,1.3,2,1.0,0,16.093,267.0
19,2020-09-09 06:00:00,Overcast,cloudy,0.3755,0.07,rain,23.31,23.89,20.47,0.84,1008.7,1.01,1.28,9,0.99,0,16.093,267.5
20,2020-09-09 07:00:00,Overcast,cloudy,0.2616,0.06,rain,24.41,25.0,21.07,0.82,1009.2,0.92,1.17,22,0.97,0,16.093,267.9
21,2020-09-09 08:00:00,Overcast,cloudy,0.1785,0.04,rain,26.06,27.09,21.86,0.78,1009.7,0.81,1.07,40,0.94,2,11.978,268.0
22,2020-09-09 09:00:00,Humid and Overcast,cloudy,0.17,0.05,rain,27.64,30.45,22.5,0.74,1009.8,0.81,1.13,65,0.93,3,8.7,267.9
23,2020-09-09 10:00:00,Humid and Overcast,cloudy,0.2623,0.06,rain,29.12,32.63,22.65,0.68,1009.4,0.94,1.41,96,0.91,5,10.395,267.2
24,2020-09-09 11:00:00,Humid and Overcast,cloudy,0.4255,0.08,rain,30.5,34.2,22.32,0.62,1008.8,1.13,1.78,127,0.89,6,13.565,266.1
25,2020-09-09 12:00:00,Overcast,cloudy,0.557,0.08,rain,31.76,35.46,21.95,0.56,1008.0,1.33,2.15,150,0.9,6,14.839,265.1
26,2020-09-09 13:00:00,Overcast,cloudy,0.6124,0.07,rain,32.91,36.86,21.93,0.53,1007.1,1.59,2.57,166,0.93,5,13.151,263.9
27,2020-09-09 14:00:00,Humid and Overcast,cloudy,0.6477,0.08,rain,33.48,37.95,22.33,0.52,1006.2,1.84,2.94,177,0.98,5,10.859,262.8
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.6427,0.09,rain,33.33,38.45,22.96,0.55,1005.4,1.9,2.92,180,1.0,4,10.383,262.4
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.5561,0.1,rain,32.66,38.87,24.05,0.61,1004.9,1.7,2.34,177,1.0,2,12.762,263.1
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.4614,0.1,rain,31.64,38.75,25.05,0.68,1004.5,1.39,1.59,173,1.0,1,15.719,264.2
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.4472,0.1,rain,30.34,37.49,25.6,0.76,1004.6,1.15,1.2,159,1.0,0,16.093,264.8
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.5374,0.1,rain,29.0,35.28,25.7,0.82,1005.4,1.0,1.27,94,1.0,0,12.807,264.5
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.6638,0.09,rain,27.67,32.37,25.29,0.87,1006.4,0.9,1.53,31,1.0,0,8.711,263.9
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.7089,0.1,rain,26.66,29.91,24.64,0.89,1006.9,0.89,1.69,1,1.0,0,8.453,263.2
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.6348,0.09,rain,26.27,28.58,24.05,0.88,1006.9,0.97,1.73,358,1.0,0,13.927,262.5
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.5253,0.09,rain,26.12,28.17,23.57,0.86,1006.7,1.08,1.74,3,1.0,0,16.093,261.7
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.4158,0.08,rain,25.87,27.41,23.03,0.84,1006.5,1.15,1.71,6,1.0,0,16.093,261.3
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.2997,0.07,rain,25.48,26.2,22.46,0.83,1006.1,1.14,1.65,6,0.99,0,16.093,261.4
39,2020-09-10 02:00:00,Overcast,cloudy,0.2,0.07,rain,24.98,25.68,21.77,0.82,1005.8,1.13,1.58,8,0.98,0,16.093,261.8
40,2020-09-10 03:00:00,Overcast,cloudy,0.1465,0.07,rain,24.55,25.2,21.26,0.82,1005.6,1.13,1.56,8,0.98,0,16.093,262.1
41,2020-09-10 04:00:00,Overcast,cloudy,0.1337,0.06,rain,23.96,24.58,20.9,0.83,1005.6,1.19,1.64,5,0.99,0,16.093,262.5
42,2020-09-10 05:00:00,Overcast,cloudy,0.1316,0.06,rain,23.37,23.96,20.55,0.84,1005.8,1.25,1.72,2,1.0,0,16.093,262.9
43,2020-09-10 06:00:00,Overcast,cloudy,0.1083,0.05,rain,23.4,23.95,20.42,0.83,1006.0,1.21,1.71,5,0.95,0,16.093,263.1
44,2020-09-10 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0559,0.04,rain,24.89,25.67,20.73,0.78,1006.2,1.01,1.55,13,0.8,0,16.093,263.1
