,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.1054,0.04,rain,22.16,23.1,22.16,1.0,1010.0,1.56,1.61,223,0.56,8,12.742,264.4
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2125,0.05,rain,23.25,24.2,22.98,0.98,1009.4,1.72,1.82,223,0.5,9,8.62,263.6
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3245,0.05,rain,23.85,24.82,23.38,0.97,1008.7,1.81,2.0,228,0.42,9,6.51,263.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4331,0.06,rain,23.71,24.76,23.71,1.0,1007.9,1.84,2.11,232,0.34,8,5.627,263.5
4,2020-09-08 15:00:00,Humid,clear-day,0.4933,0.07,rain,22.85,24.01,22.85,1.0,1007.4,1.73,2.06,235,0.31,5,6.481,263.8
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.4775,0.08,rain,21.89,23.25,21.89,1.0,1007.1,1.42,1.8,244,0.34,3,9.648,264.2
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.4189,0.08,rain,20.88,22.39,20.88,1.0,1007.0,1.04,1.47,253,0.39,1,13.842,264.7
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.363,0.08,rain,19.97,21.49,19.97,1.0,1007.3,0.81,1.29,234,0.41,0,16.093,265.0
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.3181,0.08,rain,19.28,20.77,19.28,1.0,1008.3,0.78,1.31,154,0.38,0,16.093,265.1
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.2743,0.06,rain,18.35,19.73,18.35,1.0,1009.5,0.81,1.4,77,0.34,0,16.093,265.1
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.2175,0.06,rain,17.62,18.83,17.62,1.0,1010.4,0.85,1.5,30,0.33,0,16.093,264.9
11,2020-09-08 22:00:00,Partly Cloudy,partly-cloudy-night,0.1409,0.06,rain,17.19,18.17,17.19,1.0,1010.6,0.87,1.61,24,0.36,0,16.093,264.6
12,2020-09-08 23:00:00,Partly Cloudy,partly-cloudy-night,0.0743,0.06,rain,17.03,17.79,17.03,1.0,1010.6,0.89,1.73,33,0.41,0,16.093,264.3
13,2020-09-09 00:00:00,Partly Cloudy,partly-cloudy-night,0.039,0.06,rain,16.82,17.42,16.82,1.0,1010.5,0.89,1.8,39,0.48,0,16.093,263.8
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0246,0.05,rain,16.6,17.09,16.6,1.0,1010.2,0.9,1.81,38,0.6,0,16.093,263.1
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.018,0.04,rain,16.48,16.9,16.48,1.0,1009.9,0.91,1.78,39,0.71,0,16.093,262.4
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0133,0.03,rain,16.66,17.02,16.66,1.0,1009.6,0.88,1.73,39,0.76,0,16.093,262.1
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0104,0.03,rain,16.66,16.95,16.42,0.99,1009.5,0.82,1.65,34,0.73,0,16.093,262.6
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0096,0.03,rain,16.55,16.83,16.31,0.99,1009.7,0.75,1.55,34,0.66,0,16.093,263.3
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-day,0.0081,0.01,rain,16.57,16.9,16.57,1.0,1009.9,0.73,1.36,53,0.55,0,16.093,264.0
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,17.31,17.71,17.31,1.0,1010.1,0.76,1.04,101,0.41,1,16.093,264.7
21,2020-09-09 08:00:00,Clear,clear-day,0.0,0.0,,18.53,19.04,18.5,1.0,1010.3,0.83,0.83,160,0.26,2,16.093,265.2
22,2020-09-09 09:00:00,Clear,clear-day,0.0028,0.01,rain,19.63,20.22,19.36,0.98,1010.4,0.99,1.0,204,0.16,5,16.093,265.1
23,2020-09-09 10:00:00,Clear,clear-day,0.014,0.03,rain,20.63,21.3,20.28,0.98,1009.9,1.27,1.32,217,0.13,8,16.093,263.9
24,2020-09-09 11:00:00,Clear,clear-day,0.0484,0.04,rain,21.8,22.54,21.1,0.96,1009.6,1.59,1.71,215,0.12,10,16.093,262.3
25,2020-09-09 12:00:00,Clear,clear-day,0.1101,0.04,rain,22.62,23.44,21.95,0.96,1008.9,1.77,1.94,216,0.2,11,14.355,261.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2147,0.05,rain,23.05,23.99,22.9,0.99,1007.9,1.78,1.92,222,0.4,9,13.514,260.2
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3535,0.06,rain,22.86,23.97,22.86,1.0,1006.9,1.71,1.79,225,0.63,6,13.113,259.6
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4491,0.07,rain,22.17,23.43,22.17,1.0,1006.2,1.55,1.64,219,0.8,4,12.274,259.3
29,2020-09-09 16:00:00,Mostly Cloudy,partly-cloudy-day,0.4548,0.07,rain,21.44,22.86,21.44,1.0,1005.7,1.29,1.41,217,0.85,2,10.445,259.7
30,2020-09-09 17:00:00,Mostly Cloudy,partly-cloudy-day,0.4043,0.08,rain,20.74,22.23,20.74,1.0,1005.5,1.0,1.13,274,0.87,1,8.903,260.3
31,2020-09-09 18:00:00,Overcast,cloudy,0.3307,0.07,rain,19.85,21.34,19.85,1.0,1005.8,0.78,0.94,238,0.9,0,9.799,260.7
32,2020-09-09 19:00:00,Overcast,cloudy,0.2407,0.07,rain,19.16,20.66,19.16,1.0,1006.8,0.66,0.88,182,0.94,0,14.215,260.9
