,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.3461,0.07,rain,24.68,25.11,19.51,0.73,1009.5,0.8,1.05,124,0.94,6,16.093,268.2
1,2020-09-08 12:00:00,Overcast,cloudy,0.4709,0.09,rain,25.38,25.88,20.21,0.73,1009.1,0.92,1.28,146,0.88,6,16.093,267.5
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.5169,0.12,rain,25.19,25.85,21.42,0.8,1008.5,1.04,1.47,153,0.76,7,16.093,266.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5315,0.13,rain,24.28,25.13,22.62,0.9,1007.8,1.14,1.64,152,0.63,6,14.849,266.3
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5403,0.13,rain,23.39,24.37,23.24,0.99,1007.2,1.15,1.7,153,0.57,5,12.738,266.1
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5426,0.13,rain,23.04,24.06,23.04,1.0,1006.8,1.02,1.6,156,0.62,2,13.95,266.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5224,0.11,rain,23.06,24.05,23.06,1.0,1006.5,0.86,1.44,167,0.72,1,16.093,266.9
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4463,0.1,rain,22.48,23.4,22.48,1.0,1006.6,0.78,1.38,194,0.8,0,16.093,267.0
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3043,0.07,rain,21.78,22.7,21.78,1.0,1007.3,0.81,1.46,122,0.87,0,16.093,266.8
9,2020-09-08 20:00:00,Overcast,cloudy,0.1731,0.05,rain,20.99,21.88,20.99,1.0,1008.3,0.9,1.58,31,0.94,0,16.093,266.6
10,2020-09-08 21:00:00,Overcast,cloudy,0.0925,0.05,rain,20.39,21.19,20.39,1.0,1009.0,0.98,1.66,356,0.98,0,16.093,266.5
11,2020-09-08 22:00:00,Overcast,cloudy,0.0359,0.03,rain,20.21,20.86,19.99,0.99,1009.1,1.06,1.68,353,0.99,0,16.093,266.6
12,2020-09-08 23:00:00,Overcast,cloudy,0.0059,0.02,rain,20.16,20.66,18.97,0.93,1008.6,1.13,1.68,0,1.0,0,16.093,266.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,20.16,20.56,18.27,0.89,1008.3,1.18,1.68,5,0.97,0,16.093,266.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,20.25,20.58,17.81,0.86,1008.3,1.2,1.69,1,0.88,0,16.093,266.7
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.33,20.6,17.47,0.84,1008.3,1.2,1.69,358,0.77,0,16.093,266.4
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,20.33,20.57,17.2,0.82,1008.2,1.22,1.69,356,0.71,0,16.093,266.4
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0197,0.02,rain,20.11,20.33,16.99,0.82,1008.3,1.27,1.7,353,0.71,0,16.093,266.7
