,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2592,0.06,rain,24.33,24.77,19.56,0.75,1009.5,1.03,1.23,112,0.7,7,16.093,268.2
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.3658,0.07,rain,25.01,25.45,19.69,0.72,1009.1,1.12,1.34,134,0.63,8,16.093,267.5
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.4681,0.1,rain,24.86,25.43,20.71,0.78,1008.6,1.09,1.49,156,0.56,8,16.093,266.8
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.5653,0.11,rain,24.02,24.76,21.84,0.88,1007.9,1.01,1.66,172,0.5,7,13.654,266.2
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6006,0.11,rain,23.24,24.11,22.48,0.95,1007.3,0.91,1.72,180,0.5,5,12.203,266.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5502,0.11,rain,23.15,24.04,22.58,0.97,1006.8,0.78,1.64,187,0.56,3,14.238,266.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.468,0.1,rain,23.16,24.0,22.23,0.95,1006.4,0.64,1.51,190,0.66,1,16.093,266.9
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3972,0.09,rain,22.62,23.35,21.32,0.92,1006.5,0.61,1.47,174,0.75,0,16.093,267.2
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3357,0.07,rain,21.79,22.47,20.73,0.94,1007.2,0.72,1.56,110,0.85,0,16.093,267.2
9,2020-09-08 20:00:00,Overcast,cloudy,0.2705,0.06,rain,20.94,21.59,20.27,0.96,1008.2,0.89,1.69,32,0.93,0,16.093,267.2
10,2020-09-08 21:00:00,Overcast,cloudy,0.1903,0.06,rain,20.3,20.87,19.54,0.95,1008.9,1.01,1.76,343,0.99,0,16.093,267.1
11,2020-09-08 22:00:00,Overcast,cloudy,0.0901,0.04,rain,20.15,20.62,18.81,0.92,1009.1,1.07,1.76,338,1.0,0,16.093,267.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.0265,0.03,rain,20.14,20.51,18.1,0.88,1009.1,1.1,1.73,350,1.0,0,16.093,267.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.0129,0.02,rain,20.28,20.57,17.59,0.85,1008.8,1.11,1.69,356,0.99,0,16.093,266.9
14,2020-09-09 01:00:00,Overcast,cloudy,0.0247,0.02,rain,20.32,20.56,17.24,0.82,1008.9,1.08,1.63,353,0.97,0,16.093,266.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.0527,0.02,rain,20.37,20.57,16.99,0.81,1008.8,1.05,1.56,349,0.94,0,16.093,266.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.0826,0.02,rain,20.4,20.59,16.86,0.8,1008.7,1.04,1.52,347,0.93,0,16.093,266.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.1016,0.02,rain,20.22,20.41,16.78,0.81,1008.7,1.07,1.51,347,0.92,0,16.093,266.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.1208,0.03,rain,19.93,20.11,16.72,0.82,1008.8,1.08,1.49,350,0.92,0,16.093,266.9
19,2020-09-09 06:00:00,Overcast,cloudy,0.1371,0.04,rain,19.76,19.91,16.46,0.81,1009.0,1.02,1.35,2,0.91,0,16.093,267.2
20,2020-09-09 07:00:00,Overcast,cloudy,0.1412,0.03,rain,20.58,20.68,16.19,0.76,1009.4,0.8,0.99,25,0.9,0,16.093,267.3
21,2020-09-09 08:00:00,Overcast,cloudy,0.1488,0.03,rain,21.79,21.86,16.18,0.7,1009.9,0.58,0.64,54,0.89,2,15.732,267.1
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.1873,0.04,rain,22.8,22.89,16.41,0.67,1010.0,0.54,0.65,83,0.86,4,14.131,266.7
23,2020-09-09 10:00:00,Mostly Cloudy,partly-cloudy-day,0.3004,0.05,rain,24.18,24.31,16.92,0.64,1009.5,0.79,1.11,115,0.8,5,13.697,266.3
24,2020-09-09 11:00:00,Mostly Cloudy,partly-cloudy-day,0.4822,0.06,rain,25.61,25.94,17.44,0.61,1008.9,1.13,1.79,147,0.75,7,13.805,265.7
25,2020-09-09 12:00:00,Mostly Cloudy,partly-cloudy-day,0.6229,0.06,rain,27.13,28.04,17.76,0.57,1008.1,1.37,2.21,170,0.75,7,13.944,264.8
26,2020-09-09 13:00:00,Mostly Cloudy,partly-cloudy-day,0.6557,0.06,rain,28.06,28.98,18.12,0.55,1007.2,1.47,2.32,182,0.83,6,13.901,263.6
27,2020-09-09 14:00:00,Overcast,cloudy,0.6247,0.07,rain,28.33,29.41,18.55,0.55,1006.3,1.51,2.28,186,0.94,5,14.145,262.3
28,2020-09-09 15:00:00,Overcast,cloudy,0.5603,0.08,rain,27.66,28.93,19.05,0.59,1005.5,1.47,2.12,189,1.0,4,15.35,261.6
29,2020-09-09 16:00:00,Overcast,cloudy,0.4592,0.07,rain,26.84,28.09,19.94,0.66,1005.0,1.33,1.78,196,1.0,2,16.093,261.9
30,2020-09-09 17:00:00,Overcast,cloudy,0.3486,0.07,rain,25.77,26.26,20.71,0.74,1004.6,1.13,1.37,201,1.0,1,16.093,262.6
31,2020-09-09 18:00:00,Overcast,cloudy,0.2812,0.06,rain,24.6,25.19,20.85,0.8,1004.8,0.96,1.16,192,1.0,0,16.093,262.9
32,2020-09-09 19:00:00,Overcast,cloudy,0.259,0.06,rain,23.26,23.93,21.11,0.88,1005.6,0.82,1.25,145,0.97,0,16.093,262.9
33,2020-09-09 20:00:00,Overcast,cloudy,0.2521,0.06,rain,22.12,22.82,20.98,0.93,1006.6,0.73,1.43,88,0.94,0,16.093,262.8
34,2020-09-09 21:00:00,Overcast,cloudy,0.2389,0.06,rain,21.15,21.83,20.54,0.96,1007.2,0.74,1.56,57,0.92,0,16.093,262.5
35,2020-09-09 22:00:00,Overcast,cloudy,0.2205,0.05,rain,20.67,21.33,20.2,0.97,1007.2,0.87,1.6,22,0.93,0,16.093,262.0
36,2020-09-09 23:00:00,Overcast,cloudy,0.201,0.05,rain,20.38,20.99,19.77,0.96,1007.0,1.05,1.61,9,0.95,0,16.093,261.5
37,2020-09-10 00:00:00,Overcast,cloudy,0.1708,0.05,rain,20.27,20.81,19.28,0.94,1006.7,1.15,1.59,4,0.97,0,16.093,261.2
38,2020-09-10 01:00:00,Overcast,cloudy,0.1303,0.05,rain,20.27,20.71,18.6,0.9,1006.4,1.15,1.53,2,0.98,0,16.093,261.4
39,2020-09-10 02:00:00,Overcast,cloudy,0.0966,0.05,rain,20.37,20.7,17.94,0.86,1006.0,1.11,1.45,3,0.98,0,16.093,261.7
40,2020-09-10 03:00:00,Overcast,cloudy,0.0817,0.05,rain,20.43,20.68,17.29,0.82,1005.8,1.11,1.43,4,0.98,0,16.093,262.0
41,2020-09-10 04:00:00,Overcast,cloudy,0.079,0.04,rain,20.34,20.54,16.92,0.81,1005.8,1.17,1.51,1,0.98,0,16.093,262.2
42,2020-09-10 05:00:00,Overcast,cloudy,0.0806,0.03,rain,20.16,20.32,16.59,0.8,1006.0,1.23,1.6,359,0.98,0,16.093,262.4
43,2020-09-10 06:00:00,Overcast,cloudy,0.0745,0.03,rain,20.05,20.13,15.96,0.77,1006.2,1.16,1.54,5,0.98,0,16.093,262.5
44,2020-09-10 07:00:00,Overcast,cloudy,0.0489,0.02,rain,20.89,20.89,15.38,0.71,1006.5,0.87,1.25,17,0.98,0,16.093,262.3
45,2020-09-10 08:00:00,Overcast,cloudy,0.0283,0.01,rain,22.14,22.14,15.14,0.65,1006.8,0.55,0.91,32,0.98,2,16.093,262.1
46,2020-09-10 09:00:00,Overcast,cloudy,0.0309,0.01,rain,23.52,23.53,15.3,0.6,1006.7,0.46,0.81,59,0.97,3,16.093,261.6
47,2020-09-10 10:00:00,Overcast,cloudy,0.0775,0.03,rain,25.11,25.14,15.83,0.56,1006.3,0.7,1.03,100,0.97,5,16.093,261.1
48,2020-09-10 11:00:00,Overcast,cloudy,0.1804,0.04,rain,26.88,27.08,16.49,0.53,1005.7,1.04,1.37,144,0.97,6,14.389,260.5
