,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3386,0.11,rain,25.71,27.12,25.71,1.0,1009.7,1.36,1.69,184,0.77,7,14.349,263.7
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.497,0.11,rain,26.71,30.98,26.48,0.99,1009.1,1.53,2.0,198,0.72,7,15.307,263.4
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6207,0.13,rain,26.84,32.36,26.84,1.0,1008.4,1.56,2.09,200,0.66,7,16.093,263.7
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7304,0.14,rain,26.19,29.39,26.19,1.0,1007.6,1.5,2.08,199,0.6,6,16.093,264.3
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7723,0.16,rain,25.36,26.79,25.36,1.0,1007.1,1.39,2.04,198,0.57,4,16.093,264.8
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6998,0.18,rain,24.51,26.42,24.51,1.0,1007.0,1.23,1.95,199,0.57,2,14.541,265.2
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5887,0.18,rain,23.76,25.7,23.76,1.0,1007.1,1.03,1.81,197,0.59,0,8.268,265.4
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5027,0.17,rain,22.98,24.91,22.98,1.0,1007.5,0.84,1.65,188,0.65,0,6.118,265.3
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.4436,0.16,rain,22.4,24.21,22.4,1.0,1008.5,0.68,1.43,165,0.77,0,9.897,264.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.3957,0.16,rain,21.82,23.53,21.82,1.0,1009.7,0.53,1.19,142,0.91,0,15.73,263.8
10,2020-09-08 21:00:00,Overcast,cloudy,0.3516,0.16,rain,21.32,22.91,21.32,1.0,1010.4,0.43,1.02,135,0.99,0,16.093,263.0
11,2020-09-08 22:00:00,Overcast,cloudy,0.2986,0.16,rain,20.94,22.39,20.94,1.0,1010.6,0.39,0.91,119,1.0,0,16.093,262.0
12,2020-09-08 23:00:00,Overcast,cloudy,0.242,0.18,rain,20.74,22.06,20.74,1.0,1010.5,0.38,0.84,118,1.0,0,16.093,261.2
13,2020-09-09 00:00:00,Overcast,cloudy,0.1833,0.17,rain,20.59,21.82,20.59,1.0,1010.3,0.37,0.77,109,0.99,0,16.093,260.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.1208,0.16,rain,20.47,21.63,20.47,1.0,1010.0,0.36,0.72,88,0.99,0,16.093,261.0
15,2020-09-09 02:00:00,Overcast,cloudy,0.0739,0.12,rain,20.26,21.37,20.26,1.0,1009.5,0.36,0.69,62,1.0,0,16.093,261.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.0606,0.07,rain,20.02,21.09,20.02,1.0,1009.3,0.36,0.68,47,0.99,0,16.093,262.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0785,0.09,rain,19.62,20.66,19.62,1.0,1009.4,0.34,0.72,47,1.0,0,16.093,262.2
18,2020-09-09 05:00:00,Overcast,cloudy,0.1104,0.1,rain,19.17,20.22,19.17,1.0,1009.6,0.34,0.77,54,0.99,0,16.093,262.5
19,2020-09-09 06:00:00,Overcast,cloudy,0.1309,0.12,rain,18.9,19.99,18.9,1.0,1009.9,0.36,0.8,77,0.93,0,16.093,262.7
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.1352,0.15,rain,19.94,21.1,19.94,1.0,1010.3,0.42,0.76,125,0.78,1,16.093,262.8
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.1584,0.14,rain,21.69,22.96,21.69,1.0,1010.6,0.53,0.75,182,0.61,3,16.093,262.8
22,2020-09-09 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2278,0.12,rain,23.38,24.72,23.38,1.0,1010.6,0.69,0.89,217,0.53,5,16.093,262.6
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3747,0.1,rain,24.79,26.25,24.79,1.0,1010.0,0.95,1.26,216,0.56,7,16.093,262.0
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6014,0.11,rain,26.08,28.81,26.08,1.0,1009.2,1.24,1.71,205,0.64,8,15.332,261.3
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8138,0.13,rain,26.84,32.33,26.62,0.99,1008.3,1.43,2.01,197,0.69,8,14.331,260.6
