,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2565,0.04,rain,23.28,23.77,19.78,0.81,1010.3,1.29,1.52,126,0.76,7,16.093,267.2
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.4224,0.05,rain,24.54,25.09,20.44,0.78,1009.8,1.49,1.76,137,0.67,8,15.072,266.7
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.5326,0.06,rain,24.73,25.34,21.0,0.8,1009.1,1.52,1.66,139,0.53,8,13.572,266.2
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.6078,0.07,rain,23.94,24.64,21.54,0.86,1008.4,1.47,1.48,136,0.4,7,12.352,265.8
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.6596,0.08,rain,22.89,23.68,21.81,0.94,1007.9,1.35,1.39,132,0.36,5,12.073,265.6
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.6887,0.08,rain,21.9,22.75,21.84,1.0,1007.5,1.14,1.32,131,0.44,3,12.91,265.7
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.6768,0.08,rain,21.48,22.31,21.48,1.0,1007.3,0.9,1.34,124,0.57,1,14.462,266.0
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6167,0.08,rain,20.76,21.53,20.76,1.0,1007.6,0.73,1.27,102,0.69,0,16.093,266.0
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5098,0.06,rain,20.2,20.9,20.2,1.0,1008.3,0.65,1.05,57,0.82,0,16.093,265.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.3774,0.05,rain,19.44,20.06,19.44,1.0,1009.4,0.62,0.83,1,0.94,0,16.093,265.5
10,2020-09-08 21:00:00,Overcast,cloudy,0.2427,0.05,rain,18.89,19.41,18.67,0.99,1010.1,0.62,0.8,325,1.0,0,16.093,265.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.1088,0.03,rain,18.56,18.96,17.82,0.95,1010.4,0.69,0.94,322,1.0,0,16.093,265.3
12,2020-09-08 23:00:00,Overcast,cloudy,0.0254,0.03,rain,18.45,18.75,17.11,0.92,1010.3,0.79,1.21,333,1.0,0,16.093,265.5
13,2020-09-09 00:00:00,Overcast,cloudy,0.0033,0.01,rain,18.28,18.49,16.48,0.89,1009.7,0.87,1.44,339,1.0,0,16.093,265.4
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,18.2,18.36,16.1,0.88,1009.4,0.94,1.6,336,0.99,0,16.093,265.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,18.16,18.29,15.86,0.86,1009.3,0.99,1.73,333,0.97,0,16.093,264.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.0114,0.01,rain,18.2,18.31,15.75,0.86,1009.5,1.01,1.81,332,0.96,0,16.093,264.9
17,2020-09-09 04:00:00,Overcast,cloudy,0.0264,0.02,rain,18.24,18.36,15.84,0.86,1009.8,1.01,1.85,331,0.95,0,16.093,265.1
18,2020-09-09 05:00:00,Overcast,cloudy,0.0658,0.03,rain,18.17,18.32,16.06,0.88,1010.3,0.98,1.82,332,0.94,0,16.093,265.5
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1017,0.04,rain,17.93,18.13,16.23,0.9,1010.6,0.93,1.68,343,0.87,0,16.093,265.8
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.103,0.04,rain,18.48,18.73,16.75,0.9,1010.9,0.82,1.36,5,0.72,0,16.093,265.8
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.094,0.03,rain,19.45,19.78,17.64,0.89,1011.3,0.72,1.02,23,0.55,2,16.093,265.7
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.1061,0.03,rain,20.38,20.79,18.5,0.89,1011.2,0.72,0.93,28,0.41,4,16.093,265.7
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.1914,0.04,rain,21.41,21.89,19.25,0.87,1010.7,0.89,1.17,73,0.32,7,14.848,265.6
24,2020-09-09 11:00:00,Clear,clear-day,0.3829,0.06,rain,22.76,23.33,20.22,0.86,1009.9,1.1,1.55,99,0.26,9,11.306,265.4
25,2020-09-09 12:00:00,Clear,clear-day,0.5603,0.06,rain,24.34,24.93,20.76,0.8,1009.1,1.25,1.77,114,0.29,10,9.351,264.8
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.6082,0.06,rain,25.1,25.68,20.75,0.77,1008.1,1.33,1.76,121,0.45,9,9.482,263.4
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.5911,0.06,rain,25.24,25.78,20.55,0.75,1007.2,1.35,1.66,122,0.65,6,10.578,261.9
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5736,0.06,rain,24.46,25.03,20.61,0.79,1006.4,1.31,1.55,120,0.79,4,11.638,261.0
29,2020-09-09 16:00:00,Mostly Cloudy,partly-cloudy-day,0.5605,0.06,rain,23.31,23.97,21.06,0.87,1005.9,1.17,1.45,116,0.83,2,12.444,261.0
30,2020-09-09 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5312,0.06,rain,22.13,22.93,21.64,0.97,1005.7,1.0,1.33,107,0.86,1,13.486,261.5
31,2020-09-09 18:00:00,Overcast,cloudy,0.4665,0.06,rain,21.16,21.98,21.16,1.0,1005.9,0.85,1.19,92,0.89,0,15.104,261.8
32,2020-09-09 19:00:00,Overcast,cloudy,0.3632,0.05,rain,20.19,21.0,20.19,1.0,1006.7,0.72,1.01,67,0.94,0,16.093,261.7
33,2020-09-09 20:00:00,Overcast,cloudy,0.2658,0.04,rain,19.24,19.98,19.24,1.0,1007.9,0.62,0.85,40,0.98,0,16.093,261.5
