,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.2035,0.05,rain,23.46,24.31,22.38,0.94,1009.8,1.34,1.89,195,1.0,5,16.093,266.8
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.2625,0.05,rain,24.68,25.57,23.03,0.91,1009.4,1.49,2.15,201,1.0,6,16.093,266.3
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.3514,0.06,rain,24.97,25.96,23.86,0.94,1008.7,1.48,2.24,205,1.0,5,15.601,265.9
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.5111,0.08,rain,24.3,25.46,24.3,1.0,1008.0,1.4,2.23,206,1.0,5,10.018,265.7
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.6437,0.09,rain,23.32,24.64,23.32,1.0,1007.4,1.29,2.11,209,1.0,4,7.513,265.6
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.657,0.09,rain,22.5,23.95,22.5,1.0,1007.0,1.16,1.84,217,1.0,2,9.115,265.8
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5905,0.09,rain,22.35,23.85,22.35,1.0,1006.8,1.01,1.49,222,1.0,1,12.515,266.1
7,2020-09-08 18:00:00,Overcast,cloudy,0.4564,0.07,rain,21.88,23.38,21.88,1.0,1007.0,0.86,1.23,202,1.0,0,15.88,266.0
8,2020-09-08 19:00:00,Overcast,cloudy,0.2737,0.05,rain,21.17,22.65,21.17,1.0,1007.8,0.71,1.06,148,1.0,0,16.093,265.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.144,0.04,rain,20.26,21.67,20.26,1.0,1008.8,0.58,0.96,79,1.0,0,16.093,265.2
10,2020-09-08 21:00:00,Overcast,cloudy,0.1052,0.04,rain,19.64,20.93,19.64,1.0,1009.5,0.52,0.93,35,1.0,0,16.093,264.9
11,2020-09-08 22:00:00,Overcast,cloudy,0.0905,0.04,rain,19.34,20.47,19.34,1.0,1009.7,0.55,1.0,24,1.0,0,16.093,265.0
12,2020-09-08 23:00:00,Overcast,cloudy,0.0727,0.03,rain,19.14,20.11,19.14,1.0,1009.8,0.64,1.1,27,1.0,0,16.093,265.2
13,2020-09-09 00:00:00,Overcast,cloudy,0.0583,0.03,rain,18.89,19.75,18.89,1.0,1009.8,0.69,1.17,27,1.0,0,16.093,265.3
14,2020-09-09 01:00:00,Overcast,cloudy,0.0468,0.03,rain,18.58,19.38,18.58,1.0,1009.6,0.7,1.15,23,0.97,0,16.093,265.1
15,2020-09-09 02:00:00,Overcast,cloudy,0.0388,0.03,rain,18.45,19.21,18.45,1.0,1009.4,0.71,1.11,20,0.94,0,16.093,264.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.0311,0.03,rain,18.45,19.2,18.45,1.0,1009.2,0.75,1.15,18,0.9,0,16.093,265.0
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0224,0.03,rain,18.21,18.92,18.21,1.0,1009.1,0.82,1.3,13,0.85,0,16.093,265.6
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0191,0.04,rain,17.9,18.6,17.9,1.0,1009.1,0.91,1.46,12,0.79,0,16.093,266.3
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0228,0.05,rain,17.71,18.41,17.71,1.0,1009.3,0.93,1.48,31,0.68,0,16.093,266.6
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0287,0.04,rain,18.35,19.05,18.35,1.0,1009.8,0.85,1.26,77,0.48,0,16.093,266.4
21,2020-09-09 08:00:00,Clear,clear-day,0.0402,0.04,rain,19.72,20.48,19.72,1.0,1010.2,0.76,1.0,133,0.27,2,16.093,266.0
22,2020-09-09 09:00:00,Clear,clear-day,0.0703,0.04,rain,21.19,22.0,21.19,1.0,1010.4,0.82,1.03,178,0.14,5,15.467,265.6
23,2020-09-09 10:00:00,Clear,clear-day,0.1418,0.04,rain,22.58,23.42,22.08,0.97,1010.0,1.12,1.45,190,0.14,8,12.933,265.0
24,2020-09-09 11:00:00,Humid,clear-day,0.2534,0.05,rain,24.11,24.95,22.71,0.92,1009.3,1.49,1.99,194,0.17,10,10.864,264.5
25,2020-09-09 12:00:00,Humid,clear-day,0.3676,0.05,rain,25.53,26.64,23.22,0.87,1008.5,1.67,2.31,197,0.25,10,10.584,264.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4615,0.06,rain,26.24,28.38,23.38,0.84,1007.6,1.65,2.32,203,0.43,9,12.784,263.9
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.532,0.07,rain,26.11,27.98,23.4,0.85,1006.7,1.53,2.2,207,0.65,6,15.943,263.9
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5557,0.07,rain,25.17,26.01,23.46,0.9,1006.0,1.39,2.04,211,0.8,4,16.093,263.5
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5347,0.07,rain,23.99,25.01,23.73,0.98,1005.5,1.22,1.87,219,0.87,2,16.093,262.7
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.4972,0.07,rain,23.09,24.23,23.09,1.0,1005.3,1.04,1.66,222,0.89,1,16.093,261.9
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.4289,0.06,rain,22.26,23.43,22.26,1.0,1005.5,0.88,1.43,203,0.88,0,16.093,261.4
32,2020-09-09 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3071,0.05,rain,21.37,22.56,21.37,1.0,1006.2,0.72,1.16,153,0.81,0,16.093,261.2
33,2020-09-09 20:00:00,Mostly Cloudy,partly-cloudy-night,0.1972,0.05,rain,20.37,21.5,20.37,1.0,1007.2,0.59,0.91,93,0.72,0,16.093,261.3
34,2020-09-09 21:00:00,Mostly Cloudy,partly-cloudy-night,0.1357,0.04,rain,19.63,20.66,19.63,1.0,1007.8,0.53,0.8,53,0.68,0,16.093,261.1
35,2020-09-09 22:00:00,Mostly Cloudy,partly-cloudy-night,0.0956,0.04,rain,19.22,20.17,19.22,1.0,1007.9,0.58,0.89,40,0.71,0,16.093,260.5
36,2020-09-09 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0684,0.03,rain,18.92,19.78,18.92,1.0,1007.8,0.67,1.07,38,0.76,0,16.093,259.9
37,2020-09-10 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0586,0.02,rain,18.6,19.38,18.6,1.0,1007.5,0.75,1.2,40,0.82,0,16.093,259.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.0601,0.02,rain,18.26,18.98,18.26,1.0,1007.2,0.77,1.25,38,0.9,0,16.093,259.8
39,2020-09-10 02:00:00,Overcast,cloudy,0.0635,0.02,rain,18.1,18.79,18.1,1.0,1006.8,0.8,1.29,38,0.97,0,16.093,260.2
40,2020-09-10 03:00:00,Overcast,cloudy,0.0574,0.02,rain,18.16,18.85,18.16,1.0,1006.5,0.86,1.37,36,1.0,0,16.093,260.4
41,2020-09-10 04:00:00,Overcast,cloudy,0.0382,0.02,rain,18.04,18.71,18.04,1.0,1006.5,0.96,1.55,30,0.99,0,16.093,260.5
42,2020-09-10 05:00:00,Overcast,cloudy,0.0202,0.02,rain,17.81,18.47,17.81,1.0,1006.4,1.07,1.72,28,0.96,0,16.093,260.6
43,2020-09-10 06:00:00,Overcast,cloudy,0.0099,0.02,rain,17.67,18.34,17.67,1.0,1006.2,1.07,1.66,42,0.89,0,16.093,260.5
44,2020-09-10 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0064,0.02,rain,18.4,19.08,18.4,1.0,1006.5,0.91,1.23,79,0.71,0,16.093,260.3
45,2020-09-10 08:00:00,Partly Cloudy,partly-cloudy-day,0.0143,0.02,rain,19.73,20.47,19.73,1.0,1006.9,0.74,0.79,122,0.5,2,16.093,259.9
46,2020-09-10 09:00:00,Partly Cloudy,partly-cloudy-day,0.0377,0.02,rain,21.18,21.96,21.15,1.0,1007.2,0.75,0.82,152,0.36,4,16.093,259.3
47,2020-09-10 10:00:00,Clear,clear-day,0.0799,0.03,rain,22.6,23.39,21.72,0.95,1006.9,1.04,1.22,176,0.28,7,16.093,258.4
48,2020-09-10 11:00:00,Clear,clear-day,0.1472,0.04,rain,24.21,24.97,22.16,0.88,1006.3,1.4,1.83,188,0.25,9,16.093,257.3
