,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.0754,0.04,rain,22.66,23.62,22.66,1.0,1009.8,1.53,2.06,200,1.0,5,16.093,265.1
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.1335,0.05,rain,23.73,24.69,23.23,0.97,1009.4,1.71,2.32,203,0.99,6,16.093,264.6
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.2471,0.06,rain,23.81,24.93,23.81,1.0,1008.8,1.68,2.31,208,0.99,6,16.093,264.3
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4041,0.08,rain,23.02,24.36,23.02,1.0,1008.0,1.55,2.17,210,1.0,5,11.117,264.0
4,2020-09-08 15:00:00,Overcast,cloudy,0.5183,0.09,rain,22.07,23.61,22.07,1.0,1007.5,1.4,2.04,208,1.0,4,7.988,263.9
5,2020-09-08 16:00:00,Overcast,cloudy,0.5406,0.09,rain,21.47,23.17,21.47,1.0,1007.2,1.26,1.92,210,1.0,2,8.359,264.2
6,2020-09-08 17:00:00,Overcast,cloudy,0.4992,0.09,rain,21.28,23.02,21.28,1.0,1007.0,1.09,1.77,236,1.0,1,10.409,264.6
7,2020-09-08 18:00:00,Overcast,cloudy,0.3939,0.07,rain,20.87,22.61,20.87,1.0,1007.3,0.91,1.56,212,1.0,0,13.198,264.6
8,2020-09-08 19:00:00,Overcast,cloudy,0.239,0.05,rain,20.19,21.87,20.19,1.0,1008.2,0.72,1.25,158,1.0,0,16.093,264.3
9,2020-09-08 20:00:00,Overcast,cloudy,0.1287,0.04,rain,19.32,20.94,19.32,1.0,1009.2,0.55,0.94,65,1.0,0,16.093,263.9
10,2020-09-08 21:00:00,Overcast,cloudy,0.0982,0.04,rain,18.57,20.09,18.57,1.0,1010.0,0.47,0.76,30,1.0,0,16.093,263.7
11,2020-09-08 22:00:00,Overcast,cloudy,0.0898,0.04,rain,18.04,19.33,18.04,1.0,1010.2,0.5,0.77,25,1.0,0,16.093,263.7
12,2020-09-08 23:00:00,Overcast,cloudy,0.0789,0.03,rain,17.71,18.78,17.71,1.0,1010.4,0.59,0.86,28,1.0,0,16.093,263.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.0676,0.03,rain,17.49,18.44,17.49,1.0,1010.4,0.65,0.92,29,1.0,0,16.093,263.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0558,0.03,rain,17.27,18.17,17.27,1.0,1010.1,0.64,0.91,26,1.0,0,16.093,263.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.0462,0.03,rain,17.01,17.85,17.01,1.0,1009.9,0.64,0.9,23,0.99,0,16.093,263.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.0368,0.03,rain,16.97,17.76,16.97,1.0,1009.8,0.67,0.96,20,0.98,0,16.093,263.4
17,2020-09-09 04:00:00,Overcast,cloudy,0.0264,0.04,rain,16.59,17.33,16.59,1.0,1009.8,0.76,1.12,14,0.96,0,16.093,264.1
18,2020-09-09 05:00:00,Overcast,cloudy,0.0233,0.04,rain,16.0,16.72,16.0,1.0,1009.9,0.86,1.29,11,0.92,0,16.093,265.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0285,0.05,rain,15.79,16.54,15.79,1.0,1010.0,0.89,1.32,30,0.8,0,16.093,265.4
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0334,0.04,rain,16.57,17.35,16.57,1.0,1010.4,0.81,1.11,80,0.56,0,16.093,265.0
21,2020-09-09 08:00:00,Clear,clear-day,0.0398,0.04,rain,18.01,18.89,18.01,1.0,1010.7,0.72,0.86,142,0.3,2,16.093,264.4
22,2020-09-09 09:00:00,Clear,clear-day,0.0627,0.04,rain,19.44,20.41,19.44,1.0,1010.6,0.8,0.92,182,0.15,5,16.093,263.9
23,2020-09-09 10:00:00,Clear,clear-day,0.1265,0.04,rain,20.94,22.0,20.94,1.0,1010.3,1.14,1.41,192,0.15,8,14.723,263.4
24,2020-09-09 11:00:00,Humid,clear-day,0.2325,0.05,rain,22.49,23.6,22.49,1.0,1009.5,1.54,2.02,192,0.19,10,11.53,263.1
25,2020-09-09 12:00:00,Humid,clear-day,0.3441,0.06,rain,23.9,24.96,23.9,1.0,1008.7,1.74,2.37,193,0.3,10,10.085,262.7
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4389,0.07,rain,24.63,25.71,24.3,0.98,1007.8,1.68,2.34,199,0.49,9,11.072,262.6
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5152,0.08,rain,24.59,25.72,24.59,1.0,1006.8,1.51,2.18,203,0.71,6,13.007,262.5
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5343,0.08,rain,23.72,24.97,23.72,1.0,1006.1,1.35,2.06,209,0.86,4,14.088,262.1
