,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1934,0.08,rain,24.77,26.1,24.77,1.0,1009.6,1.37,1.59,214,0.33,9,12.994,265.0
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3488,0.08,rain,25.6,26.98,25.6,1.0,1009.1,1.56,1.88,212,0.4,9,9.336,264.1
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5402,0.11,rain,25.67,27.34,25.67,1.0,1008.4,1.61,2.02,214,0.47,8,8.2,264.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7443,0.14,rain,25.01,25.62,25.01,1.0,1007.7,1.59,2.06,215,0.56,6,8.326,264.6
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.8384,0.15,rain,24.09,25.77,24.09,1.0,1007.1,1.49,1.98,215,0.63,4,9.376,265.3
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7569,0.15,rain,23.44,25.18,23.44,1.0,1006.8,1.28,1.76,218,0.67,2,11.561,266.3
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5954,0.14,rain,22.89,24.67,22.89,1.0,1006.7,1.03,1.46,218,0.71,1,14.401,267.4
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.4389,0.13,rain,22.2,23.94,22.2,1.0,1007.0,0.83,1.23,202,0.77,0,16.093,267.8
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.298,0.11,rain,21.8,23.45,21.8,1.0,1007.8,0.68,1.07,165,0.84,0,16.093,267.4
9,2020-09-08 20:00:00,Overcast,cloudy,0.1842,0.09,rain,21.3,22.82,21.3,1.0,1008.8,0.57,0.95,119,0.91,0,16.093,266.6
10,2020-09-08 21:00:00,Overcast,cloudy,0.1135,0.07,rain,20.86,22.24,20.86,1.0,1009.5,0.5,0.91,84,0.96,0,16.093,265.9
11,2020-09-08 22:00:00,Overcast,cloudy,0.0626,0.06,rain,20.53,21.78,20.53,1.0,1009.7,0.49,0.97,68,0.96,0,16.093,265.4
12,2020-09-08 23:00:00,Overcast,cloudy,0.0291,0.06,rain,20.26,21.4,20.26,1.0,1009.4,0.53,1.08,62,0.96,0,16.093,264.9
13,2020-09-09 00:00:00,Overcast,cloudy,0.0132,0.06,rain,20.03,21.09,20.03,1.0,1008.8,0.55,1.14,56,0.97,0,16.093,264.4
14,2020-09-09 01:00:00,Overcast,cloudy,0.0138,0.07,rain,19.83,20.84,19.83,1.0,1008.7,0.56,1.16,45,0.98,0,16.093,263.7
15,2020-09-09 02:00:00,Overcast,cloudy,0.0321,0.08,rain,19.91,20.92,19.91,1.0,1008.9,0.57,1.16,33,0.99,0,16.093,263.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.0641,0.1,rain,20.04,21.05,20.04,1.0,1008.9,0.57,1.13,24,1.0,0,16.093,263.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.113,0.12,rain,20.13,21.16,20.13,1.0,1009.0,0.53,1.05,19,1.0,0,16.093,263.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.1744,0.15,rain,20.13,21.22,20.13,1.0,1009.1,0.51,0.97,19,1.0,0,16.093,264.2
19,2020-09-09 06:00:00,Overcast,cloudy,0.2127,0.16,rain,20.02,21.16,20.02,1.0,1009.3,0.52,0.95,35,0.97,0,16.093,264.6
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.2159,0.14,rain,20.45,21.63,20.45,1.0,1009.8,0.59,1.01,75,0.82,1,16.093,264.5
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.2078,0.11,rain,21.48,22.73,21.48,1.0,1010.2,0.7,1.12,210,0.66,2,16.093,264.2
22,2020-09-09 09:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1939,0.1,rain,22.54,23.82,22.54,1.0,1010.2,0.88,1.34,251,0.56,4,16.093,263.7
23,2020-09-09 10:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1875,0.08,rain,23.77,25.04,23.77,1.0,1009.8,1.16,1.7,256,0.53,7,13.586,263.0
