,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 10:45:00,Overcast,cloudy,0.0552,0.04,rain,15.37,17.51,15.37,1,1010.1,1.66,1.97,220,0.88,6,8.916,261.2
1,2020-09-08 11:45:00,Mostly Cloudy,partly-cloudy-day,0.118,0.05,rain,16.52,18.59,16.52,1,1009.2,1.86,2.27,213,0.84,7,3.365,260.3
2,2020-09-08 12:45:00,Foggy,fog,0.1695,0.06,rain,17.39,19.45,17.39,1,1008.4,1.97,2.32,219,0.77,7,3.005,260.0
3,2020-09-08 13:45:00,Mostly Cloudy,partly-cloudy-day,0.2119,0.07,rain,17.39,19.52,17.39,1,1007.4,2.0,2.23,227,0.68,7,5.513,260.0
4,2020-09-08 14:45:00,Mostly Cloudy,partly-cloudy-day,0.2372,0.08,rain,16.7,19.05,16.7,1,1006.7,1.93,2.06,224,0.62,5,8.913,260.1
5,2020-09-08 15:45:00,Partly Cloudy,partly-cloudy-day,0.2388,0.09,rain,15.91,18.68,15.91,1,1006.4,1.67,1.85,201,0.59,3,13.844,260.6
6,2020-09-08 16:45:00,Partly Cloudy,partly-cloudy-day,0.2186,0.09,rain,15.02,18.08,15.02,1,1006.4,1.32,1.56,133,0.58,1,16.093,261.1
7,2020-09-08 17:45:00,Partly Cloudy,partly-cloudy-day,0.1804,0.08,rain,14.23,17.33,14.23,1,1007.0,1.03,1.33,271,0.56,0,16.093,261.5
8,2020-09-08 18:45:00,Partly Cloudy,partly-cloudy-night,0.1186,0.06,rain,13.7,16.69,13.7,1,1008.2,0.88,1.21,321,0.54,0,16.093,261.6
9,2020-09-08 19:45:00,Partly Cloudy,partly-cloudy-night,0.0609,0.05,rain,13.0,15.86,13.0,1,1009.6,0.79,1.13,52,0.51,0,13.727,261.6
10,2020-09-08 20:45:00,Partly Cloudy,partly-cloudy-night,0.0315,0.02,rain,12.54,15.25,12.54,1,1010.5,0.75,1.1,39,0.5,0,10.297,261.5
11,2020-09-08 21:45:00,Partly Cloudy,partly-cloudy-night,0.0188,0.02,rain,12.11,14.49,12.11,1,1010.8,0.73,1.11,36,0.52,0,12.266,261.1
12,2020-09-08 22:45:00,Partly Cloudy,partly-cloudy-night,0.012,0.04,rain,11.69,13.71,11.69,1,1010.5,0.76,1.16,44,0.55,0,16.093,260.6
13,2020-09-08 23:45:00,Mostly Cloudy,partly-cloudy-night,0.0094,0.04,rain,11.45,13.19,11.45,1,1010.5,0.77,1.2,50,0.6,0,16.093,260.1
14,2020-09-09 00:45:00,Mostly Cloudy,partly-cloudy-night,0.008,0.04,rain,11.85,13.25,11.85,1,1010.5,0.78,1.19,50,0.67,0,16.093,259.6
15,2020-09-09 01:45:00,Mostly Cloudy,partly-cloudy-night,0.0073,0.02,rain,11.77,12.96,11.77,1,1010.3,0.78,1.18,47,0.75,0,16.093,259.1
16,2020-09-09 02:45:00,Mostly Cloudy,partly-cloudy-night,0.0065,0.02,rain,11.83,12.86,11.83,1,1010.2,0.76,1.14,42,0.81,0,16.093,258.9
17,2020-09-09 03:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.65,12.67,11.65,1,1009.9,0.7,1.07,32,0.82,0,16.093,259.2
18,2020-09-09 04:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.3,12.41,11.3,1,1010.1,0.61,0.97,25,0.8,0,16.093,259.8
19,2020-09-09 05:45:00,Mostly Cloudy,partly-cloudy-night,0.005,0.02,rain,10.97,12.27,10.97,1,1010.5,0.59,0.91,31,0.75,0,16.093,260.4
20,2020-09-09 06:45:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,11.38,12.77,11.38,1,1010.8,0.67,0.85,60,0.66,0,16.093,261.1
21,2020-09-09 07:45:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,12.37,13.82,12.37,1,1011.0,0.82,0.89,107,0.56,2,16.093,261.8
22,2020-09-09 08:45:00,Partly Cloudy,partly-cloudy-day,0.0098,0.02,rain,13.42,14.96,13.42,1,1010.9,1.03,1.16,143,0.47,4,16.093,261.9
23,2020-09-09 09:45:00,Partly Cloudy,partly-cloudy-day,0.0286,0.03,rain,14.41,16.11,14.41,1,1011.0,1.36,1.7,176,0.41,7,16.093,260.9
24,2020-09-09 10:45:00,Partly Cloudy,partly-cloudy-day,0.0725,0.05,rain,15.42,17.41,15.42,1,1010.0,1.74,2.36,200,0.38,9,10.245,259.2
25,2020-09-09 11:45:00,Partly Cloudy,partly-cloudy-day,0.1284,0.07,rain,16.06,18.21,16.06,1,1008.8,1.99,2.77,217,0.41,10,4.581,257.9
26,2020-09-09 12:45:00,Partly Cloudy,partly-cloudy-day,0.1812,0.08,rain,16.17,18.61,16.17,1,1007.8,2.01,2.7,227,0.54,9,3.763,257.2
27,2020-09-09 13:45:00,Mostly Cloudy,partly-cloudy-day,0.2333,0.08,rain,15.8,18.5,15.8,1,1006.5,1.88,2.38,229,0.73,7,3.408,256.9
28,2020-09-09 14:45:00,Overcast,cloudy,0.2616,0.08,rain,15.21,18.2,15.21,1,1005.6,1.69,2.04,223,0.88,5,3.345,256.6
29,2020-09-09 15:45:00,Overcast,cloudy,0.2415,0.09,rain,14.94,18.09,14.94,1,1005.1,1.43,1.66,198,0.91,3,3.878,256.5
30,2020-09-09 16:45:00,Overcast,cloudy,0.1955,0.08,rain,14.45,17.74,14.45,1,1005.2,1.12,1.25,103,0.92,1,4.931,256.7
31,2020-09-09 17:45:00,Overcast,cloudy,0.1448,0.07,rain,14.05,17.22,14.05,1,1005.7,0.87,0.92,255,0.94,0,6.692,257.0
32,2020-09-09 18:45:00,Overcast,cloudy,0.0925,0.05,rain,13.63,16.7,13.63,1,1006.7,0.7,0.78,242,0.96,0,9.863,257.6
33,2020-09-09 19:45:00,Overcast,cloudy,0.0459,0.05,rain,12.85,15.84,12.85,1,1008.2,0.6,0.74,63,0.99,0,13.789,258.2
34,2020-09-09 20:45:00,Overcast,cloudy,0.0197,0.03,rain,12.33,15.23,12.33,1,1009.0,0.55,0.75,60,1.0,0,16.093,258.2
35,2020-09-09 21:45:00,Overcast,cloudy,0.0068,0.02,rain,11.98,14.57,11.98,1,1008.7,0.6,0.84,49,0.98,0,16.093,256.9
36,2020-09-09 22:45:00,Overcast,cloudy,0.0,0.0,,11.55,13.76,11.55,1,1008.3,0.72,0.98,38,0.95,0,16.093,254.9
37,2020-09-09 23:45:00,Overcast,cloudy,0.0,0.0,,11.31,13.21,11.31,1,1007.0,0.79,1.07,31,0.92,0,16.093,253.5
38,2020-09-10 00:45:00,Overcast,cloudy,0.0,0.0,,11.23,12.8,11.23,1,1007.6,0.8,1.05,34,0.89,0,16.093,253.2
39,2020-09-10 01:45:00,Mostly Cloudy,partly-cloudy-night,0.0051,0.05,rain,11.0,12.35,11.0,1,1007.5,0.76,0.97,42,0.85,0,16.093,253.7
40,2020-09-10 02:45:00,Mostly Cloudy,partly-cloudy-night,0.0083,0.05,rain,11.21,12.24,11.21,1,1007.5,0.73,0.95,48,0.84,0,16.093,254.2
41,2020-09-10 03:45:00,Mostly Cloudy,partly-cloudy-night,0.0051,0.04,rain,11.2,12.07,11.2,1,1007.3,0.72,0.98,43,0.86,0,16.093,254.6
42,2020-09-10 04:45:00,Overcast,cloudy,0.0,0.0,,10.92,11.77,10.92,1,1007.4,0.72,1.01,37,0.89,0,16.093,255.1
43,2020-09-10 05:45:00,Overcast,cloudy,0.0,0.0,,10.68,11.62,10.68,1,1006.8,0.75,1.05,44,0.92,0,16.093,255.3
44,2020-09-10 06:45:00,Overcast,cloudy,0.0,0.0,,11.1,12.13,11.1,1,1007.0,0.8,1.03,81,0.93,0,16.093,255.4
45,2020-09-10 07:45:00,Overcast,cloudy,0.0,0.0,,12.25,13.37,12.25,1,1007.1,0.89,1.0,135,0.94,2,16.093,255.3
46,2020-09-10 08:45:00,Overcast,cloudy,0.0,0.0,,13.6,14.77,13.6,1,1007.1,1.05,1.12,180,0.94,4,16.093,255.0
47,2020-09-10 09:45:00,Overcast,cloudy,0.0094,0.03,rain,14.81,16.06,14.81,1,1007.1,1.36,1.61,199,0.88,5,16.093,254.2
48,2020-09-10 10:45:00,Mostly Cloudy,partly-cloudy-day,0.0538,0.04,rain,16.31,17.65,16.31,1,1006.9,1.74,2.23,208,0.81,7,10.779,253.3
