,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 10:45:00,Mostly Cloudy,partly-cloudy-day,0.026,0.03,rain,15.49,18.41,15.49,1,1009.8,1.62,2.15,177,0.84,6,11.009,258.3
1,2020-09-08 11:45:00,Mostly Cloudy,partly-cloudy-day,0.0512,0.04,rain,16.56,19.55,16.56,1,1008.9,1.82,2.53,181,0.82,7,6.096,257.6
2,2020-09-08 12:45:00,Mostly Cloudy,partly-cloudy-day,0.0685,0.06,rain,17.16,20.14,17.16,1,1008.1,1.87,2.55,196,0.82,7,6.456,257.3
3,2020-09-08 13:45:00,Mostly Cloudy,partly-cloudy-day,0.0797,0.06,rain,16.74,19.94,16.74,1,1007.2,1.85,2.39,211,0.82,6,9.478,257.2
4,2020-09-08 14:45:00,Mostly Cloudy,partly-cloudy-day,0.0828,0.07,rain,15.95,19.53,15.95,1,1006.7,1.77,2.16,209,0.81,5,12.005,257.4
5,2020-09-08 15:45:00,Mostly Cloudy,partly-cloudy-day,0.0791,0.07,rain,14.53,18.67,14.53,1,1006.6,1.61,1.9,177,0.78,3,13.279,257.7
6,2020-09-08 16:45:00,Mostly Cloudy,partly-cloudy-day,0.0704,0.07,rain,13.54,17.91,13.54,1,1006.7,1.41,1.59,113,0.74,1,14.069,258.2
7,2020-09-08 17:45:00,Mostly Cloudy,partly-cloudy-day,0.0536,0.06,rain,12.47,16.99,12.47,1,1007.2,1.21,1.31,327,0.71,0,13.525,258.5
8,2020-09-08 18:45:00,Mostly Cloudy,partly-cloudy-night,0.0249,0.04,rain,11.87,16.15,11.87,1,1008.4,1.05,1.17,345,0.69,0,9.942,258.7
9,2020-09-08 19:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.4,15.3,11.4,1,1009.9,0.91,1.06,12,0.69,0,5.024,258.7
10,2020-09-08 20:45:00,Foggy,fog,0.0,0.0,,11.15,14.66,11.15,1,1010.6,0.81,0.97,14,0.69,0,3.148,258.5
11,2020-09-08 21:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.94,14.01,10.94,1,1010.9,0.75,0.9,14,0.69,0,7.545,258.2
12,2020-09-08 22:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.71,13.34,10.71,1,1011.2,0.73,0.84,20,0.7,0,14.973,257.5
13,2020-09-08 23:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.42,12.73,10.42,1,1011.7,0.71,0.8,48,0.73,0,16.093,257.0
14,2020-09-09 00:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.82,12.72,10.82,1,1011.2,0.7,0.78,60,0.78,0,16.093,256.6
15,2020-09-09 01:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.86,12.56,10.86,1,1010.6,0.68,0.77,49,0.84,0,16.093,256.3
16,2020-09-09 02:45:00,Overcast,cloudy,0.0,0.0,,11.14,12.69,11.14,1,1010.5,0.66,0.75,37,0.88,0,15.933,256.3
17,2020-09-09 03:45:00,Overcast,cloudy,0.0,0.0,,11.26,12.81,11.26,1,1011.1,0.58,0.66,22,0.88,0,16.093,256.5
18,2020-09-09 04:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.21,12.83,11.21,1,1011.7,0.49,0.57,11,0.87,0,16.093,257.1
19,2020-09-09 05:45:00,Mostly Cloudy,partly-cloudy-night,0.0072,0.03,rain,10.9,12.82,10.9,1,1011.8,0.49,0.56,14,0.83,0,16.093,257.6
20,2020-09-09 06:45:00,Mostly Cloudy,partly-cloudy-day,0.0067,0.03,rain,11.36,13.48,11.36,1,1011.9,0.62,0.69,38,0.77,0,16.093,258.4
21,2020-09-09 07:45:00,Mostly Cloudy,partly-cloudy-day,0.0058,0.02,rain,12.0,14.27,12.0,1,1011.8,0.84,0.91,70,0.7,2,16.093,259.2
22,2020-09-09 08:45:00,Mostly Cloudy,partly-cloudy-day,0.0096,0.02,rain,13.17,15.56,13.17,1,1011.7,1.08,1.21,47,0.65,4,16.093,259.4
23,2020-09-09 09:45:00,Mostly Cloudy,partly-cloudy-day,0.0271,0.03,rain,14.39,17.01,14.39,1,1010.8,1.36,1.91,126,0.6,6,16.093,258.4
24,2020-09-09 10:45:00,Partly Cloudy,partly-cloudy-day,0.0664,0.04,rain,15.72,18.58,15.72,1,1009.6,1.65,2.74,186,0.57,8,7.285,256.7
25,2020-09-09 11:45:00,Foggy,fog,0.1102,0.06,rain,16.58,19.7,16.58,1,1008.6,1.84,3.24,210,0.59,8,0.496,255.4
26,2020-09-09 12:45:00,Foggy,fog,0.1316,0.07,rain,16.63,19.99,16.63,1,1007.5,1.82,3.15,221,0.69,8,0.216,254.8
27,2020-09-09 13:45:00,Foggy,fog,0.137,0.08,rain,15.92,19.64,15.92,1,1006.5,1.7,2.71,218,0.84,6,0.134,254.5
28,2020-09-09 14:45:00,Foggy,fog,0.1275,0.08,rain,14.9,19.04,14.9,1,1005.8,1.54,2.26,205,0.95,4,0.614,254.2
29,2020-09-09 15:45:00,Foggy,fog,0.102,0.08,rain,13.88,18.38,13.88,1,1005.3,1.37,1.84,166,0.96,3,1.523,254.1
30,2020-09-09 16:45:00,Foggy,fog,0.0738,0.07,rain,12.99,17.61,12.99,1,1005.3,1.17,1.4,55,0.96,1,2.881,254.1
31,2020-09-09 17:45:00,Overcast,cloudy,0.049,0.05,rain,12.21,16.75,12.21,1,1005.7,1.0,1.06,305,0.96,0,4.746,254.4
32,2020-09-09 18:45:00,Overcast,cloudy,0.0224,0.04,rain,11.56,15.85,11.56,1,1006.9,0.86,0.87,303,0.98,0,7.498,255.1
33,2020-09-09 19:45:00,Overcast,cloudy,0.0,0.0,,10.99,14.94,10.99,1,1008.4,0.74,0.77,6,1.0,0,10.752,255.9
34,2020-09-09 20:45:00,Overcast,cloudy,0.0,0.0,,10.7,14.26,10.7,1,1009.0,0.66,0.73,54,1.0,0,13.444,256.0
35,2020-09-09 21:45:00,Overcast,cloudy,0.0,0.0,,10.57,13.7,10.57,1,1009.2,0.69,0.79,65,0.96,0,15.053,254.6
36,2020-09-09 22:45:00,Overcast,cloudy,0.0,0.0,,10.42,13.13,10.42,1,1008.9,0.77,0.9,43,0.89,0,16.09,252.4
37,2020-09-09 23:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.19,12.54,10.19,1,1008.6,0.82,0.97,27,0.84,0,16.093,250.9
38,2020-09-10 00:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,10.23,12.26,10.23,1,1008.8,0.8,0.91,26,0.82,0,16.093,250.6
39,2020-09-10 01:45:00,Mostly Cloudy,partly-cloudy-night,0.0051,0.04,rain,10.24,12.02,10.24,1,1008.8,0.75,0.78,33,0.81,0,16.093,251.1
40,2020-09-10 02:45:00,Mostly Cloudy,partly-cloudy-night,0.0083,0.04,rain,10.74,12.21,10.74,1,1008.7,0.7,0.71,41,0.81,0,16.093,251.5
41,2020-09-10 03:45:00,Mostly Cloudy,partly-cloudy-night,0.0051,0.04,rain,11.06,12.41,11.06,1,1008.7,0.64,0.65,44,0.83,0,16.093,251.8
42,2020-09-10 04:45:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,11.08,12.4,11.08,1,1008.7,0.58,0.58,49,0.87,0,16.093,252.2
43,2020-09-10 05:45:00,Overcast,cloudy,0.0,0.0,,10.82,12.36,10.82,1,1008.5,0.58,0.59,59,0.9,0,16.093,252.3
44,2020-09-10 06:45:00,Overcast,cloudy,0.0,0.0,,11.2,12.95,11.2,1,1008.6,0.68,0.69,80,0.92,0,16.093,252.3
45,2020-09-10 07:45:00,Overcast,cloudy,0.0,0.0,,11.94,13.93,11.94,1,1008.6,0.85,0.86,79,0.93,2,16.093,252.2
46,2020-09-10 08:45:00,Overcast,cloudy,0.0,0.0,,13.23,15.36,13.23,1,1008.4,1.05,1.13,104,0.93,4,16.093,251.9
47,2020-09-10 09:45:00,Overcast,cloudy,0.009,0.03,rain,14.42,16.75,14.42,1,1007.7,1.32,1.74,173,0.9,5,16.093,251.4
48,2020-09-10 10:45:00,Mostly Cloudy,partly-cloudy-day,0.0507,0.04,rain,15.83,18.31,15.83,1,1006.5,1.62,2.47,205,0.85,6,10.045,250.6
