,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.0461,0.04,rain,24.44,25.44,23.8,0.96,1009.7,1.28,1.71,215,1.0,5,16.093,266.4
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.1013,0.05,rain,25.4,26.49,23.74,0.91,1009.4,1.48,1.99,217,1.0,5,16.093,265.8
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.247,0.06,rain,25.66,27.2,24.49,0.93,1008.8,1.52,2.16,221,1.0,5,15.631,265.5
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4817,0.08,rain,25.24,26.43,25.24,1.0,1008.0,1.46,2.26,222,1.0,5,9.981,265.1
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.638,0.08,rain,24.57,26.0,24.57,1.0,1007.5,1.38,2.23,222,1.0,4,7.006,265.1
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.6079,0.09,rain,24.17,25.77,24.17,1.0,1007.1,1.26,2.02,227,1.0,2,7.484,265.2
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5028,0.08,rain,24.09,25.78,24.09,1.0,1006.9,1.1,1.72,241,1.0,1,9.685,265.4
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.3795,0.06,rain,23.46,25.11,23.46,1.0,1007.1,0.93,1.46,222,1.0,0,12.748,265.4
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.2453,0.05,rain,22.56,24.15,22.56,1.0,1007.9,0.73,1.23,173,1.0,0,16.093,265.1
9,2020-09-08 20:00:00,Overcast,cloudy,0.1645,0.05,rain,21.71,23.21,21.71,1.0,1008.8,0.53,1.02,109,1.0,0,16.093,264.8
10,2020-09-08 21:00:00,Overcast,cloudy,0.1464,0.05,rain,21.08,22.51,21.08,1.0,1009.5,0.42,0.91,85,1.0,0,16.093,264.6
11,2020-09-08 22:00:00,Overcast,cloudy,0.1295,0.05,rain,20.73,22.02,20.73,1.0,1009.8,0.41,0.92,67,1.0,0,16.093,264.8
12,2020-09-08 23:00:00,Overcast,cloudy,0.1121,0.04,rain,20.52,21.69,20.52,1.0,1009.9,0.47,0.98,56,1.0,0,16.093,265.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.0909,0.04,rain,20.33,21.4,20.33,1.0,1009.9,0.51,1.03,51,1.0,0,16.093,265.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.053,0.03,rain,20.11,21.11,20.11,1.0,1009.7,0.53,1.04,42,1.0,0,16.093,265.0
15,2020-09-09 02:00:00,Overcast,cloudy,0.0233,0.02,rain,19.85,20.79,19.85,1.0,1009.3,0.56,1.07,34,1.0,0,16.093,264.7
16,2020-09-09 03:00:00,Overcast,cloudy,0.0131,0.02,rain,19.45,20.33,19.45,1.0,1008.9,0.6,1.16,28,0.98,0,16.093,264.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.0115,0.03,rain,18.8,19.61,18.8,1.0,1008.9,0.65,1.37,20,0.93,0,16.093,265.5
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.017,0.04,rain,18.31,19.08,18.31,1.0,1009.2,0.71,1.58,20,0.85,0,16.093,266.3
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.0218,0.05,rain,18.28,19.06,18.28,1.0,1009.4,0.76,1.62,42,0.7,0,16.093,266.6
