,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.023,0.03,rain,25.14,26.15,22.85,0.87,1009.6,1.35,1.71,218,1.0,5,16.093,266.1
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.0538,0.04,rain,26.08,27.99,23.19,0.84,1009.3,1.55,1.95,215,1.0,5,16.093,265.5
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.1588,0.05,rain,26.24,28.55,24.25,0.89,1008.8,1.59,2.07,218,1.0,5,16.093,265.1
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.3438,0.07,rain,25.71,27.65,25.71,1.0,1008.1,1.53,2.13,219,1.0,5,11.534,264.7
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.499,0.08,rain,25.01,26.5,25.01,1.0,1007.5,1.43,2.07,217,1.0,4,8.392,264.7
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.5455,0.09,rain,24.62,26.35,24.62,1.0,1007.1,1.29,1.87,219,1.0,2,9.324,264.9
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5196,0.09,rain,24.53,26.31,24.53,1.0,1006.9,1.12,1.59,242,1.0,1,12.069,265.3
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.4236,0.07,rain,23.82,25.57,23.82,1.0,1007.1,0.93,1.35,218,1.0,0,15.126,265.3
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.2796,0.05,rain,22.98,24.69,22.98,1.0,1007.9,0.7,1.14,168,1.0,0,16.093,265.1
9,2020-09-08 20:00:00,Overcast,cloudy,0.1884,0.05,rain,21.97,23.58,21.97,1.0,1009.0,0.48,0.97,90,1.0,0,16.093,264.7
10,2020-09-08 21:00:00,Overcast,cloudy,0.1694,0.05,rain,21.28,22.75,21.28,1.0,1009.7,0.36,0.89,56,1.0,0,16.093,264.4
11,2020-09-08 22:00:00,Overcast,cloudy,0.1527,0.05,rain,21.02,22.38,21.02,1.0,1010.0,0.36,0.92,47,1.0,0,16.093,264.5
