,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.0359,0.03,rain,25.59,26.8,23.75,0.9,1009.6,1.3,1.76,211,1.0,5,16.093,266.7
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.0744,0.04,rain,26.43,28.89,23.78,0.85,1009.4,1.49,1.98,209,1.0,5,16.093,266.2
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.2006,0.05,rain,26.5,29.3,24.64,0.9,1008.8,1.52,2.12,210,1.0,5,15.827,265.8
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4224,0.07,rain,25.99,28.35,25.99,1.0,1008.1,1.46,2.18,209,1.0,5,8.402,265.4
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.5983,0.08,rain,25.33,26.62,25.33,1.0,1007.5,1.37,2.11,212,1.0,4,5.233,265.4
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.6249,0.08,rain,25.0,26.38,25.0,1.0,1007.1,1.24,1.83,221,1.0,2,7.897,265.5
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5682,0.08,rain,25.18,25.67,25.18,1.0,1006.8,1.08,1.47,227,1.0,1,12.891,265.9
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.4527,0.07,rain,24.52,26.3,24.52,1.0,1007.0,0.9,1.2,210,1.0,0,16.093,265.8
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.3044,0.05,rain,23.66,25.27,23.66,1.0,1007.8,0.69,1.05,161,1.0,0,16.093,265.7
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.2136,0.05,rain,22.74,24.24,22.74,1.0,1008.8,0.48,0.96,101,1.0,0,16.093,265.3
10,2020-09-08 21:00:00,Overcast,cloudy,0.1907,0.05,rain,22.13,23.54,22.13,1.0,1009.5,0.37,0.95,70,1.0,0,16.093,265.0
