,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.0256,0.04,rain,24.36,25.29,23.35,0.94,1009.7,1.42,1.68,216,0.95,6,16.093,264.2
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.0577,0.04,rain,25.43,26.65,24.33,0.94,1009.2,1.65,2.0,236,0.96,6,16.093,263.7
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.1253,0.05,rain,25.82,27.69,25.69,0.99,1008.8,1.68,2.07,244,0.98,6,16.093,263.2
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.2345,0.07,rain,25.32,26.68,25.32,1.0,1008.1,1.63,2.05,245,0.99,5,16.093,262.8
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.326,0.08,rain,24.34,26.27,24.34,1.0,1007.6,1.51,1.96,238,1.0,4,14.43,262.6
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.3613,0.09,rain,23.41,25.65,23.41,1.0,1007.3,1.34,1.82,233,1.0,2,12.032,262.9
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.3503,0.09,rain,22.76,25.1,22.76,1.0,1007.2,1.12,1.66,264,1.0,1,10.024,263.2
7,2020-09-08 18:00:00,Overcast,cloudy,0.2815,0.06,rain,21.8,24.19,21.8,1.0,1007.5,0.92,1.44,251,1.0,0,10.173,263.3
8,2020-09-08 19:00:00,Overcast,cloudy,0.1618,0.05,rain,20.84,23.17,20.84,1.0,1008.5,0.72,1.11,179,1.0,0,13.294,263.0
9,2020-09-08 20:00:00,Overcast,cloudy,0.0767,0.04,rain,19.54,21.75,19.54,1.0,1009.5,0.55,0.78,86,1.0,0,16.093,262.7
10,2020-09-08 21:00:00,Overcast,cloudy,0.0702,0.04,rain,18.68,20.65,18.68,1.0,1010.2,0.47,0.66,38,1.0,0,16.093,262.5
11,2020-09-08 22:00:00,Overcast,cloudy,0.1092,0.04,rain,18.3,19.93,18.3,1.0,1010.7,0.48,0.66,42,1.0,0,16.093,262.8
12,2020-09-08 23:00:00,Overcast,cloudy,0.1558,0.05,rain,18.09,19.42,18.09,1.0,1010.8,0.53,0.73,55,1.0,0,16.093,263.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.1499,0.05,rain,17.89,19.07,17.89,1.0,1010.9,0.58,0.82,62,1.0,0,16.093,263.3
14,2020-09-09 01:00:00,Overcast,cloudy,0.0732,0.04,rain,17.73,18.75,17.73,1.0,1010.8,0.62,0.9,61,0.99,0,16.093,263.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0132,0.03,rain,17.63,18.56,17.63,1.0,1010.3,0.66,1.0,60,0.98,0,16.093,263.2
