,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0531,0.04,rain,26.89,30.93,25.96,0.95,1010.0,1.22,1.52,203,0.72,6,16.093,266.6
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0953,0.04,rain,27.91,34.06,26.33,0.91,1009.7,1.41,1.88,224,0.74,7,16.093,266.3
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.218,0.04,rain,28.41,36.15,27.24,0.93,1009.1,1.4,1.95,234,0.83,6,16.093,265.9
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.4426,0.06,rain,28.21,37.73,28.21,1.0,1008.3,1.29,1.91,236,0.93,5,16.093,265.6
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.6115,0.06,rain,27.71,38.4,27.71,1.0,1007.8,1.17,1.79,237,1.0,4,15.53,265.4
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.6227,0.07,rain,27.14,38.16,27.14,1.0,1007.4,1.04,1.61,243,1.0,2,13.713,265.6
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5874,0.07,rain,26.76,36.27,26.76,1.0,1007.2,0.89,1.37,246,1.0,1,12.504,265.9
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.4897,0.07,rain,25.83,28.35,25.83,1.0,1007.5,0.76,1.19,234,0.99,0,13.317,266.0
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.2813,0.05,rain,24.84,24.94,24.84,1.0,1008.2,0.66,1.09,201,0.99,0,16.093,265.8
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.11,0.04,rain,23.76,25.71,23.76,1.0,1009.2,0.58,1.02,166,1.0,0,16.093,265.4
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0547,0.04,rain,23.06,24.74,23.06,1.0,1009.8,0.51,0.98,141,1.0,0,16.093,265.3
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0413,0.04,rain,22.83,24.41,22.83,1.0,1010.0,0.45,0.95,111,1.0,0,16.093,265.6
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0334,0.05,rain,22.76,24.26,22.76,1.0,1010.0,0.41,0.94,77,1.0,0,16.093,266.0
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0351,0.05,rain,22.59,23.97,22.59,1.0,1010.1,0.4,0.96,63,1.0,0,16.093,266.3
