,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Overcast,cloudy,0.0212,0.04,rain,21.23,22.29,21.23,1,1009.7,1.52,1.84,226,1.0,6,16.093,262.7
1,2020-09-08 12:00:00,Overcast,cloudy,0.0449,0.04,rain,22.22,23.39,22.22,1,1009.1,1.72,2.18,225,1.0,6,16.093,262.2
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.089,0.06,rain,22.29,23.69,22.29,1,1008.5,1.74,2.24,233,1.0,6,16.093,261.8
3,2020-09-08 14:00:00,Overcast,cloudy,0.1543,0.08,rain,21.64,23.37,21.64,1,1008.0,1.67,2.19,236,1.0,5,16.093,261.5
4,2020-09-08 15:00:00,Overcast,cloudy,0.208,0.09,rain,20.78,22.87,20.78,1,1007.5,1.56,2.13,220,1.0,4,16.093,261.4
5,2020-09-08 16:00:00,Overcast,cloudy,0.2315,0.1,rain,19.99,22.41,19.99,1,1007.3,1.38,2.07,199,1.0,2,15.466,261.8
6,2020-09-08 17:00:00,Overcast,cloudy,0.2288,0.08,rain,19.38,21.93,19.38,1,1007.3,1.16,1.97,309,1.0,1,12.589,262.2
7,2020-09-08 18:00:00,Overcast,cloudy,0.19,0.06,rain,18.34,20.86,18.34,1,1007.6,0.96,1.76,271,1.0,0,11.691,262.3
8,2020-09-08 19:00:00,Overcast,cloudy,0.1154,0.05,rain,17.42,19.8,17.42,1,1008.5,0.79,1.39,166,1.0,0,13.811,262.0
9,2020-09-08 20:00:00,Overcast,cloudy,0.0681,0.04,rain,16.45,18.62,16.45,1,1009.6,0.65,1.01,54,1.0,0,16.093,261.8
10,2020-09-08 21:00:00,Overcast,cloudy,0.0653,0.04,rain,15.63,17.52,15.63,1,1010.5,0.57,0.8,26,1.0,0,16.093,261.6
11,2020-09-08 22:00:00,Overcast,cloudy,0.0759,0.04,rain,15.26,16.86,15.26,1,1010.8,0.57,0.73,29,1.0,0,16.093,261.7
12,2020-09-08 23:00:00,Overcast,cloudy,0.0841,0.04,rain,15.1,16.51,15.1,1,1011.0,0.61,0.72,39,1.0,0,16.093,262.0
13,2020-09-09 00:00:00,Overcast,cloudy,0.0774,0.04,rain,14.94,16.16,14.94,1,1011.0,0.65,0.74,45,1.0,0,16.093,262.0
14,2020-09-09 01:00:00,Overcast,cloudy,0.047,0.04,rain,14.79,15.9,14.79,1,1011.0,0.67,0.81,43,1.0,0,16.093,261.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.0187,0.03,rain,14.65,15.68,14.65,1,1010.6,0.7,0.91,40,1.0,0,16.093,261.6
16,2020-09-09 03:00:00,Overcast,cloudy,0.0078,0.01,rain,14.53,15.43,14.53,1,1010.2,0.75,1.02,36,1.0,0,16.093,261.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.0061,0.02,rain,13.98,14.77,13.98,1,1010.2,0.84,1.14,30,0.98,0,16.093,262.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.0073,0.02,rain,13.33,14.06,13.33,1,1010.3,0.94,1.25,27,0.94,0,16.093,263.6
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0069,0.03,rain,13.16,13.93,13.16,1,1010.4,0.99,1.31,45,0.81,0,16.093,264.0
