,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.3729,0.09,rain,22.77,24.02,22.77,1.0,1009.1,1.17,1.65,202,0.89,6,16.093,267.9
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.394,0.09,rain,23.53,24.77,23.53,1.0,1008.8,1.38,2.03,231,0.91,6,16.093,267.5
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.3611,0.09,rain,23.98,25.22,23.98,1.0,1008.2,1.47,2.38,242,0.94,6,16.093,267.3
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.3954,0.08,rain,23.84,25.1,23.84,1.0,1007.3,1.47,2.68,244,0.97,5,15.576,267.1
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.436,0.08,rain,23.38,24.68,23.38,1.0,1006.8,1.42,2.72,239,0.98,4,14.997,267.0
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.3696,0.07,rain,22.82,24.21,22.82,1.0,1006.4,1.3,2.45,239,0.99,2,16.093,266.8
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.2683,0.07,rain,22.42,23.89,22.42,1.0,1006.2,1.12,2.02,251,0.99,1,16.093,266.7
7,2020-09-08 18:00:00,Overcast,cloudy,0.1867,0.06,rain,21.74,23.18,21.74,1.0,1006.3,0.94,1.64,232,0.99,0,16.093,266.5
8,2020-09-08 19:00:00,Overcast,cloudy,0.1084,0.04,rain,21.12,22.5,21.12,1.0,1007.1,0.75,1.3,199,1.0,0,16.093,266.3
9,2020-09-08 20:00:00,Overcast,cloudy,0.0483,0.03,rain,20.45,21.72,20.45,1.0,1008.4,0.56,1.0,142,1.0,0,16.093,266.0
10,2020-09-08 21:00:00,Overcast,cloudy,0.0227,0.03,rain,19.88,21.02,19.88,1.0,1008.9,0.48,0.86,119,1.0,0,16.093,266.1
11,2020-09-08 22:00:00,Overcast,cloudy,0.0147,0.03,rain,19.61,20.67,19.61,1.0,1009.2,0.54,0.94,100,1.0,0,16.093,266.5
12,2020-09-08 23:00:00,Overcast,cloudy,0.0139,0.04,rain,19.55,20.55,19.55,1.0,1009.3,0.66,1.12,80,1.0,0,16.093,266.9
13,2020-09-09 00:00:00,Overcast,cloudy,0.0155,0.04,rain,19.45,20.42,19.45,1.0,1009.3,0.73,1.24,75,0.99,0,16.093,267.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0186,0.04,rain,19.25,20.19,19.25,1.0,1009.2,0.74,1.28,70,0.92,0,16.093,267.0
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0288,0.04,rain,19.22,20.16,19.22,1.0,1009.0,0.73,1.31,65,0.82,0,16.093,266.7
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0425,0.04,rain,19.12,20.07,19.12,1.0,1008.9,0.71,1.34,59,0.74,0,16.093,266.8
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0587,0.06,rain,18.96,19.9,18.96,1.0,1008.9,0.67,1.42,50,0.68,0,16.093,267.4
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0792,0.08,rain,18.85,19.81,18.85,1.0,1008.9,0.62,1.48,46,0.61,0,16.093,268.1
19,2020-09-09 06:00:00,Partly Cloudy,partly-cloudy-night,0.0898,0.1,rain,18.86,19.89,18.86,1.0,1009.0,0.58,1.37,63,0.52,0,16.093,268.5
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0796,0.09,rain,19.14,20.17,19.14,1.0,1009.5,0.53,0.99,98,0.38,0,16.093,268.2
21,2020-09-09 08:00:00,Clear,clear-day,0.0626,0.07,rain,20.14,21.21,20.14,1.0,1010.0,0.5,0.61,166,0.23,2,16.093,267.7
22,2020-09-09 09:00:00,Clear,clear-day,0.0497,0.06,rain,21.21,22.26,21.21,1.0,1010.2,0.6,0.63,202,0.14,4,16.093,267.2
23,2020-09-09 10:00:00,Humid,clear-day,0.0412,0.05,rain,22.27,23.28,22.27,1.0,1009.9,0.91,1.07,210,0.11,7,16.093,266.6
24,2020-09-09 11:00:00,Humid,clear-day,0.0427,0.04,rain,23.82,24.76,23.09,0.96,1009.4,1.27,1.77,208,0.11,10,16.093,265.9
25,2020-09-09 12:00:00,Humid,clear-day,0.0541,0.04,rain,24.88,25.75,22.96,0.89,1008.6,1.53,2.31,224,0.18,10,16.093,265.4
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0718,0.04,rain,25.22,26.08,23.03,0.88,1007.7,1.65,2.64,228,0.39,9,16.093,265.3
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1024,0.04,rain,24.76,25.68,23.28,0.92,1006.8,1.7,2.86,227,0.63,6,16.093,265.2
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1454,0.05,rain,23.85,24.85,23.54,0.98,1005.9,1.63,2.87,229,0.79,4,16.093,264.9
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2118,0.05,rain,22.93,24.06,22.93,1.0,1005.2,1.41,2.64,239,0.86,2,16.093,264.3
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.286,0.06,rain,22.47,23.68,22.47,1.0,1004.9,1.12,2.26,248,0.88,1,16.093,263.6
31,2020-09-09 18:00:00,Mostly Cloudy,partly-cloudy-day,0.304,0.05,rain,21.53,22.7,21.53,1.0,1004.9,0.91,1.88,233,0.79,0,16.093,263.1
32,2020-09-09 19:00:00,Partly Cloudy,partly-cloudy-night,0.2308,0.04,rain,20.7,21.81,20.7,1.0,1005.5,0.82,1.5,186,0.55,0,16.093,263.1
33,2020-09-09 20:00:00,Clear,clear-night,0.1389,0.04,rain,19.92,20.94,19.92,1.0,1006.4,0.77,1.13,117,0.25,0,16.093,263.1
34,2020-09-09 21:00:00,Clear,clear-night,0.0777,0.03,rain,19.27,20.21,19.27,1.0,1007.3,0.77,0.98,61,0.06,0,16.093,262.9
35,2020-09-09 22:00:00,Clear,clear-night,0.045,0.03,rain,18.88,19.73,18.88,1.0,1007.5,0.84,1.05,60,0.02,0,16.093,262.2
36,2020-09-09 23:00:00,Clear,clear-night,0.0429,0.03,rain,18.75,19.54,18.75,1.0,1007.4,0.93,1.2,63,0.04,0,16.093,261.5
37,2020-09-10 00:00:00,Clear,clear-night,0.0525,0.02,rain,18.67,19.42,18.67,1.0,1007.2,0.98,1.33,61,0.06,0,16.093,261.2
38,2020-09-10 01:00:00,Clear,clear-night,0.0502,0.03,rain,18.52,19.23,18.52,1.0,1006.8,0.97,1.37,56,0.09,0,16.093,261.5
39,2020-09-10 02:00:00,Clear,clear-night,0.0555,0.03,rain,18.54,19.25,18.54,1.0,1006.4,0.94,1.39,53,0.13,0,16.093,262.0
40,2020-09-10 03:00:00,Clear,clear-night,0.0636,0.03,rain,18.49,19.2,18.49,1.0,1006.2,0.94,1.42,52,0.16,0,16.093,262.2
41,2020-09-10 04:00:00,Clear,clear-night,0.0577,0.03,rain,18.32,19.03,18.32,1.0,1006.1,0.98,1.49,52,0.15,0,16.093,262.3
42,2020-09-10 05:00:00,Clear,clear-night,0.05,0.03,rain,18.18,18.93,18.18,1.0,1006.3,1.02,1.53,55,0.14,0,16.093,262.2
43,2020-09-10 06:00:00,Clear,clear-night,0.0477,0.04,rain,18.09,18.89,18.09,1.0,1006.4,0.97,1.42,66,0.11,0,16.093,262.0
44,2020-09-10 07:00:00,Clear,clear-day,0.0462,0.03,rain,18.64,19.46,18.64,1.0,1006.7,0.75,1.04,86,0.07,0,16.093,261.4
45,2020-09-10 08:00:00,Clear,clear-day,0.0438,0.03,rain,19.79,20.67,19.79,1.0,1007.1,0.52,0.64,137,0.04,2,16.093,260.8
46,2020-09-10 09:00:00,Clear,clear-day,0.0372,0.03,rain,20.82,21.73,20.82,1.0,1007.3,0.52,0.61,179,0.03,5,16.093,260.1
47,2020-09-10 10:00:00,Clear,clear-day,0.0288,0.02,rain,21.79,22.68,21.79,1.0,1007.0,0.83,1.11,192,0.06,8,16.093,259.5
48,2020-09-10 11:00:00,Humid,clear-day,0.0341,0.02,rain,23.22,24.08,22.39,0.95,1006.4,1.25,1.81,210,0.11,10,16.093,258.9
