,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Overcast,cloudy,0.0432,0.04,rain,25.5,26.86,24.69,0.95,1009.8,1.03,1.41,198,0.92,6,16.093,267.0
1,2020-09-08 12:00:00,Humid and Overcast,cloudy,0.0914,0.04,rain,26.48,29.41,24.75,0.9,1009.6,1.24,1.81,250,0.93,6,16.093,266.6
2,2020-09-08 13:00:00,Humid and Overcast,cloudy,0.2036,0.05,rain,26.87,30.85,25.37,0.92,1008.9,1.34,2.09,261,0.96,6,16.093,266.3
3,2020-09-08 14:00:00,Humid and Overcast,cloudy,0.3939,0.06,rain,26.42,29.72,26.31,0.99,1008.2,1.37,2.3,256,0.98,5,10.728,266.0
4,2020-09-08 15:00:00,Humid and Overcast,cloudy,0.5455,0.07,rain,25.73,27.65,25.73,1.0,1007.6,1.32,2.29,250,1.0,4,7.223,265.9
5,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.5768,0.07,rain,25.23,25.54,25.23,1.0,1007.2,1.18,2.0,254,1.0,2,7.737,265.8
6,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.5377,0.07,rain,25.13,25.76,25.13,1.0,1007.0,0.99,1.59,253,1.0,1,10.126,265.8
7,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.427,0.05,rain,24.36,26.05,24.36,1.0,1007.3,0.82,1.28,244,1.0,0,13.238,265.7
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.2439,0.05,rain,23.43,24.96,23.43,1.0,1008.0,0.71,1.11,218,1.0,0,16.093,265.5
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.0928,0.04,rain,22.39,23.85,22.39,1.0,1009.0,0.6,0.98,190,1.0,0,16.093,265.3
10,2020-09-08 21:00:00,Overcast,cloudy,0.0429,0.03,rain,21.62,22.98,21.62,1.0,1009.5,0.52,0.89,172,1.0,0,16.093,265.2
11,2020-09-08 22:00:00,Overcast,cloudy,0.0458,0.03,rain,21.27,22.52,21.27,1.0,1009.8,0.45,0.81,158,1.0,0,16.093,265.6
12,2020-09-08 23:00:00,Overcast,cloudy,0.0587,0.05,rain,21.18,22.33,21.18,1.0,1010.0,0.39,0.77,144,1.0,0,16.093,266.0
13,2020-09-09 00:00:00,Overcast,cloudy,0.0561,0.05,rain,21.06,22.14,21.06,1.0,1010.0,0.37,0.77,132,1.0,0,16.093,266.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0378,0.05,rain,20.81,21.84,20.81,1.0,1009.8,0.4,0.84,119,1.0,0,16.093,266.2
