,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2545,0.06,rain,24.79,25.94,23.79,0.94,1009.3,1.03,1.33,192,0.69,7,15.841,263.6
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3615,0.07,rain,26.14,28.33,24.49,0.91,1008.5,1.23,1.59,211,0.61,8,14.74,263.3
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5144,0.09,rain,26.58,29.57,24.84,0.9,1007.7,1.44,1.99,213,0.53,8,13.162,264.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6961,0.1,rain,26.03,28.29,25.18,0.95,1007.0,1.62,2.41,210,0.46,7,11.585,265.5
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.801,0.11,rain,25.05,26.2,25.05,1.0,1006.5,1.67,2.66,206,0.44,4,10.805,266.5
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.77,0.12,rain,24.09,25.49,24.09,1.0,1006.3,1.54,2.67,213,0.5,2,11.189,266.9
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6802,0.15,rain,23.31,24.81,23.31,1.0,1006.4,1.32,2.56,218,0.59,0,11.947,267.0
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6096,0.15,rain,22.51,24.06,22.51,1.0,1006.9,1.14,2.41,203,0.68,0,11.969,266.9
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5667,0.14,rain,21.79,23.28,21.79,1.0,1007.9,0.98,2.22,148,0.75,0,10.882,266.3
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.5295,0.13,rain,21.06,22.42,21.06,1.0,1009.1,0.83,1.99,72,0.82,0,9.577,265.4
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.4961,0.12,rain,20.57,21.79,20.57,1.0,1009.9,0.71,1.74,346,0.87,0,8.969,264.5
11,2020-09-08 22:00:00,Overcast,cloudy,0.4697,0.12,rain,20.33,21.43,20.33,1.0,1010.1,0.61,1.46,306,0.9,0,9.077,263.2
12,2020-09-08 23:00:00,Overcast,cloudy,0.44,0.12,rain,20.15,21.13,20.15,1.0,1010.0,0.53,1.18,339,0.92,0,9.831,262.0
13,2020-09-09 00:00:00,Overcast,cloudy,0.3831,0.12,rain,19.86,20.75,19.86,1.0,1009.9,0.46,0.96,16,0.94,0,11.882,261.4
14,2020-09-09 01:00:00,Overcast,cloudy,0.2905,0.1,rain,19.44,20.27,19.44,1.0,1009.6,0.41,0.79,33,0.97,0,15.867,261.6
15,2020-09-09 02:00:00,Overcast,cloudy,0.2012,0.09,rain,19.28,20.08,19.28,1.0,1009.2,0.38,0.67,49,1.0,0,16.093,262.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.1459,0.08,rain,19.26,20.05,19.26,1.0,1009.1,0.37,0.61,51,0.99,0,16.093,262.8
17,2020-09-09 04:00:00,Overcast,cloudy,0.1204,0.09,rain,19.03,19.81,19.03,1.0,1009.1,0.39,0.64,40,0.96,0,16.093,263.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.1108,0.09,rain,18.62,19.41,18.62,1.0,1009.3,0.42,0.7,32,0.9,0,16.093,264.4
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.1123,0.09,rain,18.33,19.16,18.33,1.0,1009.5,0.43,0.72,34,0.78,0,16.093,264.7
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.1239,0.09,rain,19.14,20.03,19.14,1.0,1009.9,0.39,0.65,49,0.57,1,16.093,264.3
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.1511,0.08,rain,20.44,21.41,20.44,1.0,1010.2,0.35,0.61,74,0.33,3,16.093,263.6
22,2020-09-09 09:00:00,Clear,clear-day,0.194,0.08,rain,21.68,22.71,21.68,1.0,1010.2,0.45,0.76,117,0.19,5,14.741,262.9
23,2020-09-09 10:00:00,Humid,clear-day,0.2736,0.07,rain,22.92,23.96,22.92,1.0,1009.6,0.72,1.18,151,0.16,8,11.34,262.4
24,2020-09-09 11:00:00,Humid,clear-day,0.4221,0.08,rain,24.41,25.41,24.02,0.98,1008.7,1.05,1.71,187,0.16,10,7.986,261.8
25,2020-09-09 12:00:00,Humid,clear-day,0.5963,0.1,rain,25.88,27.31,24.55,0.92,1007.8,1.29,2.13,208,0.21,11,6.063,261.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.759,0.11,rain,26.74,30.03,24.78,0.89,1006.7,1.42,2.41,215,0.32,9,6.067,260.1
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9133,0.12,rain,26.8,30.39,24.96,0.9,1005.7,1.5,2.6,212,0.46,7,6.913,259.2
28,2020-09-09 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0042,0.13,rain,26.0,28.24,25.17,0.95,1005.1,1.48,2.63,211,0.58,4,7.439,258.8
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0176,0.15,rain,24.84,26.02,24.84,1.0,1004.8,1.34,2.47,214,0.65,2,7.387,259.3
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0211,0.19,rain,23.64,25.07,23.64,1.0,1004.8,1.14,2.19,217,0.71,0,7.332,260.1
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.0165,0.23,rain,22.75,24.23,22.75,1.0,1005.2,0.96,1.95,202,0.78,0,7.644,260.2
32,2020-09-09 19:00:00,Mostly Cloudy,partly-cloudy-night,0.9441,0.21,rain,21.92,23.36,21.92,1.0,1006.2,0.8,1.73,141,0.87,0,8.554,259.5
33,2020-09-09 20:00:00,Overcast,cloudy,0.8433,0.18,rain,21.24,22.52,21.24,1.0,1007.3,0.65,1.53,68,0.96,0,9.549,258.4
34,2020-09-09 21:00:00,Overcast,cloudy,0.751,0.17,rain,20.73,21.85,20.73,1.0,1008.0,0.56,1.39,13,1.0,0,9.859,257.4
35,2020-09-09 22:00:00,Overcast,cloudy,0.659,0.19,rain,20.36,21.37,20.36,1.0,1008.0,0.58,1.35,300,1.0,0,9.194,256.2
36,2020-09-09 23:00:00,Overcast,cloudy,0.581,0.19,rain,20.01,20.9,20.01,1.0,1007.8,0.64,1.34,6,1.0,0,8.213,255.2
37,2020-09-10 00:00:00,Overcast,cloudy,0.5576,0.19,rain,19.61,20.4,19.61,1.0,1007.5,0.66,1.24,44,1.0,0,7.584,254.6
38,2020-09-10 01:00:00,Overcast,cloudy,0.6009,0.21,rain,19.15,19.86,19.15,1.0,1007.1,0.6,1.03,58,1.0,0,7.333,254.6
39,2020-09-10 02:00:00,Overcast,cloudy,0.684,0.23,rain,18.99,19.68,18.99,1.0,1006.6,0.53,0.81,70,0.99,0,7.413,254.8
40,2020-09-10 03:00:00,Overcast,cloudy,0.7585,0.24,rain,18.99,19.66,18.99,1.0,1006.4,0.51,0.72,74,0.99,0,8.317,255.6
41,2020-09-10 04:00:00,Overcast,cloudy,0.8359,0.23,rain,18.84,19.51,18.84,1.0,1006.4,0.55,0.83,63,0.99,0,10.472,256.8
42,2020-09-10 05:00:00,Overcast,cloudy,0.9094,0.22,rain,18.53,19.22,18.53,1.0,1006.5,0.62,1.0,50,0.99,0,12.947,258.4
43,2020-09-10 06:00:00,Overcast,cloudy,0.869,0.21,rain,18.19,18.87,18.19,1.0,1006.7,0.61,1.06,56,0.99,0,14.328,259.4
44,2020-09-10 07:00:00,Overcast,cloudy,0.6457,0.2,rain,18.79,19.5,18.79,1.0,1007.0,0.46,0.98,90,1.0,1,14.527,260.0
45,2020-09-10 08:00:00,Overcast,cloudy,0.4045,0.17,rain,19.7,20.45,19.7,1.0,1007.2,0.31,0.89,140,1.0,2,14.006,260.1
46,2020-09-10 09:00:00,Overcast,cloudy,0.2956,0.13,rain,20.65,21.44,20.65,1.0,1007.2,0.3,0.91,185,0.96,4,12.699,260.0
