,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0451,0.07,rain,14.19,17.5,14.19,1,1009.8,1.62,2.34,118,0.83,7,13.275,256.8
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.0763,0.07,rain,15.01,18.33,15.01,1,1009.1,1.73,2.67,86,0.84,7,12.561,256.2
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.1545,0.1,rain,14.92,18.43,14.92,1,1008.4,1.82,2.86,53,0.86,6,9.731,256.7
3,2020-09-08 14:00:00,Overcast,cloudy,0.2756,0.14,rain,14.1,18.0,14.1,1,1007.8,1.87,2.93,24,0.88,5,5.724,257.6
4,2020-09-08 15:00:00,Foggy,fog,0.3527,0.17,rain,13.14,17.46,13.14,1,1007.5,1.83,2.79,7,0.9,4,2.814,258.4
5,2020-09-08 16:00:00,Foggy,fog,0.3269,0.18,rain,12.09,16.7,12.09,1,1007.5,1.68,2.37,10,0.9,2,1.355,259.1
6,2020-09-08 17:00:00,Foggy,fog,0.2554,0.15,rain,11.43,15.96,11.43,1,1007.7,1.48,1.84,19,0.9,1,0.48,259.9
7,2020-09-08 18:00:00,Foggy,fog,0.1777,0.13,rain,10.95,15.22,10.95,1,1008.4,1.31,1.51,22,0.91,0,0.041,260.0
8,2020-09-08 19:00:00,Foggy,fog,0.1014,0.09,rain,10.76,14.63,10.76,1,1009.4,1.17,1.46,21,0.93,0,0.025,259.3
9,2020-09-08 20:00:00,Foggy,fog,0.0445,0.07,rain,10.64,14.08,10.64,1,1010.7,1.05,1.51,21,0.95,0,0.167,258.3
10,2020-09-08 21:00:00,Foggy,fog,0.0243,0.06,rain,10.54,13.61,10.54,1,1011.5,0.97,1.49,32,0.97,0,0.981,257.3
11,2020-09-08 22:00:00,Foggy,fog,0.0222,0.07,rain,10.45,13.25,10.45,1,1011.8,0.92,1.38,56,0.97,0,2.489,256.3
12,2020-09-08 23:00:00,Overcast,cloudy,0.0248,0.08,rain,10.41,13.01,10.41,1,1011.8,0.89,1.23,61,0.97,0,4.343,255.5
13,2020-09-09 00:00:00,Overcast,cloudy,0.0219,0.08,rain,10.41,12.84,10.41,1,1011.7,0.86,1.07,57,0.97,0,5.842,254.9
14,2020-09-09 01:00:00,Overcast,cloudy,0.0125,0.07,rain,10.59,12.84,10.59,1,1011.4,0.83,0.91,53,0.98,0,6.549,254.9
15,2020-09-09 02:00:00,Overcast,cloudy,0.0059,0.04,rain,10.75,12.88,10.75,1,1010.8,0.81,0.81,48,0.98,0,7.397,255.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,11.14,13.07,11.14,1,1010.6,0.79,0.8,40,0.98,0,10.089,256.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,11.34,13.17,11.34,1,1010.8,0.76,0.77,23,0.99,0,15.972,257.5
18,2020-09-09 05:00:00,Overcast,cloudy,0.0,0.0,,11.27,13.16,11.27,1,1011.0,0.76,0.76,8,0.98,0,16.093,259.0
19,2020-09-09 06:00:00,Overcast,cloudy,0.0028,0.01,rain,11.0,13.19,11.0,1,1011.2,0.85,0.85,10,0.96,0,16.093,259.7
20,2020-09-09 07:00:00,Overcast,cloudy,0.0091,0.05,rain,11.2,13.69,11.2,1,1011.6,1.07,1.07,36,0.9,1,16.093,259.1
