,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2999,0.06,rain,24.8,25.62,22.77,0.88,1009.7,1.08,1.43,193,0.58,8,16.093,264.5
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4141,0.08,rain,25.88,26.98,23.08,0.85,1009.1,1.28,1.72,215,0.5,9,16.093,264.2
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5557,0.09,rain,26.16,28.23,23.33,0.84,1008.3,1.57,2.27,214,0.44,8,15.58,265.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7066,0.09,rain,25.66,27.19,23.6,0.88,1007.5,1.87,2.88,205,0.39,7,14.244,266.5
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7926,0.09,rain,24.75,25.71,23.89,0.95,1007.0,1.98,3.27,200,0.4,4,13.592,267.5
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7763,0.11,rain,23.75,24.89,23.75,1.0,1006.9,1.86,3.37,208,0.47,2,14.079,267.9
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7132,0.14,rain,22.93,24.14,22.93,1.0,1006.9,1.62,3.32,213,0.58,0,14.736,267.9
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6711,0.14,rain,21.99,23.21,21.99,1.0,1007.4,1.39,3.16,196,0.67,0,14.132,267.8
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.6585,0.14,rain,21.52,22.68,21.52,1.0,1008.4,1.18,2.87,149,0.76,0,11.582,267.2
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.6439,0.14,rain,20.91,21.98,20.91,1.0,1009.6,0.96,2.5,81,0.84,0,8.606,266.3
10,2020-09-08 21:00:00,Overcast,cloudy,0.6125,0.12,rain,20.36,21.31,20.36,1.0,1010.4,0.79,2.13,341,0.89,0,7.085,265.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.5678,0.12,rain,20.05,20.92,20.05,1.0,1010.5,0.65,1.78,288,0.92,0,7.264,264.0
12,2020-09-08 23:00:00,Overcast,cloudy,0.5119,0.11,rain,19.74,20.52,19.74,1.0,1010.5,0.54,1.43,319,0.93,0,8.544,262.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.4294,0.1,rain,19.42,20.14,19.42,1.0,1010.3,0.45,1.14,8,0.95,0,11.226,262.3
14,2020-09-09 01:00:00,Overcast,cloudy,0.3141,0.09,rain,19.28,19.98,19.28,1.0,1010.0,0.4,0.92,40,0.98,0,15.975,262.4
15,2020-09-09 02:00:00,Overcast,cloudy,0.2049,0.07,rain,19.23,19.93,19.23,1.0,1009.7,0.37,0.74,70,1.0,0,16.093,263.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.1303,0.06,rain,19.22,19.92,19.22,1.0,1009.5,0.35,0.64,74,0.99,0,16.093,263.6
17,2020-09-09 04:00:00,Overcast,cloudy,0.0813,0.06,rain,19.09,19.79,19.09,1.0,1009.5,0.37,0.64,59,0.95,0,16.093,264.4
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.049,0.06,rain,18.75,19.48,18.75,1.0,1009.6,0.4,0.69,43,0.86,0,16.093,265.1
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0408,0.06,rain,18.49,19.21,18.49,1.0,1009.9,0.41,0.71,35,0.71,0,16.093,265.3
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0596,0.06,rain,19.33,20.1,19.33,1.0,1010.3,0.37,0.66,38,0.46,1,16.093,265.0
21,2020-09-09 08:00:00,Clear,clear-day,0.1044,0.06,rain,20.58,21.38,20.58,1.0,1010.7,0.34,0.66,63,0.19,3,16.093,264.3
22,2020-09-09 09:00:00,Clear,clear-day,0.1613,0.06,rain,21.65,22.49,21.65,1.0,1010.6,0.44,0.83,105,0.03,6,16.093,263.7
23,2020-09-09 10:00:00,Humid,clear-day,0.2483,0.06,rain,23.05,23.91,22.33,0.96,1010.1,0.72,1.28,127,0.0,9,13.032,263.2
24,2020-09-09 11:00:00,Humid,clear-day,0.4052,0.07,rain,24.53,25.37,22.91,0.91,1009.2,1.07,1.83,172,0.0,11,9.197,262.6
25,2020-09-09 12:00:00,Humid,clear-day,0.5971,0.1,rain,25.92,27.09,23.17,0.85,1008.3,1.37,2.33,206,0.06,11,6.429,261.8
26,2020-09-09 13:00:00,Humid,clear-day,0.789,0.11,rain,26.73,29.33,23.34,0.82,1007.3,1.57,2.79,213,0.23,10,5.007,260.8
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9727,0.12,rain,26.88,29.63,23.49,0.82,1006.3,1.73,3.18,209,0.43,7,4.328,259.8
28,2020-09-09 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0872,0.12,rain,26.18,28.26,23.85,0.87,1005.6,1.76,3.32,208,0.59,4,4.113,259.4
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1253,0.15,rain,25.01,25.98,24.41,0.97,1005.3,1.62,3.14,213,0.67,2,4.403,260.1
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.1729,0.2,rain,23.61,24.8,23.61,1.0,1005.3,1.4,2.8,216,0.73,0,5.103,261.1
31,2020-09-09 18:00:00,Rain and Humid,rain,1.2234,0.25,rain,22.57,23.74,22.57,1.0,1005.6,1.18,2.48,195,0.8,0,5.898,261.2
32,2020-09-09 19:00:00,Overcast,cloudy,1.1894,0.23,rain,21.88,23.0,21.88,1.0,1006.6,0.94,2.18,143,0.88,0,6.884,260.4
33,2020-09-09 20:00:00,Overcast,cloudy,1.1029,0.2,rain,21.32,22.33,21.32,1.0,1007.8,0.69,1.88,80,0.96,0,7.843,259.2
34,2020-09-09 21:00:00,Overcast,cloudy,1.0028,0.19,rain,20.7,21.6,20.7,1.0,1008.4,0.56,1.7,27,1.0,0,8.076,258.1
35,2020-09-09 22:00:00,Overcast,cloudy,0.8876,0.2,rain,20.09,20.89,20.09,1.0,1008.5,0.62,1.67,278,1.0,0,7.242,256.9
36,2020-09-09 23:00:00,Overcast,cloudy,0.7703,0.19,rain,19.52,20.23,19.52,1.0,1008.2,0.74,1.68,358,1.0,0,6.099,255.9
37,2020-09-10 00:00:00,Overcast,cloudy,0.6997,0.19,rain,19.07,19.7,19.07,1.0,1007.9,0.78,1.57,53,1.0,0,5.561,255.4
38,2020-09-10 01:00:00,Overcast,cloudy,0.6929,0.2,rain,18.95,19.55,18.95,1.0,1007.5,0.69,1.23,72,1.0,0,5.69,255.3
39,2020-09-10 02:00:00,Overcast,cloudy,0.7105,0.21,rain,19.02,19.61,19.02,1.0,1007.1,0.57,0.86,87,0.99,0,6.34,255.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.6785,0.21,rain,19.13,19.72,19.13,1.0,1006.8,0.52,0.69,90,0.99,0,7.994,256.1
41,2020-09-10 04:00:00,Overcast,cloudy,0.5828,0.19,rain,19.09,19.69,19.09,1.0,1006.8,0.56,0.82,74,0.99,0,11.166,257.5
42,2020-09-10 05:00:00,Overcast,cloudy,0.4651,0.18,rain,18.82,19.44,18.82,1.0,1006.9,0.64,1.04,54,0.99,0,14.716,259.1
43,2020-09-10 06:00:00,Overcast,cloudy,0.3578,0.18,rain,18.5,19.09,18.5,1.0,1007.1,0.62,1.15,58,0.99,0,16.093,260.1
44,2020-09-10 07:00:00,Overcast,cloudy,0.2451,0.16,rain,19.23,19.82,19.23,1.0,1007.4,0.45,1.09,101,1.0,1,16.093,260.6
45,2020-09-10 08:00:00,Overcast,cloudy,0.1603,0.13,rain,20.2,20.81,19.76,0.97,1007.7,0.27,1.02,164,1.0,2,16.093,260.8
46,2020-09-10 09:00:00,Overcast,cloudy,0.1619,0.09,rain,21.14,21.75,20.05,0.94,1007.7,0.28,1.07,204,0.93,4,14.97,260.6
47,2020-09-10 10:00:00,Mostly Cloudy,partly-cloudy-day,0.2801,0.1,rain,22.52,23.14,20.51,0.88,1007.3,0.52,1.31,212,0.78,6,10.595,260.1
48,2020-09-10 11:00:00,Mostly Cloudy,partly-cloudy-day,0.4916,0.11,rain,24.05,24.66,20.86,0.82,1006.6,0.84,1.64,209,0.61,8,5.827,259.4
