,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0118,0.06,rain,29.12,35.12,25.35,0.8,1008.4,2.63,3.04,107,0.69,7,16.093,269.0
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0228,0.07,rain,29.77,36.31,25.41,0.78,1008.0,2.35,2.35,125,0.63,7,16.093,268.7
2,2020-09-08 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0782,0.1,rain,29.94,36.6,25.42,0.77,1007.4,2.14,2.16,135,0.62,7,16.093,269.3
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1954,0.16,rain,29.67,36.18,25.45,0.78,1006.7,1.92,1.95,141,0.63,6,16.093,270.2
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3016,0.18,rain,29.28,35.47,25.42,0.8,1006.2,1.68,1.71,135,0.64,4,16.093,270.8
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3294,0.18,rain,28.93,34.8,25.38,0.81,1005.8,1.38,1.4,115,0.64,2,16.093,270.8
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3381,0.17,rain,28.66,34.22,25.29,0.82,1005.6,1.13,1.13,88,0.64,1,16.093,270.5
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3869,0.17,rain,28.11,33.16,25.28,0.85,1005.8,1.14,1.2,70,0.68,0,16.093,270.0
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5137,0.18,rain,27.29,31.38,24.97,0.87,1006.5,1.53,1.89,64,0.76,0,14.5,269.1
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.685,0.18,rain,26.49,29.54,24.6,0.89,1007.4,2.05,2.78,64,0.85,0,7.219,268.0
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.7754,0.15,rain,25.95,27.92,24.27,0.9,1007.9,2.34,3.32,63,0.91,0,5.339,266.9
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.7272,0.13,rain,25.69,27.18,23.92,0.9,1008.0,2.35,3.39,63,0.93,0,11.201,266.0
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.5986,0.12,rain,25.54,26.43,23.68,0.9,1007.9,2.27,3.29,63,0.94,0,16.093,265.2
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.4054,0.1,rain,25.52,26.46,23.6,0.89,1007.7,2.21,3.19,67,0.95,0,16.093,264.7
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.1654,0.08,rain,25.47,26.41,23.59,0.89,1007.5,2.19,3.14,72,0.97,0,16.093,264.4
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0229,0.06,rain,25.43,26.37,23.6,0.9,1007.0,2.17,3.07,79,0.99,0,16.093,264.4
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.0126,0.04,rain,25.28,26.22,23.58,0.9,1006.6,2.17,2.97,83,1.0,0,16.093,264.7
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.0421,0.05,rain,25.09,26.06,23.71,0.92,1007.0,2.2,2.82,84,0.99,0,16.093,265.5
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.0829,0.08,rain,24.84,25.83,23.76,0.94,1007.1,2.25,2.67,84,0.99,0,16.093,266.4
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.0997,0.09,rain,25.11,26.06,23.98,0.93,1007.4,2.31,2.63,82,0.99,0,16.093,266.9
20,2020-09-09 07:00:00,Humid and Overcast,cloudy,0.0715,0.07,rain,25.86,27.36,24.45,0.92,1007.9,2.42,2.76,78,0.99,1,16.093,267.3
21,2020-09-09 08:00:00,Humid and Overcast,cloudy,0.039,0.05,rain,26.96,30.74,24.82,0.88,1008.4,2.55,2.95,75,1.0,2,16.093,267.4
22,2020-09-09 09:00:00,Humid and Overcast,cloudy,0.0342,0.06,rain,28.05,32.86,25.1,0.84,1008.5,2.61,2.99,87,0.99,4,16.093,267.1
23,2020-09-09 10:00:00,Humid and Overcast,cloudy,0.0775,0.08,rain,29.0,34.91,25.36,0.81,1008.3,2.53,2.77,120,0.92,5,16.093,266.4
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.167,0.12,rain,29.73,36.14,25.33,0.77,1007.8,2.42,2.54,151,0.84,6,15.494,265.7
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2281,0.14,rain,30.6,37.56,25.34,0.74,1007.1,2.36,2.74,153,0.82,6,14.34,264.9
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2099,0.13,rain,31.67,39.2,25.35,0.69,1006.1,2.36,3.61,117,0.86,6,16.093,264.1
27,2020-09-09 14:00:00,Humid and Overcast,cloudy,0.1746,0.13,rain,32.45,40.42,25.4,0.66,1005.1,2.42,4.66,95,0.92,5,16.093,263.5
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.1564,0.12,rain,32.51,40.56,25.45,0.66,1004.3,2.53,5.28,151,0.96,3,16.093,262.8
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.1433,0.12,rain,31.66,39.48,25.56,0.7,1003.9,2.72,5.38,88,0.94,2,16.093,262.1
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.1492,0.13,rain,30.27,37.2,25.47,0.76,1003.7,2.94,5.2,134,0.92,0,16.093,261.3
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.1713,0.14,rain,29.05,35.08,25.42,0.81,1003.8,2.97,4.76,133,0.92,0,16.012,261.1
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.1934,0.16,rain,28.04,32.84,25.07,0.84,1004.6,2.74,3.97,119,0.95,0,16.093,261.6
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.216,0.16,rain,27.28,31.09,24.69,0.86,1005.5,2.4,3.04,54,0.98,0,16.093,262.2
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.2199,0.15,rain,26.75,29.83,24.34,0.87,1006.0,2.07,2.32,24,1.0,0,16.093,262.1
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.1932,0.15,rain,26.41,28.92,24.09,0.87,1005.9,1.76,1.89,22,1.0,0,16.093,260.8
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.1662,0.18,rain,26.33,28.72,23.98,0.87,1005.5,1.46,1.6,30,1.0,0,15.4,259.2
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.1573,0.2,rain,26.26,28.55,23.95,0.87,1005.2,1.25,1.42,40,1.0,0,13.823,258.2
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.1582,0.24,rain,26.15,28.32,23.97,0.88,1004.8,1.16,1.31,50,1.0,0,16.093,258.0
39,2020-09-10 02:00:00,Possible Drizzle and Humid,rain,0.1737,0.32,rain,25.99,27.96,23.94,0.88,1004.4,1.15,1.38,61,1.0,0,16.093,258.2
40,2020-09-10 03:00:00,Possible Light Rain and Humid,rain,0.2331,0.33,rain,25.79,27.38,23.91,0.89,1004.2,1.31,1.96,69,1.0,0,16.093,258.5
41,2020-09-10 04:00:00,Possible Light Rain and Humid,rain,0.3973,0.36,rain,25.5,26.44,24.05,0.92,1004.2,1.68,3.26,69,1.0,0,16.093,258.8
42,2020-09-10 05:00:00,Possible Light Rain and Humid,rain,0.659,0.41,rain,25.08,26.1,24.06,0.94,1004.2,2.15,4.78,68,1.0,0,13.979,259.1
43,2020-09-10 06:00:00,Possible Light Rain and Humid,rain,0.8327,0.41,rain,25.12,26.12,24.24,0.95,1004.5,2.55,5.78,71,0.98,0,10.038,259.6
44,2020-09-10 07:00:00,Possible Light Rain and Humid,rain,0.7838,0.38,rain,25.75,27.15,24.44,0.92,1005.0,2.89,6.12,80,0.9,1,7.584,259.9
45,2020-09-10 08:00:00,Possible Light Rain and Humid,rain,0.6869,0.31,rain,26.83,30.28,24.99,0.9,1005.5,3.15,6.11,92,0.81,2,5.694,260.2
46,2020-09-10 09:00:00,Possible Light Rain and Humid,rain,0.7196,0.31,rain,27.9,32.94,25.41,0.86,1005.7,3.25,5.86,104,0.75,4,4.472,260.5
