,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.309,0.06,rain,27.64,33.76,26.45,0.93,1009.5,1.0,1.45,195,0.65,7,15.78,263.6
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4343,0.07,rain,28.93,36.45,26.74,0.88,1008.9,1.18,1.7,210,0.59,8,15.243,263.3
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.569,0.08,rain,29.53,38.21,27.17,0.87,1008.2,1.41,2.14,212,0.51,8,13.951,264.3
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.707,0.09,rain,29.24,38.6,27.77,0.92,1007.5,1.63,2.59,207,0.44,6,12.627,265.6
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7821,0.09,rain,28.5,38.2,28.47,1.0,1007.1,1.69,2.85,205,0.43,4,12.326,266.6
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7564,0.11,rain,27.63,37.4,27.63,1.0,1006.9,1.54,2.82,214,0.48,2,13.606,267.1
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6853,0.13,rain,26.53,33.14,26.53,1.0,1007.0,1.3,2.66,219,0.57,0,15.25,267.1
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6313,0.13,rain,25.3,26.34,25.3,1.0,1007.5,1.12,2.49,200,0.66,0,15.466,267.1
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.6008,0.13,rain,24.4,26.01,24.4,1.0,1008.5,1.0,2.33,135,0.75,0,13.511,266.5
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5685,0.13,rain,23.56,25.0,23.56,1.0,1009.7,0.9,2.13,64,0.85,0,11.025,265.7
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.5264,0.11,rain,23.02,24.33,23.02,1.0,1010.5,0.81,1.9,348,0.91,0,9.91,264.8
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.4775,0.1,rain,22.7,23.92,22.7,1.0,1010.6,0.7,1.62,313,0.93,0,10.508,263.5
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.4227,0.1,rain,22.55,23.75,22.55,1.0,1010.6,0.6,1.33,337,0.94,0,12.017,262.3
