,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2428,0.06,rain,24.74,25.76,24.16,0.97,1009.7,0.84,1.26,205,0.77,7,16.093,262.9
1,2020-09-08 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.341,0.06,rain,25.82,27.14,24.39,0.92,1009.1,0.99,1.44,209,0.69,7,16.093,262.5
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4512,0.07,rain,26.27,28.89,24.87,0.92,1008.3,1.18,1.78,214,0.55,8,14.3,263.4
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5767,0.08,rain,26.01,28.27,25.63,0.98,1007.6,1.36,2.14,214,0.41,7,12.215,264.7
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6521,0.09,rain,25.28,26.58,25.28,1.0,1007.1,1.4,2.31,216,0.34,5,11.432,265.7
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6298,0.1,rain,24.24,25.8,24.24,1.0,1007.0,1.24,2.18,228,0.38,2,12.546,266.2
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5654,0.12,rain,23.36,24.98,23.36,1.0,1007.1,1.02,1.94,237,0.46,1,14.233,266.5
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.515,0.12,rain,22.55,24.15,22.55,1.0,1007.6,0.9,1.81,221,0.56,0,14.774,266.4
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.484,0.11,rain,21.92,23.39,21.92,1.0,1008.7,0.91,1.84,84,0.69,0,13.535,266.0
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.4529,0.11,rain,21.32,22.62,21.32,1.0,1009.9,0.97,1.88,41,0.82,0,11.901,265.3
10,2020-09-08 21:00:00,Overcast,cloudy,0.4206,0.09,rain,20.93,22.13,20.93,1.0,1010.7,0.97,1.82,355,0.9,0,11.327,264.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.3891,0.09,rain,20.72,21.83,20.72,1.0,1010.9,0.89,1.6,341,0.93,0,12.107,263.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.3533,0.09,rain,20.58,21.59,20.58,1.0,1010.8,0.78,1.32,353,0.93,0,13.567,261.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.2928,0.09,rain,20.45,21.4,20.45,1.0,1010.7,0.7,1.11,9,0.95,0,15.494,261.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.2046,0.08,rain,20.3,21.21,20.3,1.0,1010.4,0.66,0.96,18,0.98,0,16.093,261.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.1263,0.07,rain,20.03,20.9,20.03,1.0,1010.0,0.64,0.85,25,1.0,0,16.093,261.7
16,2020-09-09 03:00:00,Overcast,cloudy,0.0792,0.06,rain,19.89,20.72,19.89,1.0,1009.8,0.63,0.81,25,0.99,0,16.093,262.4
17,2020-09-09 04:00:00,Overcast,cloudy,0.0538,0.06,rain,19.29,20.05,19.29,1.0,1009.9,0.64,0.86,18,0.95,0,16.093,263.4
