,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1721,0.09,rain,28.78,35.55,26.28,0.86,1008.9,1.26,1.75,170,0.4,8,16.093,268.0
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2153,0.11,rain,29.8,37.61,26.41,0.82,1008.5,1.31,1.52,189,0.41,9,16.093,267.1
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2382,0.12,rain,30.55,38.99,26.43,0.79,1007.9,1.38,1.77,217,0.46,8,16.093,267.0
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2647,0.13,rain,30.96,40.02,26.65,0.78,1007.2,1.45,2.14,252,0.52,6,16.093,267.2
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3052,0.15,rain,30.66,40.03,26.99,0.81,1006.6,1.42,2.31,242,0.55,4,16.093,267.7
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3715,0.17,rain,29.94,39.2,27.31,0.86,1006.2,1.27,2.2,202,0.54,2,16.093,268.7
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.45,0.2,rain,29.01,37.55,27.39,0.91,1005.9,1.1,2.0,51,0.52,1,14.028,269.9
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4481,0.2,rain,28.17,35.52,27.13,0.94,1006.1,1.05,1.92,355,0.56,0,13.642,270.4
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3259,0.15,rain,27.33,32.97,26.42,0.95,1006.8,1.22,2.02,33,0.69,0,16.093,270.1
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2039,0.09,rain,26.8,31.02,25.68,0.94,1007.7,1.44,2.16,59,0.84,0,16.093,269.4
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.1305,0.06,rain,26.49,29.45,25.18,0.93,1008.3,1.53,2.19,67,0.93,0,16.093,268.7
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.0739,0.05,rain,26.35,29.06,24.92,0.92,1008.5,1.41,2.08,63,0.95,0,16.093,268.0
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0431,0.06,rain,26.26,28.77,24.73,0.91,1008.4,1.24,1.92,56,0.96,0,16.093,267.3
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0421,0.06,rain,26.11,28.38,24.55,0.91,1008.3,1.15,1.81,48,0.96,0,16.093,266.6
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0507,0.07,rain,25.86,27.74,24.38,0.92,1008.2,1.16,1.79,37,0.98,0,16.093,265.7
