,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1353,0.07,rain,27.62,35.44,27.62,1.0,1009.6,1.26,1.54,207,0.47,8,16.093,265.2
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2479,0.07,rain,28.72,37.64,27.82,0.95,1009.1,1.51,1.81,200,0.48,9,16.093,264.3
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4022,0.08,rain,29.39,39.05,27.86,0.91,1008.4,1.62,1.97,203,0.49,8,16.093,264.1
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5803,0.1,rain,29.7,40.3,28.24,0.92,1007.6,1.64,2.05,206,0.49,6,16.093,264.3
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6696,0.11,rain,29.41,41.37,29.14,0.98,1007.0,1.57,2.02,208,0.5,4,16.093,265.0
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6074,0.12,rain,28.87,42.3,28.87,1.0,1006.7,1.39,1.82,208,0.52,2,16.093,266.2
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4925,0.12,rain,27.82,40.14,27.82,1.0,1006.6,1.15,1.56,205,0.55,1,16.093,267.6
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3992,0.12,rain,26.79,35.43,26.79,1.0,1006.9,0.96,1.41,193,0.62,0,16.093,268.2
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3194,0.11,rain,25.79,27.96,25.79,1.0,1007.7,0.85,1.4,168,0.74,0,16.093,267.8
9,2020-09-08 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.2559,0.09,rain,25.13,25.58,25.13,1.0,1008.8,0.77,1.44,132,0.87,0,14.039,266.9
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.2117,0.08,rain,24.71,26.48,24.71,1.0,1009.5,0.69,1.45,98,0.96,0,13.847,266.2
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.1695,0.08,rain,24.45,26.06,24.45,1.0,1009.7,0.61,1.42,75,0.97,0,16.093,265.6
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.1348,0.09,rain,24.23,25.74,24.23,1.0,1009.7,0.55,1.38,59,0.97,0,16.093,265.0
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.1129,0.11,rain,24.02,25.47,24.02,1.0,1009.6,0.51,1.3,48,0.97,0,16.093,264.4
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0995,0.1,rain,23.8,25.2,23.8,1.0,1009.3,0.47,1.18,39,0.99,0,16.093,263.6
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0998,0.11,rain,23.59,24.94,23.59,1.0,1009.1,0.45,1.05,31,1.0,0,16.093,262.7
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.1234,0.12,rain,23.32,24.65,23.32,1.0,1009.0,0.44,0.98,29,1.0,0,16.093,262.6
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.1788,0.14,rain,22.81,24.12,22.81,1.0,1009.1,0.44,0.98,29,0.98,0,16.093,263.4
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.2566,0.18,rain,22.29,23.6,22.29,1.0,1009.2,0.46,1.01,356,0.95,0,16.093,264.5
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.313,0.19,rain,22.24,23.58,22.24,1.0,1009.5,0.49,1.02,354,0.91,0,16.093,265.2
20,2020-09-09 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3322,0.17,rain,22.71,24.1,22.71,1.0,1009.9,0.55,0.95,15,0.84,1,16.093,265.4
21,2020-09-09 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3278,0.15,rain,23.86,25.33,23.86,1.0,1010.3,0.63,0.91,208,0.76,2,16.093,265.3
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.294,0.13,rain,25.01,26.61,25.01,1.0,1010.4,0.77,1.04,234,0.7,4,16.093,264.7
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2398,0.11,rain,26.06,29.39,26.06,1.0,1010.0,1.0,1.44,243,0.66,6,16.093,263.4
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2365,0.09,rain,27.11,35.3,27.11,1.0,1009.3,1.23,1.92,232,0.64,7,16.093,261.9
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3313,0.09,rain,28.06,37.68,28.06,1.0,1008.5,1.38,2.22,241,0.67,7,15.391,260.8
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5393,0.1,rain,28.93,39.32,28.59,0.98,1007.6,1.41,2.3,232,0.74,7,16.093,260.3
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7993,0.11,rain,29.48,40.55,28.63,0.95,1006.6,1.39,2.26,215,0.84,5,16.093,260.1
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.9023,0.12,rain,29.42,41.32,29.11,0.98,1005.9,1.31,2.15,222,0.91,4,16.093,259.9
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.7461,0.13,rain,29.0,42.22,29.0,1.0,1005.4,1.17,1.93,219,0.93,2,16.093,259.8
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.5456,0.12,rain,28.26,41.24,28.26,1.0,1005.1,0.99,1.66,211,0.94,1,16.093,259.9
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.459,0.13,rain,27.15,36.67,27.15,1.0,1005.3,0.84,1.47,204,0.96,0,16.093,259.8
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.4839,0.14,rain,26.16,29.8,26.16,1.0,1006.2,0.74,1.38,200,0.97,0,16.093,259.6
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.5668,0.16,rain,25.32,26.39,25.32,1.0,1007.3,0.66,1.33,205,0.99,0,16.093,259.4
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.5901,0.17,rain,24.79,26.45,24.79,1.0,1007.9,0.63,1.29,224,1.0,0,16.093,258.9
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.4813,0.17,rain,24.53,26.06,24.53,1.0,1007.8,0.65,1.24,97,1.0,0,16.093,258.2
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.3681,0.16,rain,24.31,25.7,24.31,1.0,1007.5,0.69,1.2,56,1.0,0,16.093,257.3
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.3118,0.16,rain,24.02,25.31,24.02,1.0,1007.2,0.72,1.16,358,1.0,0,16.093,256.7
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.2871,0.18,rain,23.61,24.83,23.61,1.0,1006.9,0.7,1.11,7,1.0,0,16.093,256.5
39,2020-09-10 02:00:00,Humid and Overcast,cloudy,0.3156,0.2,rain,23.16,24.32,23.16,1.0,1006.5,0.66,1.06,27,1.0,0,16.093,256.5
40,2020-09-10 03:00:00,Humid and Overcast,cloudy,0.3869,0.22,rain,22.73,23.83,22.73,1.0,1006.4,0.66,1.06,21,1.0,0,16.093,256.9
41,2020-09-10 04:00:00,Overcast,cloudy,0.5033,0.23,rain,22.04,23.09,22.04,1.0,1006.4,0.69,1.14,13,1.0,0,16.093,257.7
42,2020-09-10 05:00:00,Possible Light Rain,rain,0.6429,0.25,rain,21.4,22.42,21.4,1.0,1006.6,0.74,1.24,7,1.0,0,16.093,258.8
43,2020-09-10 06:00:00,Overcast,cloudy,0.6156,0.23,rain,21.29,22.36,21.29,1.0,1006.8,0.77,1.27,14,0.98,0,16.093,259.6
44,2020-09-10 07:00:00,Overcast,cloudy,0.3398,0.16,rain,22.07,23.19,22.07,1.0,1007.1,0.74,1.16,33,0.89,1,16.093,260.1
45,2020-09-10 08:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1117,0.09,rain,23.52,24.69,23.52,1.0,1007.4,0.71,1.07,36,0.78,2,16.093,260.4
46,2020-09-10 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0698,0.07,rain,25.12,26.74,25.12,1.0,1007.3,0.8,1.16,21,0.68,4,16.093,260.5
47,2020-09-10 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1252,0.07,rain,26.79,31.06,26.79,1.0,1006.8,1.04,1.44,131,0.6,6,16.093,260.0
48,2020-09-10 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2353,0.07,rain,28.45,36.3,27.21,0.93,1006.2,1.32,1.84,181,0.54,8,13.611,259.3
