,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.1003,0.04,rain,16.75,19.13,16.75,1,1009.9,1.29,1.35,200,0.67,8,4.76,262.4
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.1754,0.05,rain,18.23,20.47,18.23,1,1009.2,1.35,1.44,244,0.66,8,3.904,261.5
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.2382,0.05,rain,19.29,21.47,19.29,1,1008.5,1.4,1.54,252,0.63,8,4.136,261.1
3,2020-09-08 14:00:00,Mostly Cloudy,partly-cloudy-day,0.2929,0.06,rain,19.65,21.85,19.65,1,1007.6,1.42,1.61,251,0.6,7,4.603,261.0
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.3216,0.07,rain,19.1,21.55,19.1,1,1007.1,1.36,1.58,237,0.59,5,4.662,261.2
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.3174,0.08,rain,18.33,21.15,18.33,1,1006.8,1.16,1.41,235,0.59,2,3.906,261.9
6,2020-09-08 17:00:00,Foggy,fog,0.2913,0.08,rain,17.2,20.33,17.2,1,1006.8,0.93,1.19,321,0.6,1,3.133,262.7
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.2533,0.07,rain,16.34,19.43,16.34,1,1007.3,0.82,1.1,295,0.6,0,4.125,263.1
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.2043,0.06,rain,15.56,18.57,15.56,1,1008.3,0.89,1.16,25,0.59,0,10.173,263.0
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.1583,0.06,rain,14.82,17.62,14.82,1,1009.6,1.02,1.28,35,0.58,0,16.093,262.7
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.1283,0.05,rain,14.19,16.68,14.19,1,1010.4,1.09,1.34,24,0.59,0,16.093,262.3
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.1076,0.04,rain,13.68,15.83,13.68,1,1010.7,1.07,1.31,25,0.64,0,16.093,261.9
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.0898,0.05,rain,13.29,15.1,13.29,1,1010.8,1.04,1.25,30,0.71,0,16.093,261.5
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0757,0.05,rain,13.15,14.68,13.15,1,1010.8,1.02,1.2,30,0.77,0,16.093,261.0
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.069,0.05,rain,13.15,14.43,13.15,1,1010.7,1.03,1.17,27,0.83,0,16.093,260.2
15,2020-09-09 02:00:00,Overcast,cloudy,0.0677,0.04,rain,13.17,14.25,13.17,1,1010.5,1.03,1.13,22,0.88,0,16.093,259.4
16,2020-09-09 03:00:00,Overcast,cloudy,0.061,0.03,rain,13.32,14.15,13.32,1,1010.4,1.03,1.12,18,0.9,0,16.093,259.3
17,2020-09-09 04:00:00,Overcast,cloudy,0.0453,0.04,rain,13.18,13.91,13.18,1,1010.3,1.01,1.13,12,0.88,0,16.093,259.8
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0335,0.04,rain,13.02,13.78,13.02,1,1010.5,0.99,1.16,9,0.84,0,16.093,260.7
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.028,0.04,rain,12.88,13.8,12.88,1,1010.6,0.95,1.13,14,0.79,0,16.093,261.5
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0201,0.03,rain,13.44,14.59,13.44,1,1010.6,0.91,1.01,28,0.71,1,16.093,262.2
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0184,0.03,rain,14.48,15.93,14.48,1,1010.7,0.89,0.92,221,0.61,2,16.093,262.8
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0269,0.03,rain,15.54,17.2,15.54,1,1010.8,1.01,1.04,296,0.54,5,16.093,262.5
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.056,0.04,rain,16.29,18.17,16.29,1,1010.3,1.3,1.47,304,0.48,7,14.275,261.0
24,2020-09-09 11:00:00,Partly Cloudy,partly-cloudy-day,0.1215,0.05,rain,17.5,19.49,17.5,1,1009.6,1.63,2.18,192,0.44,9,6.652,259.1
25,2020-09-09 12:00:00,Foggy,fog,0.2046,0.06,rain,18.7,20.67,18.7,1,1008.8,1.81,2.58,236,0.46,10,2.423,257.8
26,2020-09-09 13:00:00,Foggy,fog,0.289,0.07,rain,19.4,21.45,19.4,1,1007.8,1.79,2.49,244,0.58,8,3.044,257.3
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.3732,0.07,rain,19.25,21.46,19.25,1,1006.8,1.67,2.21,234,0.74,6,3.518,257.2
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.4125,0.08,rain,18.51,21.02,18.51,1,1006.1,1.47,1.88,210,0.84,4,3.856,257.2
29,2020-09-09 16:00:00,Overcast,cloudy,0.3865,0.09,rain,17.67,20.57,17.67,1,1005.7,1.16,1.53,163,0.88,2,3.481,257.3
30,2020-09-09 17:00:00,Overcast,cloudy,0.33,0.08,rain,16.65,19.8,16.65,1,1005.6,0.85,1.27,339,0.9,1,3.241,257.6
31,2020-09-09 18:00:00,Overcast,cloudy,0.2732,0.07,rain,15.76,18.9,15.76,1,1005.9,0.7,1.16,307,0.92,0,4.206,257.8
32,2020-09-09 19:00:00,Overcast,cloudy,0.2197,0.07,rain,15.19,18.18,15.19,1,1007.0,0.77,1.22,351,0.95,0,8.852,257.9
33,2020-09-09 20:00:00,Overcast,cloudy,0.1726,0.06,rain,14.53,17.35,14.53,1,1008.3,0.92,1.35,30,0.98,0,14.47,258.0
34,2020-09-09 21:00:00,Overcast,cloudy,0.1396,0.06,rain,13.95,16.49,13.95,1,1009.0,1.04,1.42,20,0.99,0,16.093,257.5
35,2020-09-09 22:00:00,Overcast,cloudy,0.1198,0.06,rain,13.41,15.59,13.41,1,1009.1,1.1,1.39,16,0.95,0,16.093,256.2
36,2020-09-09 23:00:00,Overcast,cloudy,0.1057,0.05,rain,12.93,14.73,12.93,1,1008.9,1.16,1.34,15,0.9,0,16.093,254.7
37,2020-09-10 00:00:00,Overcast,cloudy,0.0819,0.04,rain,12.73,14.21,12.73,1,1008.6,1.16,1.28,16,0.88,0,16.093,253.9
38,2020-09-10 01:00:00,Overcast,cloudy,0.0446,0.04,rain,12.69,13.91,12.69,1,1008.1,1.11,1.2,18,0.91,0,16.093,253.9
39,2020-09-10 02:00:00,Overcast,cloudy,0.0196,0.07,rain,12.68,13.7,12.68,1,1007.3,1.03,1.1,19,0.94,0,16.093,254.4
40,2020-09-10 03:00:00,Overcast,cloudy,0.0119,0.06,rain,12.82,13.61,12.82,1,1006.9,0.97,1.02,20,0.96,0,16.093,254.9
41,2020-09-10 04:00:00,Overcast,cloudy,0.0073,0.04,rain,12.7,13.39,12.7,1,1007.1,0.94,0.99,17,0.96,0,16.093,255.6
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,12.54,13.29,12.54,1,1007.3,0.92,0.99,13,0.95,0,16.093,256.2
43,2020-09-10 06:00:00,Overcast,cloudy,0.0,0.0,,12.46,13.34,12.46,1,1007.4,0.91,1.01,18,0.94,0,16.093,256.6
44,2020-09-10 07:00:00,Overcast,cloudy,0.007,0.01,rain,13.1,14.16,13.1,1,1007.5,0.89,0.94,31,0.93,1,16.093,256.5
45,2020-09-10 08:00:00,Overcast,cloudy,0.0128,0.02,rain,14.23,15.53,14.23,1,1007.6,0.9,0.93,259,0.92,2,16.093,256.2
46,2020-09-10 09:00:00,Overcast,cloudy,0.0223,0.02,rain,15.45,16.87,15.45,1,1007.7,1.0,1.04,308,0.9,4,16.093,255.7
47,2020-09-10 10:00:00,Overcast,cloudy,0.0467,0.04,rain,16.42,18.01,16.42,1,1007.2,1.26,1.39,316,0.88,6,16.092,255.1
48,2020-09-10 11:00:00,Mostly Cloudy,partly-cloudy-day,0.1027,0.05,rain,17.94,19.57,17.94,1,1006.5,1.54,2.01,175,0.85,7,8.818,254.4
