,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.1285,0.05,rain,20.4,21.98,20.4,1,1009.8,1.38,1.63,253,0.51,8,12.973,262.6
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.1998,0.05,rain,21.45,22.99,21.45,1,1009.2,1.43,1.74,260,0.53,9,11.775,261.8
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.267,0.06,rain,22.15,23.72,22.15,1,1008.4,1.44,1.74,262,0.54,8,11.363,261.4
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3309,0.07,rain,22.51,24.14,22.51,1,1007.5,1.41,1.67,261,0.54,7,10.949,261.3
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.3693,0.08,rain,22.1,23.92,22.1,1,1007.0,1.33,1.55,263,0.54,5,9.987,261.5
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.3733,0.08,rain,21.33,23.43,21.33,1,1006.7,1.16,1.37,272,0.53,2,7.889,262.4
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.3591,0.08,rain,20.21,22.56,20.21,1,1006.7,0.96,1.18,284,0.52,1,5.85,263.5
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.3382,0.08,rain,19.26,21.63,19.26,1,1007.2,0.85,1.11,303,0.52,0,6.152,264.0
8,2020-09-08 19:00:00,Partly Cloudy,partly-cloudy-night,0.3114,0.07,rain,18.36,20.63,18.36,1,1008.3,0.85,1.19,85,0.55,0,10.832,263.8
9,2020-09-08 20:00:00,Partly Cloudy,partly-cloudy-night,0.2839,0.06,rain,17.54,19.59,17.54,1,1009.6,0.9,1.29,54,0.58,0,16.093,263.1
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.2573,0.05,rain,16.94,18.79,16.94,1,1010.4,0.92,1.34,28,0.63,0,16.093,262.5
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.2262,0.05,rain,16.73,18.46,16.73,1,1010.7,0.92,1.3,26,0.69,0,16.093,262.0
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.1917,0.06,rain,16.6,18.15,16.6,1,1010.8,0.9,1.23,34,0.76,0,16.093,261.5
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.1526,0.06,rain,16.34,17.74,16.34,1,1010.7,0.89,1.14,38,0.81,0,16.093,260.9
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.1095,0.05,rain,16.08,17.35,16.08,1,1010.6,0.87,1.05,35,0.84,0,16.093,259.9
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.0709,0.04,rain,16.02,17.16,16.02,1,1010.3,0.85,0.97,31,0.86,0,16.093,259.0
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.0406,0.03,rain,16.12,17.16,16.12,1,1010.0,0.83,0.93,27,0.87,0,16.093,258.9
17,2020-09-09 04:00:00,Mostly Cloudy,partly-cloudy-night,0.0145,0.02,rain,15.79,16.73,15.79,1,1010.1,0.82,0.98,18,0.87,0,16.093,259.7
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,15.26,16.18,15.26,1,1009.7,0.81,1.07,13,0.85,0,16.093,261.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,14.89,15.89,14.89,1,1009.9,0.83,1.1,27,0.81,0,16.093,262.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0045,0.01,rain,15.51,16.64,15.51,1,1010.2,0.87,1.01,67,0.76,1,16.093,262.5
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0154,0.04,rain,16.9,18.22,16.9,1,1010.6,0.95,0.96,109,0.69,2,16.093,262.8
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0419,0.03,rain,18.47,19.96,18.47,1,1010.8,1.08,1.08,284,0.63,4,16.093,262.4
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.0941,0.04,rain,19.87,21.47,19.87,1,1010.4,1.3,1.41,273,0.55,7,15.365,260.9
24,2020-09-09 11:00:00,Partly Cloudy,partly-cloudy-day,0.1805,0.06,rain,21.02,22.65,21.02,1,1009.5,1.53,2.01,264,0.49,9,11.323,259.2
25,2020-09-09 12:00:00,Partly Cloudy,partly-cloudy-day,0.2752,0.07,rain,21.54,23.27,21.54,1,1008.7,1.63,2.34,259,0.49,9,8.352,257.9
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.3669,0.08,rain,21.56,23.44,21.56,1,1007.7,1.57,2.27,261,0.58,8,6.79,257.5
