,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0396,0.04,rain,7.84,6.73,7.84,1,1009.3,1.94,2.83,321,0.48,10,5.349,255.0
1,2020-09-08 12:00:00,Foggy,fog,0.0727,0.06,rain,8.43,7.38,8.43,1,1008.5,1.99,3.16,320,0.56,10,0.057,254.2
2,2020-09-08 13:00:00,Foggy,fog,0.1051,0.09,rain,8.29,7.31,8.29,1,1007.7,1.87,2.89,306,0.72,8,0.0,253.8
3,2020-09-08 14:00:00,Foggy,fog,0.1557,0.12,rain,7.58,6.67,7.58,1,1007.0,1.7,2.39,300,0.9,6,0.038,253.7
4,2020-09-08 15:00:00,Foggy,fog,0.1841,0.13,rain,6.67,5.77,6.67,1,1006.5,1.56,1.98,300,1.0,4,0.314,254.1
5,2020-09-08 16:00:00,Foggy,fog,0.1537,0.09,rain,6.13,5.23,6.13,1,1006.6,1.5,1.76,312,1.0,2,0.756,255.2
6,2020-09-08 17:00:00,Foggy,fog,0.1103,0.08,rain,5.63,4.71,5.63,1,1007.0,1.47,1.65,335,0.99,1,1.32,256.4
7,2020-09-08 18:00:00,Foggy,fog,0.0807,0.07,rain,5.27,4.25,5.27,1,1007.7,1.42,1.57,341,0.98,0,1.503,257.0
8,2020-09-08 19:00:00,Foggy,fog,0.0618,0.05,rain,4.91,5.22,4.91,1,1008.9,1.34,1.49,345,0.96,0,0.989,256.8
9,2020-09-08 20:00:00,Foggy,fog,0.0697,0.05,rain,4.51,8.41,4.51,1,1010.4,1.26,1.43,344,0.95,0,0.461,256.0
10,2020-09-08 21:00:00,Foggy,fog,0.0776,0.05,rain,4.18,3.87,4.18,1,1011.4,1.21,1.38,345,0.94,0,1.712,255.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.0564,0.05,rain,4.21,4.21,4.21,1,1011.7,1.17,1.34,338,0.94,0,7.803,254.6
12,2020-09-08 23:00:00,Overcast,cloudy,0.0324,0.05,rain,4.25,4.25,4.25,1,1011.6,1.16,1.32,342,0.95,0,14.988,253.9
13,2020-09-09 00:00:00,Overcast,cloudy,0.0198,0.05,rain,4.05,4.05,4.05,1,1011.4,1.13,1.29,28,0.96,0,16.093,253.2
14,2020-09-09 01:00:00,Overcast,cloudy,0.0078,0.03,rain,3.74,3.74,3.74,1,1011.0,1.08,1.23,61,0.95,0,16.093,252.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.0,0.0,,3.46,3.46,3.46,1,1010.3,1.03,1.16,20,0.94,0,16.093,251.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.0,0.0,,3.55,3.55,3.55,1,1010.1,0.99,1.11,351,0.93,0,16.093,252.1
17,2020-09-09 04:00:00,Overcast,cloudy,0.0,0.0,,3.41,3.41,3.41,1,1010.5,0.96,1.08,339,0.94,0,16.093,253.6
18,2020-09-09 05:00:00,Overcast,cloudy,0.0052,0.01,rain,3.03,3.03,3.03,1,1011.3,0.94,1.06,340,0.92,0,16.093,255.3
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0071,0.03,rain,2.89,2.89,2.89,1,1011.4,0.98,1.08,351,0.85,0,16.093,256.2
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0047,0.02,rain,3.33,3.35,3.33,1,1011.4,1.08,1.14,37,0.7,1,16.093,255.5
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,4.4,4.24,4.4,1,1011.1,1.23,1.26,67,0.52,3,16.093,254.4
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0,0.0,,5.67,4.76,5.67,1,1010.7,1.42,1.49,353,0.41,6,16.093,253.5
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.0173,0.03,rain,6.9,5.87,6.9,1,1010.0,1.71,2.1,325,0.37,9,14.856,253.0
24,2020-09-09 11:00:00,Partly Cloudy,partly-cloudy-day,0.0641,0.05,rain,8.1,6.98,8.1,1,1009.1,2.0,3.05,341,0.39,10,5.801,252.5
25,2020-09-09 12:00:00,Foggy,fog,0.1228,0.09,rain,8.72,7.62,8.72,1,1008.0,2.1,3.5,3,0.48,10,0.37,252.0
26,2020-09-09 13:00:00,Foggy,fog,0.1751,0.13,rain,8.53,7.49,8.53,1,1007.0,1.98,3.29,338,0.66,8,0.099,251.3
27,2020-09-09 14:00:00,Foggy,fog,0.2232,0.14,rain,7.7,6.75,7.7,1,1006.2,1.76,2.81,320,0.88,6,0.07,250.7
28,2020-09-09 15:00:00,Foggy,fog,0.2365,0.14,rain,6.72,5.81,6.72,1,1005.6,1.58,2.39,311,1.0,4,0.147,250.3
29,2020-09-09 16:00:00,Foggy,fog,0.1981,0.12,rain,6.14,5.15,6.14,1,1005.4,1.46,2.05,312,1.0,2,0.268,250.2
30,2020-09-09 17:00:00,Foggy,fog,0.1406,0.1,rain,5.59,6.03,5.59,1,1005.5,1.36,1.73,322,0.99,1,0.516,250.3
31,2020-09-09 18:00:00,Foggy,fog,0.1006,0.09,rain,5.29,11.04,5.29,1,1006.1,1.31,1.58,334,0.98,0,0.633,250.3
32,2020-09-09 19:00:00,Foggy,fog,0.0804,0.08,rain,5.05,8.73,5.05,1,1007.3,1.33,1.61,342,0.97,0,0.513,250.4
33,2020-09-09 20:00:00,Foggy,fog,0.0664,0.07,rain,4.76,3.41,4.76,1,1008.8,1.39,1.64,354,0.96,0,0.472,250.3
34,2020-09-09 21:00:00,Foggy,fog,0.0498,0.06,rain,4.49,3.71,4.49,1,1009.7,1.38,1.62,353,0.96,0,0.879,249.8
35,2020-09-09 22:00:00,Foggy,fog,0.0268,0.06,rain,4.38,4.44,4.38,1,1009.6,1.29,1.5,335,0.96,0,2.647,248.6
36,2020-09-09 23:00:00,Overcast,cloudy,0.0141,0.06,rain,4.26,4.26,4.26,1,1009.3,1.17,1.36,329,0.96,0,5.046,247.1
37,2020-09-10 00:00:00,Overcast,cloudy,0.0104,0.04,rain,3.99,3.99,3.99,1,1009.0,1.07,1.24,331,0.96,0,7.997,246.4
38,2020-09-10 01:00:00,Overcast,cloudy,0.0058,0.03,rain,3.69,3.69,3.69,1,1008.7,1.01,1.14,339,0.97,0,11.745,246.5
39,2020-09-10 02:00:00,Overcast,cloudy,0.0,0.0,,3.49,3.49,3.49,1,1008.1,0.96,1.07,332,0.98,0,15.751,247.1
40,2020-09-10 03:00:00,Overcast,cloudy,0.0,0.0,,3.55,3.55,3.55,1,1008.0,0.93,1.03,345,0.99,0,16.093,247.9
41,2020-09-10 04:00:00,Overcast,cloudy,0.0,0.0,,3.38,3.38,3.38,1,1007.8,0.94,1.04,66,0.99,0,16.093,248.9
42,2020-09-10 05:00:00,Overcast,cloudy,0.0,0.0,,2.92,2.92,2.92,1,1008.0,0.98,1.09,11,0.99,0,16.093,250.0
43,2020-09-10 06:00:00,Overcast,cloudy,0.0,0.0,,2.82,2.82,2.82,1,1007.8,1.04,1.15,355,0.99,0,16.093,250.6
44,2020-09-10 07:00:00,Overcast,cloudy,0.0,0.0,,3.35,3.27,3.35,1,1008.0,1.13,1.22,35,0.98,1,16.093,250.4
