,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2839,0.08,rain,21.38,22.93,21.38,1,1009.6,1.3,1.6,206,0.65,8,10.07,261.8
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.4884,0.1,rain,21.8,23.47,21.8,1,1009.0,1.35,1.87,207,0.66,8,6.005,261.2
2,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.6151,0.12,rain,21.44,23.35,21.44,1,1008.3,1.38,2.06,207,0.7,7,6.146,261.4
3,2020-09-08 14:00:00,Mostly Cloudy,partly-cloudy-day,0.6971,0.13,rain,20.71,22.92,20.71,1,1007.6,1.38,2.19,219,0.74,6,7.77,262.0
4,2020-09-08 15:00:00,Mostly Cloudy,partly-cloudy-day,0.7115,0.16,rain,19.73,22.21,19.73,1,1007.1,1.3,2.18,219,0.78,4,8.36,262.7
5,2020-09-08 16:00:00,Mostly Cloudy,partly-cloudy-day,0.6283,0.16,rain,19.2,21.83,19.2,1,1006.9,1.12,2.01,206,0.8,2,7.231,263.4
6,2020-09-08 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5008,0.16,rain,18.65,21.3,18.65,1,1006.9,0.9,1.73,313,0.82,1,5.887,264.2
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.3933,0.14,rain,18.5,21.0,18.5,1,1007.4,0.72,1.43,246,0.85,0,5.585,264.4
8,2020-09-08 19:00:00,Overcast,cloudy,0.3128,0.11,rain,18.41,20.72,18.41,1,1008.3,0.57,1.07,191,0.89,0,6.874,264.0
9,2020-09-08 20:00:00,Overcast,cloudy,0.2502,0.09,rain,18.3,20.41,18.3,1,1009.4,0.45,0.73,37,0.93,0,8.474,263.3
10,2020-09-08 21:00:00,Overcast,cloudy,0.1911,0.08,rain,18.02,19.95,18.02,1,1010.2,0.42,0.57,56,0.96,0,9.206,262.7
11,2020-09-08 22:00:00,Overcast,cloudy,0.119,0.06,rain,17.5,19.17,17.5,1,1010.3,0.48,0.66,48,0.96,0,9.215,262.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.0609,0.06,rain,17.02,18.47,17.02,1,1010.1,0.59,0.83,37,0.97,0,9.295,261.5
13,2020-09-09 00:00:00,Overcast,cloudy,0.0371,0.07,rain,16.69,18.0,16.69,1,1010.0,0.66,0.93,25,0.97,0,11.211,261.0
14,2020-09-09 01:00:00,Overcast,cloudy,0.0444,0.07,rain,16.43,17.65,16.43,1,1009.8,0.68,0.92,15,0.99,0,15.898,260.3
15,2020-09-09 02:00:00,Overcast,cloudy,0.0702,0.07,rain,16.16,17.31,16.16,1,1009.5,0.68,0.87,5,1.0,0,16.093,259.9
16,2020-09-09 03:00:00,Overcast,cloudy,0.0755,0.07,rain,16.17,17.27,16.17,1,1009.5,0.7,0.85,359,1.0,0,16.093,259.9
17,2020-09-09 04:00:00,Overcast,cloudy,0.0433,0.07,rain,15.85,16.87,15.85,1,1009.5,0.72,0.85,351,0.99,0,16.093,260.8
18,2020-09-09 05:00:00,Overcast,cloudy,0.0126,0.05,rain,15.33,16.29,15.33,1,1009.5,0.75,0.86,350,0.98,0,16.093,261.8
19,2020-09-09 06:00:00,Overcast,cloudy,0.0,0.0,,15.16,16.14,15.16,1,1009.2,0.8,0.89,11,0.94,0,16.093,262.3
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,16.1,17.12,16.1,1,1009.4,0.87,0.91,63,0.8,1,16.093,261.8
21,2020-09-09 08:00:00,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,17.74,18.86,17.74,1,1009.3,0.95,0.96,129,0.65,2,16.093,260.8
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0054,0.01,rain,19.22,20.44,19.22,1,1009.9,1.06,1.12,184,0.55,5,16.093,260.1
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.0813,0.06,rain,20.73,22.08,20.73,1,1009.8,1.22,1.48,197,0.52,7,16.093,259.5
24,2020-09-09 11:00:00,Partly Cloudy,partly-cloudy-day,0.3069,0.09,rain,21.76,23.22,21.76,1,1009.1,1.38,1.89,198,0.53,9,9.296,259.1
25,2020-09-09 12:00:00,Partly Cloudy,partly-cloudy-day,0.5875,0.12,rain,22.16,23.74,22.16,1,1008.2,1.45,2.13,200,0.57,9,4.673,258.7
26,2020-09-09 13:00:00,Mostly Cloudy,partly-cloudy-day,0.841,0.15,rain,21.66,23.5,21.66,1,1007.4,1.41,2.18,206,0.67,8,4.038,258.4
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,1.1418,0.19,rain,20.79,22.93,20.79,1,1006.5,1.31,2.11,210,0.79,6,4.877,258.1
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,1.4225,0.24,rain,19.66,22.09,19.66,1,1005.9,1.17,1.97,217,0.87,4,4.947,258.0
29,2020-09-09 16:00:00,Rain,rain,1.5923,0.27,rain,19.03,21.61,19.03,1,1005.5,0.98,1.71,206,0.89,2,3.41,257.8
30,2020-09-09 17:00:00,Rain,rain,1.6759,0.29,rain,18.46,21.07,18.46,1,1005.4,0.77,1.41,114,0.9,1,2.098,257.7
31,2020-09-09 18:00:00,Rain,rain,1.6444,0.29,rain,18.31,20.72,18.31,1,1005.7,0.62,1.15,355,0.92,0,3.185,257.6
