,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1243,0.11,rain,28.12,36.1,27.64,0.97,1009.3,2.04,2.61,151,0.52,8,16.093,268.1
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1963,0.12,rain,29.4,38.93,27.78,0.91,1008.9,2.26,2.74,158,0.46,8,16.093,267.9
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3292,0.15,rain,30.22,40.56,27.8,0.87,1008.2,2.1,2.54,161,0.49,8,15.981,268.2
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5154,0.21,rain,30.47,41.31,27.96,0.86,1007.5,1.77,2.2,161,0.55,6,11.725,268.7
4,2020-09-08 15:00:00,Possible Light Rain and Humid,rain,0.6701,0.25,rain,29.91,40.87,28.33,0.91,1006.9,1.49,1.93,157,0.61,4,9.708,269.0
5,2020-09-08 16:00:00,Possible Light Rain and Humid,rain,0.7617,0.29,rain,29.25,40.51,28.89,0.98,1006.6,1.26,1.75,149,0.67,2,10.6,269.3
6,2020-09-08 17:00:00,Possible Light Rain and Humid,rain,0.7938,0.3,rain,28.22,38.19,28.22,1.0,1006.5,1.05,1.62,137,0.74,0,12.895,269.4
7,2020-09-08 18:00:00,Possible Light Rain and Humid,rain,0.6802,0.29,rain,27.48,35.89,27.48,1.0,1006.7,0.97,1.61,116,0.81,0,15.577,269.1
8,2020-09-08 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3894,0.25,rain,26.6,32.31,26.6,1.0,1007.5,1.06,1.74,83,0.87,0,16.093,268.6
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.1475,0.17,rain,25.98,28.39,25.98,1.0,1008.4,1.2,1.93,49,0.94,0,16.093,267.7
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.0816,0.14,rain,25.56,27.06,25.56,1.0,1009.0,1.29,2.02,31,0.97,0,16.093,266.8
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.1464,0.16,rain,25.34,26.53,25.34,1.0,1009.1,1.3,2.0,31,0.98,0,16.093,265.7
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.2864,0.2,rain,25.2,26.35,25.0,0.99,1009.0,1.28,1.91,38,0.98,0,16.093,264.6
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.3339,0.22,rain,25.05,26.17,24.68,0.98,1008.8,1.21,1.79,43,0.99,0,16.093,263.9
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.1956,0.2,rain,24.75,25.83,24.32,0.97,1008.5,1.06,1.61,41,0.99,0,16.093,263.7
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.0612,0.17,rain,24.53,25.58,24.07,0.97,1008.0,0.9,1.43,39,1.0,0,16.093,263.9
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.0134,0.13,rain,24.42,25.48,24.06,0.98,1007.3,0.82,1.32,37,1.0,0,16.093,264.3
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.004,0.08,rain,24.15,25.21,24.03,0.99,1007.3,0.86,1.32,34,0.99,0,16.093,265.1
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.0,0.0,,23.82,24.9,23.82,1.0,1007.4,0.92,1.35,36,0.97,0,16.093,266.0
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.0,0.0,,23.85,24.92,23.85,1.0,1007.7,0.96,1.3,53,0.91,0,16.093,266.6
20,2020-09-09 07:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0038,0.02,rain,24.82,26.05,24.47,0.98,1008.2,0.91,1.11,91,0.7,1,16.093,266.8
21,2020-09-09 08:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0156,0.08,rain,26.29,28.82,24.87,0.92,1008.7,0.89,0.92,135,0.46,2,16.093,266.8
22,2020-09-09 09:00:00,Humid,clear-day,0.0537,0.07,rain,27.75,32.7,25.41,0.87,1009.2,1.02,1.02,162,0.3,5,16.093,266.5
23,2020-09-09 10:00:00,Humid,clear-day,0.1442,0.08,rain,28.95,35.69,26.14,0.85,1009.1,1.4,1.43,172,0.22,8,16.093,265.9
24,2020-09-09 11:00:00,Humid,clear-day,0.3055,0.09,rain,30.22,39.02,26.85,0.82,1008.5,1.83,1.91,171,0.2,10,15.759,265.1
25,2020-09-09 12:00:00,Humid,clear-day,0.5335,0.11,rain,31.21,41.72,27.43,0.8,1007.8,2.05,2.17,158,0.27,10,12.627,264.1
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8796,0.16,rain,31.67,42.91,27.65,0.79,1006.9,1.94,2.09,133,0.46,8,9.305,263.0
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,1.2653,0.23,rain,31.33,42.64,27.82,0.82,1006.0,1.72,1.89,131,0.7,6,6.695,261.7
28,2020-09-09 15:00:00,Rain and Humid,rain,1.3569,0.32,rain,30.55,41.72,28.11,0.87,1005.3,1.57,1.75,196,0.85,4,7.552,261.0
29,2020-09-09 16:00:00,Rain and Humid,rain,0.9909,0.33,rain,29.62,40.76,28.59,0.94,1004.9,1.55,1.73,175,0.9,2,13.602,260.6
30,2020-09-09 17:00:00,Possible Light Rain and Humid,rain,0.5757,0.29,rain,28.81,39.02,28.57,0.99,1004.8,1.55,1.76,107,0.9,0,16.093,260.4
31,2020-09-09 18:00:00,Possible Light Rain and Humid,rain,0.3857,0.27,rain,27.9,36.57,27.9,1.0,1005.0,1.49,1.78,101,0.91,0,16.093,260.3
32,2020-09-09 19:00:00,Possible Light Rain and Humid,rain,0.3664,0.27,rain,27.1,33.5,27.1,1.0,1005.7,1.34,1.77,84,0.95,0,16.093,260.4
33,2020-09-09 20:00:00,Possible Light Rain and Humid,rain,0.3973,0.27,rain,26.38,29.74,26.38,1.0,1006.6,1.2,1.76,63,0.98,0,16.021,260.4
34,2020-09-09 21:00:00,Possible Light Rain and Humid,rain,0.3934,0.26,rain,25.91,28.14,25.91,1.0,1007.1,1.13,1.75,47,1.0,0,13.309,260.1
35,2020-09-09 22:00:00,Possible Light Rain and Humid,rain,0.3082,0.26,rain,25.69,27.43,25.56,0.99,1007.0,1.15,1.78,39,1.0,0,14.209,259.1
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.2282,0.25,rain,25.57,26.98,25.11,0.97,1006.7,1.21,1.8,36,1.0,0,15.982,258.0
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.2065,0.25,rain,25.39,26.46,24.71,0.96,1006.3,1.21,1.77,37,1.0,0,16.093,257.2
38,2020-09-10 01:00:00,Possible Light Rain and Humid,rain,0.2556,0.26,rain,24.96,26.0,24.1,0.95,1005.9,1.14,1.67,45,1.0,0,14.716,256.8
39,2020-09-10 02:00:00,Possible Light Rain and Humid,rain,0.3528,0.27,rain,24.59,25.57,23.62,0.94,1005.5,1.06,1.56,55,1.0,0,12.452,256.7
40,2020-09-10 03:00:00,Possible Light Rain and Humid,rain,0.4304,0.27,rain,24.35,25.31,23.42,0.95,1005.3,1.07,1.61,60,1.0,0,10.755,257.1
41,2020-09-10 04:00:00,Humid and Overcast,cloudy,0.4464,0.23,rain,24.03,24.98,23.22,0.95,1005.3,1.19,1.86,54,1.0,0,9.794,258.2
42,2020-09-10 05:00:00,Humid and Overcast,cloudy,0.4452,0.22,rain,23.68,24.63,23.11,0.97,1005.4,1.36,2.2,47,1.0,0,9.155,259.7
