,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.0845,0.04,rain,26.76,28.88,22.12,0.76,1009.6,1.27,1.38,185,0.1,9,16.093,267.3
1,2020-09-08 12:00:00,Humid,clear-day,0.1149,0.04,rain,27.83,30.58,22.29,0.72,1009.3,1.53,1.64,211,0.15,10,16.093,267.0
2,2020-09-08 13:00:00,Humid,clear-day,0.1523,0.05,rain,27.95,31.0,22.71,0.73,1008.7,1.57,1.91,213,0.25,10,16.093,266.9
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2314,0.06,rain,27.16,30.04,23.27,0.79,1007.9,1.52,2.16,205,0.37,7,16.093,266.9
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3249,0.07,rain,26.17,28.25,23.91,0.87,1007.4,1.41,2.15,200,0.43,5,16.093,267.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4101,0.08,rain,25.36,26.39,24.85,0.97,1007.0,1.22,1.77,205,0.42,3,16.093,267.5
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4641,0.09,rain,24.86,26.08,24.86,1.0,1006.9,1.0,1.28,208,0.38,1,16.093,268.1
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4149,0.09,rain,23.92,25.14,23.92,1.0,1007.1,0.83,1.01,197,0.37,0,16.093,268.2
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2418,0.07,rain,23.23,24.45,23.23,1.0,1007.7,0.73,1.04,163,0.4,0,16.093,267.9
9,2020-09-08 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.089,0.05,rain,22.41,23.6,22.41,1.0,1008.6,0.65,1.19,124,0.44,0,16.093,267.5
10,2020-09-08 21:00:00,Partly Cloudy,partly-cloudy-night,0.0357,0.04,rain,21.79,22.94,21.79,1.0,1009.2,0.59,1.33,97,0.5,0,16.093,267.4
11,2020-09-08 22:00:00,Partly Cloudy,partly-cloudy-night,0.0328,0.03,rain,21.46,22.53,21.46,1.0,1009.4,0.62,1.45,70,0.58,0,16.093,267.7
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.04,0.04,rain,21.4,22.42,21.4,1.0,1009.6,0.7,1.57,51,0.67,0,16.093,268.1
13,2020-09-09 00:00:00,Mostly Cloudy,partly-cloudy-night,0.0398,0.04,rain,21.32,22.3,21.32,1.0,1009.6,0.76,1.64,41,0.77,0,16.093,268.6
14,2020-09-09 01:00:00,Mostly Cloudy,partly-cloudy-night,0.0237,0.04,rain,21.16,22.12,21.16,1.0,1009.2,0.78,1.67,35,0.87,0,16.093,268.8
15,2020-09-09 02:00:00,Overcast,cloudy,0.0119,0.03,rain,21.18,22.12,21.18,1.0,1008.8,0.79,1.67,31,0.97,0,16.093,269.0
16,2020-09-09 03:00:00,Overcast,cloudy,0.0089,0.02,rain,21.07,22.0,21.07,1.0,1008.8,0.8,1.7,21,0.99,0,16.093,269.5
17,2020-09-09 04:00:00,Overcast,cloudy,0.0147,0.02,rain,20.86,21.76,20.86,1.0,1008.9,0.84,1.79,1,0.93,0,16.093,270.2
18,2020-09-09 05:00:00,Mostly Cloudy,partly-cloudy-night,0.035,0.04,rain,20.75,21.63,20.75,1.0,1009.3,0.87,1.87,341,0.82,0,16.093,271.0
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-night,0.061,0.04,rain,20.78,21.63,20.78,1.0,1009.6,0.86,1.78,353,0.65,0,16.093,271.5
20,2020-09-09 07:00:00,Partly Cloudy,partly-cloudy-day,0.0863,0.04,rain,21.22,22.03,21.22,1.0,1009.9,0.75,1.44,39,0.41,0,16.093,271.7
21,2020-09-09 08:00:00,Clear,clear-day,0.1132,0.05,rain,22.5,23.29,21.71,0.95,1010.3,0.62,1.04,116,0.14,2,16.093,271.6
22,2020-09-09 09:00:00,Clear,clear-day,0.1392,0.05,rain,23.76,24.51,21.94,0.9,1010.4,0.62,0.84,189,0.0,4,16.093,270.9
23,2020-09-09 10:00:00,Clear,clear-day,0.1585,0.04,rain,24.83,25.72,21.88,0.84,1010.1,0.85,0.91,183,0.0,7,16.093,269.5
24,2020-09-09 11:00:00,Clear,clear-day,0.17,0.04,rain,26.35,28.2,22.1,0.77,1009.6,1.15,1.15,189,0.01,10,16.093,267.7
25,2020-09-09 12:00:00,Humid,clear-day,0.1667,0.04,rain,27.46,30.18,22.58,0.75,1008.9,1.36,1.38,206,0.07,11,16.093,266.4
26,2020-09-09 13:00:00,Humid,clear-day,0.1678,0.04,rain,27.66,30.73,23.04,0.76,1008.1,1.45,1.63,212,0.28,9,16.093,265.8
27,2020-09-09 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2027,0.05,rain,27.02,29.91,23.53,0.81,1007.2,1.48,1.93,209,0.51,7,16.093,265.5
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2446,0.06,rain,26.1,28.17,24.09,0.89,1006.6,1.39,1.99,197,0.67,5,16.093,265.0
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2756,0.07,rain,25.25,26.29,24.92,0.98,1006.0,1.14,1.72,186,0.71,3,16.093,264.6
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3268,0.08,rain,24.69,25.92,24.69,1.0,1005.7,0.83,1.33,233,0.7,1,16.093,264.2
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3552,0.08,rain,23.71,24.91,23.71,1.0,1005.7,0.66,1.11,207,0.66,0,16.093,264.1
32,2020-09-09 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.303,0.06,rain,22.96,24.13,22.96,1.0,1006.3,0.68,1.11,177,0.57,0,16.093,264.5
33,2020-09-09 20:00:00,Partly Cloudy,partly-cloudy-night,0.2202,0.05,rain,22.19,23.28,22.19,1.0,1007.1,0.75,1.2,67,0.46,0,16.093,265.0
34,2020-09-09 21:00:00,Partly Cloudy,partly-cloudy-night,0.1565,0.05,rain,21.53,22.55,21.53,1.0,1007.6,0.82,1.3,51,0.4,0,16.093,265.0
35,2020-09-09 22:00:00,Partly Cloudy,partly-cloudy-night,0.1108,0.04,rain,21.16,22.11,21.16,1.0,1007.7,0.88,1.41,38,0.41,0,16.093,264.4
36,2020-09-09 23:00:00,Partly Cloudy,partly-cloudy-night,0.077,0.04,rain,21.08,21.99,21.08,1.0,1007.7,0.93,1.52,28,0.43,0,16.093,263.5
37,2020-09-10 00:00:00,Partly Cloudy,partly-cloudy-night,0.0608,0.03,rain,20.98,21.87,20.98,1.0,1007.6,0.97,1.6,22,0.41,0,16.093,262.8
