,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.1871,0.04,rain,28.19,30.78,21.68,0.68,1010.0,1.06,1.14,115,0.75,6,16.093,267.8
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.3076,0.05,rain,29.29,32.07,21.53,0.63,1009.5,1.25,1.36,138,0.66,7,16.093,267.1
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.4144,0.07,rain,29.51,32.45,21.7,0.63,1008.9,1.3,1.43,147,0.56,8,16.093,266.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5179,0.08,rain,28.83,32.03,22.37,0.68,1008.2,1.3,1.45,146,0.48,7,16.093,266.1
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5942,0.09,rain,28.02,31.19,22.85,0.74,1007.6,1.23,1.44,143,0.46,5,16.093,265.9
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6331,0.09,rain,27.5,30.53,23.11,0.77,1007.2,1.07,1.4,138,0.52,2,13.998,266.3
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6389,0.09,rain,27.19,29.89,22.83,0.77,1006.9,0.88,1.34,125,0.62,1,12.26,266.9
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6117,0.08,rain,26.26,27.98,22.19,0.78,1007.1,0.78,1.33,100,0.72,0,12.806,267.0
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5659,0.07,rain,25.01,25.59,21.53,0.81,1007.8,0.8,1.4,59,0.83,0,16.093,266.9
9,2020-09-08 20:00:00,Overcast,cloudy,0.4829,0.07,rain,23.73,24.35,20.8,0.84,1008.8,0.87,1.49,2,0.94,0,16.093,266.8
10,2020-09-08 21:00:00,Overcast,cloudy,0.334,0.06,rain,22.95,23.5,20.15,0.84,1009.5,0.91,1.56,324,1.0,0,16.093,266.6
11,2020-09-08 22:00:00,Overcast,cloudy,0.1335,0.04,rain,22.81,23.32,19.8,0.83,1009.8,0.94,1.59,319,1.0,0,16.093,266.6
12,2020-09-08 23:00:00,Overcast,cloudy,0.0166,0.02,rain,22.97,23.45,19.65,0.82,1009.6,0.96,1.61,329,1.0,0,16.093,266.7
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,23.0,23.47,19.53,0.81,1009.0,0.98,1.62,334,1.0,0,16.093,266.6
