,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.1943,0.04,rain,27.89,30.3,21.57,0.69,1010.1,1.1,1.21,116,0.74,6,16.093,267.7
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.3234,0.05,rain,29.08,31.72,21.41,0.63,1009.6,1.3,1.44,136,0.64,7,16.093,267.0
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.4294,0.06,rain,29.33,32.24,21.73,0.64,1009.0,1.36,1.48,142,0.54,8,16.093,266.5
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5262,0.07,rain,28.67,31.81,22.38,0.69,1008.3,1.35,1.45,140,0.46,7,16.093,266.0
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6016,0.09,rain,27.88,30.99,22.89,0.74,1007.7,1.28,1.43,135,0.44,5,15.953,265.9
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6496,0.09,rain,27.32,30.28,23.2,0.78,1007.3,1.12,1.38,131,0.5,2,13.699,266.2
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6637,0.09,rain,26.98,29.59,22.95,0.79,1007.0,0.92,1.34,120,0.6,1,11.931,266.7
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.637,0.08,rain,26.01,27.59,22.24,0.8,1007.2,0.81,1.31,93,0.71,0,12.508,266.8
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5829,0.07,rain,24.86,25.46,21.5,0.82,1008.0,0.79,1.32,53,0.82,0,16.093,266.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.4905,0.06,rain,23.71,24.33,20.88,0.84,1009.0,0.83,1.35,359,0.94,0,16.093,266.5
10,2020-09-08 21:00:00,Overcast,cloudy,0.3382,0.05,rain,22.97,23.55,20.35,0.85,1009.7,0.86,1.4,323,1.0,0,16.093,266.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.1387,0.04,rain,22.76,23.29,19.96,0.84,1010.0,0.89,1.45,318,1.0,0,16.093,266.4
12,2020-09-08 23:00:00,Overcast,cloudy,0.0201,0.02,rain,22.85,23.36,19.77,0.83,1009.8,0.92,1.52,327,1.0,0,16.093,266.4
13,2020-09-09 00:00:00,Overcast,cloudy,0.0,0.0,,22.88,23.36,19.64,0.82,1009.2,0.95,1.58,333,1.0,0,16.093,266.4
