,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Mostly Cloudy,partly-cloudy-day,0.2397,0.05,rain,22.18,22.45,17.82,0.76,1010.2,1.26,1.45,119,0.72,7,16.093,267.4
1,2020-09-08 12:00:00,Mostly Cloudy,partly-cloudy-day,0.3936,0.06,rain,23.21,23.51,18.21,0.73,1009.7,1.45,1.68,132,0.63,8,16.093,266.8
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.5006,0.06,rain,23.55,23.93,18.95,0.75,1009.1,1.49,1.63,136,0.52,8,15.807,266.3
3,2020-09-08 14:00:00,Partly Cloudy,partly-cloudy-day,0.5792,0.07,rain,22.8,23.29,19.62,0.82,1008.4,1.46,1.51,132,0.42,7,14.446,265.9
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.636,0.08,rain,21.77,22.34,19.99,0.9,1007.9,1.36,1.44,128,0.39,5,13.62,265.7
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.6704,0.08,rain,20.79,21.44,20.13,0.96,1007.5,1.18,1.38,125,0.46,3,13.278,265.9
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.6671,0.09,rain,20.4,21.03,19.95,0.97,1007.3,0.96,1.38,117,0.58,1,13.517,266.2
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6184,0.08,rain,19.64,20.18,19.09,0.97,1007.5,0.82,1.32,93,0.7,0,15.0,266.3
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5295,0.06,rain,18.94,19.38,18.21,0.96,1008.3,0.76,1.18,53,0.82,0,16.093,266.1
9,2020-09-08 20:00:00,Overcast,cloudy,0.4116,0.06,rain,18.36,18.72,17.49,0.95,1009.3,0.74,1.03,1,0.94,0,16.093,265.9
10,2020-09-08 21:00:00,Overcast,cloudy,0.2734,0.05,rain,17.86,18.13,16.72,0.93,1010.0,0.74,1.03,328,1.0,0,16.093,265.7
11,2020-09-08 22:00:00,Overcast,cloudy,0.1202,0.04,rain,17.7,17.88,16.04,0.9,1010.3,0.8,1.13,325,1.0,0,16.093,265.7
12,2020-09-08 23:00:00,Overcast,cloudy,0.0255,0.03,rain,17.65,17.73,15.39,0.87,1010.2,0.88,1.34,334,1.0,0,16.093,265.8
13,2020-09-09 00:00:00,Overcast,cloudy,0.0038,0.01,rain,17.77,17.8,15.04,0.84,1009.5,0.95,1.51,339,1.0,0,16.093,265.7
14,2020-09-09 01:00:00,Overcast,cloudy,0.0,0.0,,17.81,17.8,14.79,0.83,1009.4,1.0,1.64,336,0.99,0,16.093,265.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.0125,0.01,rain,17.84,17.84,14.62,0.81,1009.4,1.05,1.73,333,0.97,0,16.093,265.2
16,2020-09-09 03:00:00,Overcast,cloudy,0.0231,0.01,rain,17.87,17.87,14.54,0.81,1009.9,1.06,1.78,333,0.97,0,16.093,265.1
17,2020-09-09 04:00:00,Overcast,cloudy,0.0321,0.02,rain,17.79,17.79,14.53,0.81,1010.0,1.05,1.78,332,0.96,0,16.093,265.4
18,2020-09-09 05:00:00,Overcast,cloudy,0.0572,0.03,rain,17.51,17.51,14.56,0.83,1010.2,1.02,1.73,333,0.94,0,16.093,265.7
19,2020-09-09 06:00:00,Mostly Cloudy,partly-cloudy-day,0.0802,0.04,rain,17.21,17.21,14.52,0.84,1010.4,0.96,1.57,344,0.87,0,16.093,266.0
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0774,0.03,rain,17.88,17.89,14.91,0.83,1010.8,0.85,1.26,6,0.73,0,16.093,266.0
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0686,0.02,rain,18.82,18.88,15.56,0.81,1011.1,0.74,0.95,25,0.56,2,16.093,266.0
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0839,0.03,rain,19.57,19.69,16.15,0.81,1011.1,0.74,0.89,31,0.43,4,16.093,265.9
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.1845,0.04,rain,20.64,20.83,16.89,0.79,1010.6,0.91,1.12,67,0.33,7,15.719,265.8
24,2020-09-09 11:00:00,Clear,clear-day,0.4072,0.06,rain,21.86,22.12,17.66,0.77,1009.8,1.12,1.52,95,0.27,9,11.682,265.6
25,2020-09-09 12:00:00,Clear,clear-day,0.6074,0.07,rain,23.32,23.6,18.09,0.72,1009.0,1.28,1.77,111,0.3,10,9.453,264.9
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.65,0.06,rain,24.27,24.56,18.25,0.69,1008.0,1.36,1.8,118,0.47,9,9.636,263.6
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.614,0.06,rain,24.44,24.71,18.11,0.68,1007.1,1.39,1.74,119,0.7,6,10.883,262.1
28,2020-09-09 15:00:00,Mostly Cloudy,partly-cloudy-day,0.5764,0.06,rain,23.7,24.0,18.25,0.72,1006.3,1.36,1.65,118,0.84,4,12.025,261.2
29,2020-09-09 16:00:00,Mostly Cloudy,partly-cloudy-day,0.541,0.06,rain,22.61,23.0,18.85,0.79,1005.8,1.23,1.52,115,0.87,2,12.797,261.2
30,2020-09-09 17:00:00,Overcast,cloudy,0.4919,0.06,rain,21.54,22.06,19.62,0.89,1005.6,1.06,1.35,107,0.89,1,13.793,261.7
31,2020-09-09 18:00:00,Overcast,cloudy,0.4253,0.05,rain,20.55,21.09,19.43,0.93,1005.8,0.92,1.2,91,0.92,0,15.426,262.0
