,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.1876,0.05,rain,25.61,26.07,18.49,0.65,1010.2,0.94,1.35,86,0.33,9,16.093,268.1
1,2020-09-08 12:00:00,Clear,clear-day,0.2821,0.06,rain,26.68,27.81,18.5,0.61,1009.7,1.06,1.57,104,0.3,10,16.093,267.5
2,2020-09-08 13:00:00,Clear,clear-day,0.3742,0.07,rain,26.79,27.75,18.74,0.61,1009.1,1.09,1.7,103,0.27,9,16.093,267.1
3,2020-09-08 14:00:00,Clear,clear-day,0.4696,0.08,rain,26.08,26.39,19.0,0.65,1008.4,1.1,1.77,93,0.27,8,16.093,266.7
4,2020-09-08 15:00:00,Clear,clear-day,0.5541,0.09,rain,25.18,25.55,19.07,0.69,1007.8,1.08,1.76,78,0.31,5,15.656,266.7
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.6228,0.09,rain,24.49,24.86,18.98,0.71,1007.3,1.03,1.63,44,0.4,3,11.788,267.0
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.6676,0.09,rain,24.23,24.57,18.69,0.71,1007.0,0.96,1.46,344,0.53,1,8.204,267.4
7,2020-09-08 18:00:00,Mostly Cloudy,partly-cloudy-day,0.6825,0.09,rain,23.56,23.86,18.27,0.72,1007.2,0.92,1.35,11,0.65,0,8.243,267.7
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.6803,0.07,rain,23.01,23.32,18.25,0.75,1007.9,0.91,1.34,29,0.79,0,13.476,267.7
9,2020-09-08 20:00:00,Overcast,cloudy,0.6364,0.08,rain,22.31,22.6,18.09,0.77,1009.0,0.89,1.36,348,0.93,0,16.093,267.5
10,2020-09-08 21:00:00,Overcast,cloudy,0.5002,0.07,rain,21.66,21.93,17.75,0.78,1009.7,0.89,1.39,321,1.0,0,16.093,267.5
11,2020-09-08 22:00:00,Overcast,cloudy,0.266,0.05,rain,21.34,21.58,17.44,0.78,1010.0,0.92,1.42,318,1.0,0,16.093,267.3
12,2020-09-08 23:00:00,Overcast,cloudy,0.0884,0.03,rain,21.03,21.23,17.08,0.78,1010.1,0.94,1.46,325,1.0,0,16.093,267.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.0382,0.03,rain,20.76,20.94,16.88,0.78,1010.1,0.95,1.48,328,1.0,0,16.093,266.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0668,0.02,rain,20.62,20.82,16.94,0.79,1010.0,0.96,1.5,324,0.99,0,16.093,266.5
15,2020-09-09 02:00:00,Overcast,cloudy,0.1311,0.02,rain,20.61,20.82,17.08,0.8,1009.8,0.97,1.5,320,0.98,0,16.093,266.1
16,2020-09-09 03:00:00,Overcast,cloudy,0.1586,0.03,rain,20.58,20.82,17.27,0.81,1009.7,0.95,1.45,320,0.97,0,16.093,266.1
17,2020-09-09 04:00:00,Overcast,cloudy,0.1107,0.02,rain,20.42,20.68,17.46,0.83,1009.7,0.91,1.36,321,0.97,0,16.093,266.3
18,2020-09-09 05:00:00,Overcast,cloudy,0.0584,0.03,rain,20.16,20.45,17.55,0.85,1009.8,0.86,1.24,327,0.96,0,16.093,266.7
19,2020-09-09 06:00:00,Overcast,cloudy,0.0334,0.03,rain,20.11,20.4,17.52,0.85,1010.0,0.8,1.08,338,0.89,0,16.093,266.9
20,2020-09-09 07:00:00,Mostly Cloudy,partly-cloudy-day,0.0199,0.02,rain,20.95,21.22,17.57,0.81,1010.2,0.71,0.86,357,0.74,0,16.093,267.0
21,2020-09-09 08:00:00,Partly Cloudy,partly-cloudy-day,0.0121,0.02,rain,22.37,22.62,17.76,0.75,1010.2,0.63,0.67,18,0.57,2,16.093,267.0
22,2020-09-09 09:00:00,Partly Cloudy,partly-cloudy-day,0.0274,0.02,rain,23.77,24.01,17.82,0.69,1010.6,0.66,0.68,30,0.43,4,16.093,267.0
23,2020-09-09 10:00:00,Partly Cloudy,partly-cloudy-day,0.1118,0.04,rain,25.02,25.23,17.67,0.64,1010.3,0.88,0.97,49,0.33,7,16.093,267.0
24,2020-09-09 11:00:00,Clear,clear-day,0.2899,0.05,rain,26.59,26.92,17.59,0.58,1009.6,1.13,1.39,72,0.26,9,16.093,266.9
25,2020-09-09 12:00:00,Clear,clear-day,0.4694,0.06,rain,27.81,28.61,17.56,0.54,1008.7,1.3,1.71,88,0.31,10,16.093,266.2
26,2020-09-09 13:00:00,Partly Cloudy,partly-cloudy-day,0.5715,0.07,rain,28.27,29.0,17.6,0.52,1007.8,1.35,1.91,97,0.5,8,16.093,264.7
27,2020-09-09 14:00:00,Mostly Cloudy,partly-cloudy-day,0.6199,0.07,rain,27.89,28.68,17.65,0.54,1006.8,1.33,2.02,101,0.74,6,15.707,263.1
