,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.182,0.05,rain,29.21,32.41,22.18,0.66,1009.6,0.98,1.22,99,0.49,8,16.093,268.0
1,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.2808,0.06,rain,30.36,33.47,21.65,0.6,1009.0,1.11,1.42,120,0.44,9,16.093,267.4
2,2020-09-08 13:00:00,Partly Cloudy,partly-cloudy-day,0.3856,0.07,rain,30.54,33.95,21.96,0.6,1008.3,1.12,1.55,129,0.4,8,16.093,266.8
3,2020-09-08 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.499,0.08,rain,29.96,33.83,22.71,0.65,1007.6,1.09,1.64,128,0.37,7,16.093,266.4
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5816,0.1,rain,29.35,33.54,23.34,0.7,1007.0,1.03,1.65,120,0.39,5,15.09,266.4
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6142,0.1,rain,28.99,33.21,23.59,0.73,1006.6,0.92,1.53,107,0.46,2,12.56,266.7
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6166,0.09,rain,28.7,32.51,23.25,0.72,1006.2,0.8,1.37,74,0.56,1,10.564,267.2
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6055,0.09,rain,27.77,30.71,22.65,0.74,1006.4,0.74,1.28,57,0.67,0,10.966,267.5
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5949,0.07,rain,26.64,28.55,22.15,0.76,1007.1,0.76,1.29,48,0.8,0,14.787,267.4
9,2020-09-08 20:00:00,Overcast,cloudy,0.5538,0.07,rain,25.31,25.88,21.62,0.8,1008.1,0.81,1.35,357,0.93,0,16.093,267.4
10,2020-09-08 21:00:00,Overcast,cloudy,0.4348,0.06,rain,24.44,25.08,21.12,0.82,1008.8,0.86,1.41,323,1.0,0,16.093,267.3
11,2020-09-08 22:00:00,Overcast,cloudy,0.2344,0.05,rain,24.15,24.74,20.75,0.81,1009.1,0.9,1.47,319,1.0,0,16.093,267.1
12,2020-09-08 23:00:00,Overcast,cloudy,0.0907,0.03,rain,24.21,24.79,20.64,0.8,1009.2,0.93,1.52,329,1.0,0,16.093,267.0
13,2020-09-09 00:00:00,Overcast,cloudy,0.0558,0.02,rain,24.18,24.75,20.55,0.8,1009.3,0.95,1.55,334,1.0,0,16.093,266.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.0797,0.02,rain,23.94,24.49,20.36,0.8,1009.1,0.95,1.55,330,0.99,0,16.093,266.4
15,2020-09-09 02:00:00,Overcast,cloudy,0.1301,0.03,rain,23.49,24.0,19.95,0.81,1008.9,0.95,1.52,326,0.99,0,16.093,266.0
16,2020-09-09 03:00:00,Overcast,cloudy,0.1572,0.03,rain,22.92,23.38,19.46,0.81,1008.7,0.93,1.47,325,0.98,0,16.093,265.9
