,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.1807,0.05,rain,28.9,31.65,21.68,0.65,1010.3,0.95,1.29,244,0.19,9,16.093,267.9
1,2020-09-08 12:00:00,Clear,clear-day,0.2634,0.06,rain,29.94,32.66,21.26,0.6,1009.8,1.03,1.48,273,0.21,10,16.093,267.5
2,2020-09-08 13:00:00,Clear,clear-day,0.3764,0.07,rain,30.2,33.17,21.51,0.6,1009.1,1.11,1.67,87,0.2,9,16.093,267.2
3,2020-09-08 14:00:00,Clear,clear-day,0.5049,0.08,rain,29.8,33.09,22.05,0.63,1008.4,1.19,1.82,217,0.2,8,16.093,267.0
4,2020-09-08 15:00:00,Humid,clear-day,0.5918,0.09,rain,29.32,32.78,22.49,0.67,1007.7,1.19,1.79,244,0.24,5,16.093,267.1
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.606,0.09,rain,29.01,32.53,22.7,0.69,1007.3,1.07,1.52,193,0.34,2,16.093,267.4
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5803,0.08,rain,28.79,32.01,22.41,0.68,1007.0,0.91,1.17,64,0.47,1,15.919,267.8
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.5589,0.08,rain,27.85,30.37,21.81,0.7,1007.1,0.8,0.99,283,0.58,0,14.687,268.0
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5545,0.07,rain,26.85,28.54,21.29,0.72,1008.0,0.76,1.06,260,0.67,0,15.022,268.1
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.5446,0.07,rain,25.68,26.16,20.88,0.75,1009.1,0.75,1.2,320,0.74,0,16.093,268.0
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.4988,0.07,rain,24.8,25.35,20.56,0.77,1009.8,0.75,1.23,4,0.8,0,16.093,267.9
11,2020-09-08 22:00:00,Mostly Cloudy,partly-cloudy-night,0.4075,0.05,rain,24.36,24.88,20.21,0.78,1010.1,0.77,1.13,357,0.84,0,16.093,267.6
12,2020-09-08 23:00:00,Mostly Cloudy,partly-cloudy-night,0.3182,0.04,rain,24.22,24.73,20.15,0.78,1010.2,0.79,0.98,352,0.87,0,16.093,267.1
13,2020-09-09 00:00:00,Overcast,cloudy,0.273,0.04,rain,23.98,24.5,20.09,0.79,1010.2,0.79,0.89,349,0.91,0,16.093,266.8
14,2020-09-09 01:00:00,Overcast,cloudy,0.2805,0.04,rain,23.59,24.1,19.95,0.8,1010.1,0.76,0.87,345,0.94,0,16.093,266.4
15,2020-09-09 02:00:00,Overcast,cloudy,0.297,0.04,rain,23.05,23.53,19.64,0.81,1009.9,0.73,0.88,344,0.98,0,16.093,266.0
16,2020-09-09 03:00:00,Overcast,cloudy,0.2702,0.04,rain,22.27,22.71,19.16,0.83,1009.8,0.69,0.87,345,1.0,0,16.093,266.0
17,2020-09-09 04:00:00,Overcast,cloudy,0.1895,0.03,rain,21.65,22.07,18.91,0.84,1009.9,0.66,0.79,348,1.0,0,16.093,266.3
18,2020-09-09 05:00:00,Overcast,cloudy,0.1132,0.03,rain,21.27,21.69,18.81,0.86,1010.0,0.64,0.71,354,0.99,0,16.093,266.6
19,2020-09-09 06:00:00,Overcast,cloudy,0.0664,0.03,rain,21.37,21.81,18.95,0.86,1010.2,0.62,0.69,2,0.98,0,16.093,267.1
20,2020-09-09 07:00:00,Overcast,cloudy,0.0384,0.03,rain,22.48,22.96,19.55,0.84,1010.5,0.58,0.73,15,0.96,0,16.093,267.4
21,2020-09-09 08:00:00,Overcast,cloudy,0.0218,0.02,rain,24.37,24.89,20.44,0.79,1010.7,0.54,0.81,17,0.92,2,16.093,267.6
22,2020-09-09 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0178,0.02,rain,26.39,27.27,20.96,0.72,1010.5,0.58,0.93,346,0.85,3,16.093,267.6
