,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid,clear-day,0.2673,0.06,rain,29.42,33.95,23.69,0.71,1009.8,1.11,1.26,244,0.07,10,16.093,267.7
1,2020-09-08 12:00:00,Humid,clear-day,0.2956,0.07,rain,30.77,35.41,23.23,0.64,1009.3,1.3,1.51,250,0.12,10,16.093,267.0
2,2020-09-08 13:00:00,Humid,clear-day,0.2494,0.06,rain,31.56,36.46,23.23,0.61,1008.7,1.34,1.69,250,0.19,9,16.093,266.8
3,2020-09-08 14:00:00,Humid,clear-day,0.2162,0.06,rain,31.68,36.93,23.51,0.62,1008.0,1.3,1.85,246,0.29,7,16.093,267.0
4,2020-09-08 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2289,0.07,rain,31.22,36.85,24.0,0.66,1007.4,1.19,1.88,244,0.37,5,16.093,267.2
5,2020-09-08 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2731,0.07,rain,30.65,36.66,24.54,0.7,1006.9,0.99,1.74,248,0.42,2,16.093,267.5
6,2020-09-08 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3392,0.07,rain,29.74,35.27,24.54,0.74,1006.6,0.76,1.52,257,0.45,1,16.093,267.8
7,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3946,0.07,rain,28.78,33.38,24.17,0.76,1006.7,0.59,1.43,265,0.48,0,16.093,268.2
8,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.407,0.06,rain,27.73,31.33,23.81,0.79,1007.6,0.52,1.52,107,0.5,0,16.093,268.6
9,2020-09-08 20:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4093,0.06,rain,26.83,29.57,23.51,0.82,1008.7,0.5,1.65,76,0.52,0,16.093,269.0
10,2020-09-08 21:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4333,0.07,rain,26.08,27.8,23.04,0.83,1009.4,0.51,1.68,57,0.55,0,16.093,268.9
11,2020-09-08 22:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.5276,0.07,rain,25.69,26.42,22.75,0.84,1009.7,0.57,1.56,52,0.6,0,16.093,268.3
12,2020-09-08 23:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.7169,0.07,rain,25.53,26.35,22.75,0.85,1009.8,0.64,1.39,51,0.66,0,15.749,267.5
13,2020-09-09 00:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.8776,0.08,rain,25.35,26.17,22.77,0.86,1009.8,0.69,1.29,46,0.72,0,15.324,266.8
14,2020-09-09 01:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.8967,0.09,rain,25.01,25.82,22.58,0.86,1009.7,0.72,1.29,47,0.78,0,15.268,266.1
15,2020-09-09 02:00:00,Mostly Cloudy,partly-cloudy-night,0.8528,0.09,rain,24.5,25.27,22.15,0.87,1009.5,0.73,1.32,51,0.83,0,15.465,265.5
16,2020-09-09 03:00:00,Mostly Cloudy,partly-cloudy-night,0.8037,0.08,rain,23.79,24.51,21.59,0.88,1009.4,0.74,1.31,50,0.87,0,16.041,265.4
17,2020-09-09 04:00:00,Overcast,cloudy,0.7533,0.09,rain,23.16,23.86,21.23,0.89,1009.5,0.75,1.26,44,0.88,0,16.093,265.9
18,2020-09-09 05:00:00,Overcast,cloudy,0.6817,0.1,rain,22.63,23.31,20.99,0.9,1009.5,0.74,1.2,37,0.9,0,16.093,266.7
19,2020-09-09 06:00:00,Overcast,cloudy,0.5859,0.1,rain,22.58,23.28,21.08,0.91,1009.8,0.68,1.12,39,0.91,0,16.093,267.3
20,2020-09-09 07:00:00,Overcast,cloudy,0.4549,0.08,rain,23.46,24.17,21.62,0.89,1010.2,0.53,0.99,54,0.91,0,16.093,267.8
21,2020-09-09 08:00:00,Humid and Overcast,cloudy,0.3333,0.06,rain,25.07,26.1,22.48,0.86,1010.6,0.37,0.86,127,0.89,2,16.093,268.0
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2625,0.05,rain,26.75,29.17,23.06,0.8,1010.6,0.37,0.9,186,0.85,4,16.093,267.8
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2333,0.05,rain,28.42,31.96,23.11,0.73,1010.1,0.59,1.14,179,0.75,5,16.093,266.9
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2295,0.05,rain,30.2,34.12,22.67,0.64,1009.4,0.87,1.46,194,0.64,7,16.093,265.7
25,2020-09-09 12:00:00,Partly Cloudy,partly-cloudy-day,0.2618,0.05,rain,31.5,35.14,21.96,0.57,1008.6,1.1,1.74,213,0.58,8,16.093,264.4
26,2020-09-09 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3754,0.06,rain,32.38,36.58,22.33,0.55,1007.7,1.29,1.97,217,0.57,7,14.374,263.2
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.569,0.07,rain,32.55,37.63,23.12,0.58,1006.7,1.43,2.15,213,0.6,6,9.688,262.1
28,2020-09-09 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6983,0.09,rain,32.33,38.28,23.93,0.61,1005.9,1.44,2.15,207,0.65,4,8.75,261.8
29,2020-09-09 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6722,0.08,rain,31.8,38.36,24.58,0.66,1005.4,1.28,1.89,204,0.7,2,13.279,262.4
30,2020-09-09 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5713,0.08,rain,31.0,37.39,24.72,0.69,1005.1,1.04,1.55,197,0.77,1,16.093,263.5
31,2020-09-09 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4499,0.08,rain,29.75,35.38,24.63,0.74,1005.2,0.87,1.35,184,0.84,0,16.093,263.9
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.3136,0.07,rain,28.57,33.48,24.68,0.8,1006.1,0.75,1.37,178,0.9,0,16.093,263.7
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.1944,0.06,rain,27.34,31.13,24.64,0.85,1007.1,0.67,1.46,272,0.97,0,16.093,263.3
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.1279,0.05,rain,26.37,28.84,24.08,0.87,1007.8,0.65,1.5,348,1.0,0,16.093,262.8
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.1004,0.05,rain,25.83,27.41,23.54,0.87,1007.8,0.7,1.46,90,1.0,0,16.093,262.1
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.0846,0.06,rain,25.61,26.43,23.25,0.87,1007.6,0.78,1.42,49,1.0,0,16.093,261.4
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.0586,0.05,rain,25.37,26.23,23.03,0.87,1007.3,0.83,1.41,32,0.98,0,16.093,261.1
38,2020-09-10 01:00:00,Humid and Overcast,cloudy,0.0229,0.05,rain,25.07,25.9,22.71,0.87,1006.8,0.85,1.46,32,0.94,0,16.093,261.2
39,2020-09-10 02:00:00,Overcast,cloudy,0.0044,0.04,rain,24.66,25.43,22.2,0.86,1006.1,0.87,1.53,39,0.89,0,16.093,261.5
