,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Clear,clear-day,0.2004,0.06,rain,26.45,27.09,19.72,0.67,1010.0,1.01,1.24,234,0.1,10,16.093,267.9
1,2020-09-08 12:00:00,Clear,clear-day,0.2387,0.06,rain,27.56,29.09,19.68,0.62,1009.5,1.14,1.43,242,0.15,11,16.093,267.3
2,2020-09-08 13:00:00,Clear,clear-day,0.2612,0.06,rain,28.0,29.62,19.9,0.61,1008.9,1.2,1.6,229,0.22,10,16.093,267.1
3,2020-09-08 14:00:00,Clear,clear-day,0.3069,0.07,rain,27.78,29.46,20.11,0.63,1008.2,1.2,1.77,229,0.3,7,16.093,267.2
4,2020-09-08 15:00:00,Partly Cloudy,partly-cloudy-day,0.3645,0.08,rain,27.04,28.62,20.16,0.66,1007.5,1.13,1.8,235,0.37,5,16.093,267.4
5,2020-09-08 16:00:00,Partly Cloudy,partly-cloudy-day,0.4077,0.08,rain,26.44,27.72,20.25,0.69,1007.0,0.98,1.62,230,0.42,2,16.093,267.7
6,2020-09-08 17:00:00,Partly Cloudy,partly-cloudy-day,0.4433,0.07,rain,25.78,26.19,20.08,0.71,1006.7,0.79,1.37,248,0.47,1,16.093,268.0
7,2020-09-08 18:00:00,Partly Cloudy,partly-cloudy-day,0.4789,0.07,rain,25.0,25.44,19.68,0.72,1006.9,0.64,1.24,249,0.53,0,16.093,268.3
8,2020-09-08 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5109,0.06,rain,24.29,24.74,19.59,0.75,1007.7,0.55,1.28,184,0.6,0,14.94,268.5
9,2020-09-08 20:00:00,Mostly Cloudy,partly-cloudy-night,0.5354,0.07,rain,23.52,23.94,19.27,0.77,1008.8,0.49,1.37,46,0.67,0,14.291,268.7
10,2020-09-08 21:00:00,Mostly Cloudy,partly-cloudy-night,0.5454,0.07,rain,22.85,23.24,18.88,0.78,1009.5,0.48,1.38,23,0.73,0,14.623,268.6
