,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-08 11:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1017,0.09,rain,27.76,34.78,27.14,0.96,1009.2,1.66,2.07,173,0.43,8,14.56,266.3
1,2020-09-08 12:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.2182,0.12,rain,28.43,36.38,27.38,0.94,1008.8,1.82,2.25,183,0.44,9,11.303,265.8
2,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4005,0.18,rain,28.4,36.54,27.53,0.95,1008.2,1.8,2.32,184,0.53,8,10.178,266.8
3,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6366,0.21,rain,28.02,36.03,27.73,0.98,1007.4,1.68,2.3,180,0.65,6,10.013,268.3
4,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7932,0.22,rain,27.5,35.24,27.5,1.0,1006.8,1.51,2.12,176,0.74,4,10.257,269.2
5,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7991,0.22,rain,27.21,34.92,27.21,1.0,1006.5,1.25,1.73,174,0.78,2,10.86,269.4
6,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7299,0.23,rain,26.64,32.64,26.64,1.0,1006.3,0.98,1.27,170,0.81,1,11.917,269.2
7,2020-09-08 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6312,0.24,rain,26.25,29.56,26.25,1.0,1006.6,0.83,1.0,149,0.85,0,13.179,268.7
8,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.5097,0.22,rain,25.66,27.52,25.66,1.0,1007.3,0.85,1.03,113,0.91,0,14.639,268.1
9,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.3947,0.17,rain,25.12,26.4,25.12,1.0,1008.2,0.94,1.17,79,0.97,0,16.093,267.2
10,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.3151,0.13,rain,24.73,25.96,24.73,1.0,1008.8,1.01,1.33,58,1.0,0,16.093,266.4
11,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.2423,0.1,rain,24.46,25.6,24.46,1.0,1008.9,1.06,1.51,52,1.0,0,16.093,265.3
12,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.1724,0.09,rain,24.26,25.34,24.23,1.0,1008.8,1.1,1.7,53,1.0,0,16.093,264.4
13,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.1052,0.08,rain,24.1,25.16,24.0,0.99,1008.7,1.12,1.8,53,1.0,0,16.093,263.8
14,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.0427,0.08,rain,23.89,24.93,23.78,0.99,1008.2,1.1,1.78,51,1.0,0,16.093,263.7
15,2020-09-09 02:00:00,Humid and Overcast,cloudy,0.011,0.07,rain,23.7,24.73,23.63,1.0,1007.5,1.08,1.71,50,1.0,0,16.093,263.9
16,2020-09-09 03:00:00,Humid and Overcast,cloudy,0.008,0.05,rain,23.63,24.67,23.63,1.0,1007.4,1.06,1.65,50,1.0,0,16.093,264.2
17,2020-09-09 04:00:00,Humid and Overcast,cloudy,0.0046,0.04,rain,23.42,24.48,23.42,1.0,1007.3,1.06,1.63,49,0.99,0,16.093,264.7
18,2020-09-09 05:00:00,Humid and Overcast,cloudy,0.0,0.0,,23.18,24.28,23.18,1.0,1007.5,1.05,1.6,51,0.97,0,16.093,265.4
19,2020-09-09 06:00:00,Humid and Overcast,cloudy,0.0,0.0,,23.19,24.33,23.19,1.0,1007.7,1.01,1.49,67,0.95,0,16.093,265.5
20,2020-09-09 07:00:00,Humid and Overcast,cloudy,0.0,0.0,,23.94,25.08,23.94,1.0,1008.2,0.89,1.23,94,0.93,1,16.093,265.3
21,2020-09-09 08:00:00,Humid and Overcast,cloudy,0.0044,0.01,rain,25.23,26.74,25.23,1.0,1008.7,0.78,0.98,114,0.9,2,16.093,264.9
22,2020-09-09 09:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0238,0.07,rain,26.61,30.22,26.03,0.97,1009.0,0.89,1.06,137,0.86,4,16.093,264.3
23,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1001,0.09,rain,27.87,33.91,26.28,0.91,1009.1,1.35,1.61,181,0.78,6,16.093,263.9
24,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.251,0.1,rain,29.33,36.53,26.25,0.84,1008.5,1.91,2.34,200,0.7,7,16.093,263.4
25,2020-09-09 12:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.3981,0.11,rain,30.39,38.4,26.21,0.78,1007.8,2.23,2.92,201,0.69,7,16.093,262.8
26,2020-09-09 13:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4784,0.12,rain,30.76,39.1,26.26,0.77,1006.9,2.23,3.35,194,0.77,6,16.093,261.7
27,2020-09-09 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5139,0.15,rain,30.4,38.68,26.4,0.79,1006.0,2.07,3.66,198,0.87,5,16.093,260.7
28,2020-09-09 15:00:00,Humid and Overcast,cloudy,0.4916,0.16,rain,29.6,37.56,26.62,0.84,1005.3,1.87,3.68,215,0.94,4,16.093,260.2
29,2020-09-09 16:00:00,Humid and Overcast,cloudy,0.3867,0.16,rain,28.73,36.5,27.05,0.91,1004.8,1.61,3.32,207,0.95,2,16.093,260.3
30,2020-09-09 17:00:00,Humid and Overcast,cloudy,0.2663,0.14,rain,28.02,35.21,27.13,0.95,1004.5,1.31,2.74,191,0.94,1,16.093,260.7
31,2020-09-09 18:00:00,Humid and Overcast,cloudy,0.2013,0.13,rain,27.35,33.74,27.02,0.98,1004.6,1.08,2.17,152,0.95,0,16.093,260.8
32,2020-09-09 19:00:00,Humid and Overcast,cloudy,0.1928,0.13,rain,26.48,30.87,26.4,1.0,1005.4,0.92,1.57,106,0.97,0,16.093,260.6
33,2020-09-09 20:00:00,Humid and Overcast,cloudy,0.2094,0.13,rain,25.69,27.4,25.69,1.0,1006.4,0.81,1.02,72,0.99,0,16.093,260.2
34,2020-09-09 21:00:00,Humid and Overcast,cloudy,0.2349,0.13,rain,25.12,26.22,25.05,1.0,1007.0,0.73,0.8,57,1.0,0,16.093,259.5
35,2020-09-09 22:00:00,Humid and Overcast,cloudy,0.28,0.15,rain,24.71,25.81,24.42,0.98,1006.9,0.71,0.76,49,1.0,0,16.093,258.0
36,2020-09-09 23:00:00,Humid and Overcast,cloudy,0.3537,0.17,rain,24.44,25.48,23.96,0.97,1006.6,0.73,0.84,34,1.0,0,16.093,256.4
37,2020-09-10 00:00:00,Humid and Overcast,cloudy,0.4093,0.19,rain,24.25,25.25,23.64,0.96,1006.2,0.75,0.97,23,1.0,0,15.956,255.6
