,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.1,0.02,rain,32.09,36.17,22.27,0.56,1008.1,1.32,1.61,205,0.19,10,16.093,266.6
1,2020-09-05 13:00:00,Humid,clear-day,0.2409,0.04,rain,32.48,38.48,23.92,0.61,1007.1,1.44,1.88,214,0.29,9,16.093,266.4
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5035,0.07,rain,31.95,40.4,25.89,0.7,1005.9,1.5,2.1,205,0.39,7,16.093,266.4
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7252,0.08,rain,31.35,42.31,27.6,0.81,1005.2,1.47,2.17,201,0.44,5,16.093,266.1
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7568,0.08,rain,31.02,44.95,29.29,0.91,1004.8,1.34,2.04,206,0.42,3,16.093,265.6
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.698,0.09,rain,30.37,45.14,30.0,0.98,1004.6,1.17,1.81,208,0.37,1,16.081,265.1
6,2020-09-05 18:00:00,Humid,clear-day,0.6725,0.1,rain,29.12,42.41,29.12,1.0,1004.9,0.99,1.55,186,0.31,0,15.262,265.0
7,2020-09-05 19:00:00,Humid,clear-night,0.7358,0.12,rain,27.69,37.72,27.69,1.0,1005.8,0.79,1.23,132,0.23,0,16.093,265.6
8,2020-09-05 20:00:00,Humid,clear-night,0.819,0.14,rain,26.11,29.43,26.11,1.0,1006.9,0.6,0.93,56,0.14,0,16.093,266.4
9,2020-09-05 21:00:00,Humid,clear-night,0.7999,0.14,rain,24.92,24.91,24.92,1.0,1007.6,0.51,0.82,0,0.09,0,16.093,266.7
10,2020-09-05 22:00:00,Humid,clear-night,0.6397,0.13,rain,24.41,26.12,24.41,1.0,1007.8,0.55,1.01,357,0.07,0,16.093,266.7
