,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.0273,0.01,rain,28.46,29.75,18.94,0.56,1008.6,1.38,1.65,213,0.17,11,16.093,266.3
1,2020-09-05 13:00:00,Partly Cloudy,partly-cloudy-day,0.1197,0.04,rain,29.29,31.27,20.29,0.58,1007.3,1.52,1.89,219,0.31,9,16.093,266.0
2,2020-09-05 14:00:00,Partly Cloudy,partly-cloudy-day,0.3232,0.06,rain,29.1,31.91,21.69,0.64,1006.2,1.6,2.06,211,0.47,7,16.093,265.8
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5206,0.07,rain,28.29,31.72,23.05,0.73,1005.4,1.58,2.08,205,0.55,5,16.093,265.5
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5923,0.08,rain,27.51,31.51,24.52,0.84,1005.0,1.44,1.93,206,0.53,3,16.093,265.1
5,2020-09-05 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5881,0.08,rain,26.69,30.62,25.75,0.95,1004.8,1.23,1.69,204,0.45,1,16.093,264.8
6,2020-09-05 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.5637,0.09,rain,25.41,27.04,25.41,1.0,1005.2,1.03,1.46,192,0.37,0,16.093,264.8
7,2020-09-05 19:00:00,Humid,clear-night,0.5661,0.1,rain,24.01,25.48,24.01,1.0,1006.1,0.81,1.25,168,0.26,0,16.093,265.3
8,2020-09-05 20:00:00,Humid,clear-night,0.5901,0.13,rain,22.57,24.23,22.57,1.0,1007.3,0.59,1.07,152,0.15,0,16.093,266.0
9,2020-09-05 21:00:00,Clear,clear-night,0.559,0.14,rain,21.3,22.88,21.3,1.0,1008.1,0.47,1.0,155,0.08,0,16.093,266.3
10,2020-09-05 22:00:00,Clear,clear-night,0.4289,0.12,rain,20.72,22.17,20.72,1.0,1008.2,0.51,1.08,71,0.07,0,16.093,266.0
