,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.2452,0.06,rain,31.9,39.08,25.02,0.67,1006.5,1.48,2.36,117,0.13,11,16.093,269.1
1,2020-09-05 13:00:00,Humid,clear-day,0.4454,0.08,rain,32.29,40.59,25.67,0.68,1005.5,1.52,2.38,189,0.17,10,13.895,269.6
2,2020-09-05 14:00:00,Humid,clear-day,0.7775,0.11,rain,32.17,41.72,26.51,0.72,1004.5,1.47,2.26,250,0.22,8,11.417,270.2
3,2020-09-05 15:00:00,Humid,clear-day,1.0131,0.13,rain,31.85,42.4,27.2,0.76,1003.7,1.38,2.14,250,0.24,5,11.595,270.7
4,2020-09-05 16:00:00,Humid,clear-day,0.9805,0.14,rain,31.38,42.49,27.69,0.81,1003.2,1.25,2.03,170,0.23,3,15.531,270.9
5,2020-09-05 17:00:00,Humid,clear-day,0.8243,0.13,rain,30.61,41.0,27.63,0.84,1002.8,1.08,1.91,32,0.2,1,16.093,270.9
6,2020-09-05 18:00:00,Humid,clear-day,0.5913,0.11,rain,29.55,38.84,27.55,0.89,1002.9,1.02,1.84,310,0.17,0,16.093,270.7
7,2020-09-05 19:00:00,Humid,clear-night,0.2713,0.08,rain,28.37,36.16,27.29,0.94,1003.5,1.14,1.85,321,0.12,0,16.093,270.2
8,2020-09-05 20:00:00,Humid,clear-night,0.0681,0.06,rain,26.97,32.33,26.78,0.99,1004.4,1.32,1.89,353,0.06,0,16.093,269.5
9,2020-09-05 21:00:00,Humid,clear-night,0.0366,0.03,rain,26.12,28.86,26.12,1.0,1004.9,1.42,1.89,11,0.03,0,16.093,268.7
10,2020-09-05 22:00:00,Humid,clear-night,0.0697,0.04,rain,25.77,27.71,25.77,1.0,1005.1,1.39,1.82,12,0.02,0,16.093,267.4
11,2020-09-05 23:00:00,Humid,clear-night,0.1643,0.06,rain,25.57,27.04,25.57,1.0,1005.1,1.33,1.74,10,0.02,0,16.093,266.1
12,2020-09-06 00:00:00,Humid,clear-night,0.2142,0.06,rain,25.31,26.44,25.05,0.98,1005.0,1.35,1.69,11,0.05,0,16.093,265.3
13,2020-09-06 01:00:00,Humid,clear-night,0.1317,0.04,rain,24.79,25.87,24.38,0.98,1004.8,1.48,1.66,15,0.16,0,16.093,265.3
14,2020-09-06 02:00:00,Humid,clear-night,0.0525,0.03,rain,24.17,25.18,23.69,0.97,1004.6,1.63,1.67,20,0.28,0,16.093,265.6
15,2020-09-06 03:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.0379,0.02,rain,23.72,24.68,23.23,0.97,1004.5,1.7,1.74,23,0.34,0,16.093,265.7
16,2020-09-06 04:00:00,Humid,clear-night,0.04,0.01,rain,23.19,24.08,22.61,0.97,1004.4,1.71,1.75,23,0.3,0,16.093,265.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0382,0.02,rain,22.81,23.66,22.15,0.96,1004.5,1.67,1.75,23,0.24,0,16.093,265.8
18,2020-09-06 06:00:00,Clear,clear-day,0.0369,0.02,rain,22.98,23.82,22.22,0.96,1004.8,1.54,1.63,30,0.21,0,16.093,265.9
19,2020-09-06 07:00:00,Humid,clear-day,0.0573,0.03,rain,23.77,24.55,22.24,0.91,1005.4,1.28,1.31,43,0.22,0,16.093,266.3
20,2020-09-06 08:00:00,Humid,clear-day,0.1248,0.03,rain,25.2,26.26,22.87,0.87,1006.2,1.0,1.03,55,0.26,2,16.093,266.6
21,2020-09-06 09:00:00,Humid,clear-day,0.1694,0.05,rain,26.36,28.64,23.57,0.85,1006.6,0.89,0.91,58,0.27,4,16.093,266.4
22,2020-09-06 10:00:00,Humid,clear-day,0.1468,0.05,rain,27.08,30.24,23.97,0.83,1006.6,1.03,1.13,65,0.24,7,16.093,265.5
23,2020-09-06 11:00:00,Humid,clear-day,0.1637,0.06,rain,28.01,32.32,24.49,0.81,1006.3,1.24,1.73,69,0.21,9,16.093,264.5
24,2020-09-06 12:00:00,Humid,clear-day,0.2372,0.08,rain,29.17,35.06,25.23,0.79,1005.8,1.33,2.21,34,0.24,10,16.093,263.7
25,2020-09-06 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3033,0.08,rain,30.7,38.52,25.93,0.76,1004.9,1.24,2.5,27,0.33,9,16.093,263.3
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3621,0.09,rain,31.78,41.08,26.48,0.74,1003.9,1.1,2.67,79,0.45,7,16.018,263.2
27,2020-09-06 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4389,0.1,rain,32.3,42.83,27.04,0.74,1003.3,0.98,2.63,146,0.53,5,15.045,263.3
28,2020-09-06 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.58,0.11,rain,31.91,43.07,27.51,0.78,1003.0,0.87,2.27,124,0.55,3,16.093,263.7
29,2020-09-06 17:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7196,0.11,rain,30.87,41.23,27.5,0.82,1002.9,0.78,1.8,97,0.54,1,16.093,264.3
30,2020-09-06 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6621,0.11,rain,29.35,37.99,27.23,0.88,1003.2,0.85,1.6,83,0.47,0,16.093,264.7
31,2020-09-06 19:00:00,Humid,clear-night,0.3578,0.1,rain,27.91,34.42,26.85,0.94,1004.1,1.1,1.76,41,0.3,0,16.093,264.8
32,2020-09-06 20:00:00,Humid,clear-night,0.1048,0.08,rain,26.37,29.62,26.32,1.0,1005.1,1.41,2.03,22,0.11,0,16.093,264.8
33,2020-09-06 21:00:00,Humid,clear-night,0.0278,0.04,rain,25.62,27.24,25.62,1.0,1005.9,1.6,2.16,15,0.0,0,16.093,264.6
34,2020-09-06 22:00:00,Humid,clear-night,0.0137,0.03,rain,25.38,26.57,25.38,1.0,1006.3,1.6,2.09,15,0.0,0,16.093,264.0
35,2020-09-06 23:00:00,Humid,clear-night,0.0103,0.03,rain,25.36,26.55,25.23,0.99,1006.1,1.53,1.96,19,0.02,0,16.093,263.4
36,2020-09-07 00:00:00,Humid,clear-night,0.0096,0.02,rain,25.2,26.32,24.73,0.97,1005.9,1.5,1.87,25,0.04,0,16.093,263.0
37,2020-09-07 01:00:00,Humid,clear-night,0.0,0.0,,24.84,25.88,24.1,0.96,1005.4,1.51,1.87,31,0.02,0,16.093,263.1
38,2020-09-07 02:00:00,Humid,clear-night,0.0,0.0,,24.35,25.31,23.44,0.95,1004.6,1.53,1.87,39,0.01,0,16.093,263.3
39,2020-09-07 03:00:00,Humid,clear-night,0.0,0.0,,23.99,24.91,23.01,0.94,1004.7,1.55,1.87,42,0.0,0,16.093,263.6
40,2020-09-07 04:00:00,Humid,clear-night,0.0065,0.01,rain,23.54,24.38,22.37,0.93,1005.2,1.56,1.89,37,0.01,0,16.093,264.0
