,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Humid,clear-day,0.4699,0.06,rain,26.53,29.42,24.46,0.88,1007.3,1.28,2.08,234,0.18,11,13.817,266.5
1,2020-09-05 13:00:00,Humid,clear-day,0.5957,0.07,rain,26.82,30.83,25.26,0.91,1006.4,1.29,2.12,236,0.23,10,14.928,267.2
2,2020-09-05 14:00:00,Humid,clear-day,0.8077,0.09,rain,26.64,30.76,25.84,0.95,1005.4,1.22,2.01,241,0.29,8,16.093,268.2
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9991,0.1,rain,26.32,29.53,26.32,1.0,1004.7,1.13,1.89,233,0.33,5,16.093,268.9
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0373,0.13,rain,25.94,28.45,25.94,1.0,1004.2,1.0,1.77,211,0.33,3,16.093,269.2
5,2020-09-05 17:00:00,Humid,clear-day,0.9699,0.14,rain,25.14,25.95,25.14,1.0,1004.0,0.88,1.63,344,0.31,1,16.093,269.3
6,2020-09-05 18:00:00,Humid,clear-day,0.7985,0.14,rain,24.18,26.0,24.18,1.0,1004.2,0.83,1.5,320,0.26,0,16.093,269.1
7,2020-09-05 19:00:00,Humid,clear-night,0.5467,0.12,rain,23.29,24.9,23.29,1.0,1004.9,0.87,1.4,28,0.17,0,16.093,268.9
8,2020-09-05 20:00:00,Humid,clear-night,0.3868,0.09,rain,22.4,23.84,22.4,1.0,1005.8,0.95,1.31,17,0.06,0,16.093,268.4
9,2020-09-05 21:00:00,Clear,clear-night,0.2938,0.07,rain,21.73,22.99,21.73,1.0,1006.4,1.02,1.26,8,0.0,0,16.093,267.6
10,2020-09-05 22:00:00,Clear,clear-night,0.1302,0.06,rain,21.23,22.3,21.23,1.0,1006.7,1.08,1.27,8,0.0,0,16.093,266.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0171,0.03,rain,20.78,21.67,20.78,1.0,1007.1,1.14,1.31,15,0.0,0,16.093,264.9
12,2020-09-06 00:00:00,Clear,clear-night,0.0,0.0,,20.32,21.07,20.32,1.0,1006.9,1.19,1.35,19,0.02,0,16.093,263.9
13,2020-09-06 01:00:00,Clear,clear-night,0.0112,0.01,rain,19.73,20.37,19.72,1.0,1006.9,1.23,1.37,18,0.06,0,16.093,263.7
14,2020-09-06 02:00:00,Clear,clear-night,0.0215,0.02,rain,19.46,20.02,19.19,0.98,1006.7,1.27,1.4,17,0.1,0,16.093,263.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0296,0.02,rain,19.29,19.81,18.82,0.97,1006.5,1.31,1.44,17,0.12,0,16.093,263.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0354,0.02,rain,19.05,19.53,18.51,0.97,1006.4,1.37,1.48,18,0.11,0,16.093,264.3
17,2020-09-06 05:00:00,Clear,clear-night,0.0548,0.01,rain,18.84,19.32,18.4,0.97,1006.3,1.41,1.49,21,0.09,0,16.093,264.7
18,2020-09-06 06:00:00,Clear,clear-day,0.0663,0.01,rain,18.95,19.41,18.33,0.96,1006.4,1.31,1.35,27,0.08,0,16.093,265.1
19,2020-09-06 07:00:00,Clear,clear-day,0.0504,0.02,rain,20.0,20.45,18.6,0.92,1007.1,1.0,1.0,36,0.08,0,16.093,265.3
20,2020-09-06 08:00:00,Clear,clear-day,0.0393,0.02,rain,21.66,22.16,19.45,0.87,1007.8,0.65,0.65,44,0.08,2,16.093,265.5
21,2020-09-06 09:00:00,Clear,clear-day,0.0624,0.03,rain,23.1,23.66,20.21,0.84,1008.0,0.56,0.56,44,0.09,5,15.835,265.1
22,2020-09-06 10:00:00,Clear,clear-day,0.1481,0.04,rain,24.44,25.03,21.08,0.82,1007.4,0.82,0.86,110,0.1,8,16.093,264.1
23,2020-09-06 11:00:00,Clear,clear-day,0.305,0.05,rain,25.84,26.87,22.06,0.8,1006.9,1.19,1.49,173,0.11,10,16.093,262.8
