,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Partly Cloudy,partly-cloudy-day,0.4316,0.06,rain,27.31,29.49,21.49,0.71,1008.0,1.2,2.03,173,0.36,10,10.559,262.7
1,2020-09-05 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6299,0.07,rain,28.39,31.47,22.44,0.7,1007.0,1.1,1.75,172,0.38,9,10.566,263.6
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.8076,0.07,rain,28.72,32.44,23.14,0.72,1006.0,0.92,1.34,163,0.38,7,11.846,264.7
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.913,0.08,rain,27.99,31.73,23.72,0.78,1005.4,0.81,1.13,148,0.42,5,13.046,265.4
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.9151,0.08,rain,27.03,30.36,24.6,0.87,1005.0,0.79,1.19,125,0.52,3,13.888,265.3
5,2020-09-05 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.838,0.08,rain,25.49,27.12,24.83,0.96,1005.0,0.79,1.32,2,0.61,1,14.983,265.1
6,2020-09-05 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6918,0.09,rain,24.06,25.06,23.94,0.99,1005.3,0.8,1.33,227,0.6,0,16.093,265.2
7,2020-09-05 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.4771,0.08,rain,22.56,23.43,22.23,0.98,1006.2,0.8,1.13,317,0.44,0,16.093,266.0
8,2020-09-05 20:00:00,Clear,clear-night,0.2701,0.06,rain,21.21,21.8,19.99,0.93,1007.3,0.82,0.9,358,0.24,0,16.093,266.7
9,2020-09-05 21:00:00,Clear,clear-night,0.144,0.06,rain,20.23,20.63,18.35,0.89,1008.1,0.86,0.86,337,0.12,0,16.093,266.5
10,2020-09-05 22:00:00,Clear,clear-night,0.0754,0.04,rain,19.76,20.05,17.49,0.87,1008.5,0.93,1.02,332,0.1,0,16.093,264.7
11,2020-09-05 23:00:00,Clear,clear-night,0.0352,0.03,rain,19.51,19.75,17.0,0.85,1009.0,1.0,1.3,335,0.12,0,16.093,262.5
12,2020-09-06 00:00:00,Clear,clear-night,0.0182,0.02,rain,19.29,19.48,16.58,0.84,1008.9,1.06,1.52,336,0.13,0,16.093,261.3
13,2020-09-06 01:00:00,Clear,clear-night,0.0141,0.02,rain,19.03,19.19,16.29,0.84,1008.5,1.09,1.66,333,0.13,0,16.093,261.3
14,2020-09-06 02:00:00,Clear,clear-night,0.0171,0.03,rain,18.82,18.99,16.33,0.85,1008.3,1.12,1.78,331,0.13,0,16.093,261.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0179,0.02,rain,18.72,18.85,16.06,0.85,1008.2,1.15,1.86,331,0.13,0,16.093,262.4
16,2020-09-06 04:00:00,Clear,clear-night,0.0143,0.02,rain,18.39,18.44,15.36,0.83,1008.0,1.2,1.93,330,0.13,0,16.093,263.1
17,2020-09-06 05:00:00,Clear,clear-night,0.0106,0.02,rain,18.12,18.11,14.86,0.81,1007.9,1.23,1.93,333,0.13,0,16.093,263.9
18,2020-09-06 06:00:00,Clear,clear-day,0.007,0.01,rain,18.1,18.1,14.79,0.81,1008.0,1.17,1.74,348,0.11,0,16.093,264.4
