,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.4143,0.06,rain,24.7,25.03,18.6,0.69,1007.8,1.11,1.88,180,0.27,10,10.833,264.3
1,2020-09-05 13:00:00,Clear,clear-day,0.6622,0.08,rain,25.21,25.63,19.48,0.71,1006.7,1.08,1.78,186,0.29,10,9.921,265.1
2,2020-09-05 14:00:00,Clear,clear-day,0.9288,0.08,rain,25.01,25.53,20.28,0.75,1005.7,1.0,1.54,183,0.29,8,10.157,266.1
3,2020-09-05 15:00:00,Partly Cloudy,partly-cloudy-day,1.0886,0.08,rain,24.11,24.77,21.19,0.84,1005.0,0.92,1.39,177,0.31,5,11.083,266.7
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,1.0761,0.08,rain,22.96,23.85,22.48,0.97,1004.7,0.85,1.37,181,0.38,3,12.748,266.6
5,2020-09-05 17:00:00,Partly Cloudy,partly-cloudy-day,0.9742,0.09,rain,21.65,22.77,21.65,1.0,1004.7,0.77,1.38,277,0.43,1,15.027,266.3
6,2020-09-05 18:00:00,Partly Cloudy,partly-cloudy-day,0.7992,0.1,rain,20.46,21.61,20.46,1.0,1005.0,0.74,1.34,226,0.42,0,16.093,266.3
7,2020-09-05 19:00:00,Clear,clear-night,0.5272,0.09,rain,19.25,20.27,19.25,1.0,1005.8,0.76,1.22,179,0.3,0,16.093,266.8
8,2020-09-05 20:00:00,Clear,clear-night,0.279,0.08,rain,18.42,19.2,18.42,1.0,1006.9,0.81,1.1,2,0.14,0,16.093,267.2
9,2020-09-05 21:00:00,Clear,clear-night,0.1502,0.06,rain,17.92,18.48,17.92,1.0,1007.7,0.86,1.08,323,0.05,0,16.093,266.9
10,2020-09-05 22:00:00,Clear,clear-night,0.0944,0.05,rain,17.43,17.82,17.3,0.99,1008.3,0.92,1.19,318,0.05,0,16.093,265.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0664,0.03,rain,16.94,17.18,16.16,0.95,1008.5,0.99,1.36,328,0.06,0,16.093,263.3
12,2020-09-06 00:00:00,Clear,clear-night,0.0541,0.03,rain,16.59,16.74,15.5,0.93,1008.4,1.04,1.5,334,0.08,0,16.093,262.3
13,2020-09-06 01:00:00,Clear,clear-night,0.0533,0.03,rain,16.39,16.52,15.32,0.93,1008.3,1.07,1.58,332,0.09,0,16.093,262.3
14,2020-09-06 02:00:00,Clear,clear-night,0.0596,0.04,rain,16.37,16.5,15.35,0.94,1008.1,1.1,1.65,330,0.1,0,16.093,262.8
15,2020-09-06 03:00:00,Clear,clear-night,0.0522,0.03,rain,16.56,16.68,15.28,0.92,1007.9,1.11,1.69,330,0.11,0,16.093,263.3
16,2020-09-06 04:00:00,Clear,clear-night,0.0256,0.02,rain,16.6,16.67,14.95,0.9,1007.7,1.13,1.72,331,0.12,0,16.093,263.7
17,2020-09-06 05:00:00,Clear,clear-night,0.0073,0.01,rain,16.5,16.51,14.57,0.88,1007.1,1.13,1.71,335,0.13,0,16.093,264.2
18,2020-09-06 06:00:00,Clear,clear-day,0.0,0.0,,16.69,16.68,14.38,0.86,1007.0,1.04,1.53,345,0.13,0,16.093,264.6
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.7,17.7,14.7,0.83,1007.5,0.82,1.08,0,0.09,1,16.093,264.8
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,19.11,19.11,15.13,0.78,1008.4,0.58,0.63,0,0.04,2,16.093,264.8
21,2020-09-06 09:00:00,Clear,clear-day,0.0151,0.01,rain,20.58,20.61,15.67,0.73,1009.0,0.54,0.58,1,0.02,5,16.093,264.3
22,2020-09-06 10:00:00,Clear,clear-day,0.0687,0.03,rain,22.05,22.16,16.55,0.71,1008.6,0.78,0.87,98,0.03,8,16.093,263.0
23,2020-09-06 11:00:00,Clear,clear-day,0.2024,0.05,rain,23.61,23.83,17.58,0.69,1007.4,1.11,1.45,144,0.05,11,16.093,261.6
24,2020-09-06 12:00:00,Clear,clear-day,0.3797,0.07,rain,24.91,25.23,18.55,0.68,1006.7,1.29,1.8,169,0.12,11,15.16,260.7
25,2020-09-06 13:00:00,Clear,clear-day,0.5658,0.07,rain,25.32,25.7,19.09,0.68,1005.6,1.27,1.83,169,0.24,10,15.699,260.3
26,2020-09-06 14:00:00,Partly Cloudy,partly-cloudy-day,0.7514,0.07,rain,25.03,25.46,19.53,0.72,1004.8,1.18,1.73,159,0.38,8,16.093,260.2
27,2020-09-06 15:00:00,Partly Cloudy,partly-cloudy-day,0.8895,0.08,rain,24.21,24.71,20.04,0.78,1004.2,1.09,1.64,150,0.49,5,16.093,260.5
28,2020-09-06 16:00:00,Partly Cloudy,partly-cloudy-day,0.954,0.08,rain,23.25,23.89,20.85,0.86,1004.2,1.02,1.56,155,0.57,3,13.946,261.1
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.9474,0.09,rain,22.23,23.0,21.42,0.95,1004.4,0.95,1.46,228,0.62,1,10.982,261.8
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.8628,0.09,rain,21.09,21.87,21.08,1.0,1005.0,0.89,1.37,205,0.6,0,10.875,262.1
31,2020-09-06 19:00:00,Partly Cloudy,partly-cloudy-night,0.705,0.09,rain,19.82,20.52,19.82,1.0,1006.1,0.83,1.27,51,0.5,0,14.9,262.1
32,2020-09-06 20:00:00,Partly Cloudy,partly-cloudy-night,0.5178,0.08,rain,18.83,19.42,18.83,1.0,1007.4,0.8,1.19,8,0.37,0,16.093,261.8
33,2020-09-06 21:00:00,Clear,clear-night,0.3359,0.08,rain,18.2,18.66,18.03,0.99,1008.3,0.82,1.19,334,0.26,0,16.093,261.5
34,2020-09-06 22:00:00,Clear,clear-night,0.1625,0.06,rain,17.76,18.08,16.96,0.95,1008.7,0.93,1.26,328,0.22,0,16.093,261.1
35,2020-09-06 23:00:00,Clear,clear-night,0.0544,0.04,rain,17.25,17.42,15.86,0.92,1009.2,1.06,1.37,333,0.18,0,16.093,260.8
36,2020-09-07 00:00:00,Clear,clear-night,0.0212,0.02,rain,16.94,17.0,15.05,0.89,1009.1,1.14,1.43,337,0.13,0,16.093,260.5
