,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-05 12:00:00,Clear,clear-day,0.1071,0.05,rain,24.69,25.19,20.08,0.76,1008.9,1.71,2.24,230,0.1,11,16.093,263.7
1,2020-09-05 13:00:00,Clear,clear-day,0.2431,0.07,rain,25.21,25.84,21.23,0.79,1007.7,1.68,2.23,241,0.23,10,15.614,263.2
2,2020-09-05 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4459,0.09,rain,24.82,25.62,22.43,0.87,1006.6,1.58,2.11,245,0.37,8,12.486,262.5
3,2020-09-05 15:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.6266,0.09,rain,23.91,24.9,23.48,0.97,1005.9,1.46,1.97,226,0.49,5,10.25,262.2
4,2020-09-05 16:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.7445,0.11,rain,22.91,24.16,22.91,1.0,1005.7,1.33,1.81,172,0.58,3,8.859,262.2
5,2020-09-05 17:00:00,Mostly Cloudy,partly-cloudy-day,0.8104,0.1,rain,21.99,23.43,21.99,1.0,1005.8,1.2,1.63,5,0.65,1,8.425,262.3
6,2020-09-05 18:00:00,Mostly Cloudy,partly-cloudy-day,0.7435,0.1,rain,20.85,22.31,20.85,1.0,1006.3,1.09,1.48,287,0.64,0,10.129,262.5
7,2020-09-05 19:00:00,Partly Cloudy,partly-cloudy-night,0.506,0.09,rain,19.79,21.07,19.79,1.0,1007.4,1.02,1.38,323,0.53,0,14.9,262.6
8,2020-09-05 20:00:00,Partly Cloudy,partly-cloudy-night,0.2648,0.08,rain,18.77,19.77,18.77,1.0,1008.7,0.97,1.3,33,0.39,0,16.093,262.8
9,2020-09-05 21:00:00,Clear,clear-night,0.1246,0.06,rain,17.92,18.65,17.92,1.0,1009.6,0.96,1.28,31,0.28,0,16.093,262.7
10,2020-09-05 22:00:00,Clear,clear-night,0.0462,0.04,rain,17.29,17.8,17.29,1.0,1010.0,1.01,1.34,33,0.25,0,16.093,262.3
11,2020-09-05 23:00:00,Clear,clear-night,0.0101,0.02,rain,16.83,17.15,16.6,0.99,1009.8,1.1,1.45,38,0.24,0,16.093,261.8
12,2020-09-06 00:00:00,Clear,clear-night,0.0055,0.01,rain,16.46,16.62,15.52,0.94,1009.7,1.16,1.56,42,0.2,0,16.093,261.7
13,2020-09-06 01:00:00,Clear,clear-night,0.0,0.0,,16.27,16.3,14.63,0.9,1009.5,1.15,1.59,43,0.13,0,16.093,262.1
14,2020-09-06 02:00:00,Clear,clear-night,0.0,0.0,,16.2,16.2,13.94,0.86,1009.0,1.13,1.59,43,0.04,0,16.093,262.7
15,2020-09-06 03:00:00,Clear,clear-night,0.0,0.0,,16.35,16.35,13.3,0.82,1008.8,1.12,1.6,43,0.0,0,16.093,262.9
16,2020-09-06 04:00:00,Clear,clear-night,0.0,0.0,,16.29,16.29,12.79,0.8,1008.8,1.14,1.61,41,0.0,0,16.093,262.5
17,2020-09-06 05:00:00,Clear,clear-night,0.0,0.0,,16.18,16.18,12.58,0.79,1008.8,1.16,1.59,41,0.0,0,16.093,261.9
18,2020-09-06 06:00:00,Clear,clear-night,0.0,0.0,,16.22,16.22,13.05,0.81,1009.1,1.13,1.5,51,0.0,0,16.093,261.9
19,2020-09-06 07:00:00,Clear,clear-day,0.0,0.0,,17.14,17.17,14.43,0.84,1009.5,1.02,1.27,74,0.0,0,16.093,262.6
20,2020-09-06 08:00:00,Clear,clear-day,0.0,0.0,,18.69,18.88,16.48,0.87,1009.9,0.91,1.03,97,0.0,2,16.093,263.4
21,2020-09-06 09:00:00,Clear,clear-day,0.0,0.0,,20.35,20.7,18.05,0.87,1009.9,0.94,1.01,116,0.0,4,16.093,263.3
22,2020-09-06 10:00:00,Clear,clear-day,0.0154,0.03,rain,21.87,22.32,19.15,0.85,1009.1,1.2,1.31,186,0.01,8,16.093,262.0
23,2020-09-06 11:00:00,Clear,clear-day,0.059,0.05,rain,23.68,24.19,20.01,0.8,1008.4,1.51,1.74,213,0.03,10,16.093,260.5
24,2020-09-06 12:00:00,Clear,clear-day,0.1411,0.07,rain,24.92,25.52,20.9,0.78,1007.2,1.68,2.07,231,0.12,11,16.093,259.4
25,2020-09-06 13:00:00,Clear,clear-day,0.2755,0.08,rain,25.32,26.03,21.86,0.81,1006.2,1.67,2.21,246,0.28,10,16.093,259.2
26,2020-09-06 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4536,0.09,rain,24.75,25.61,22.84,0.89,1005.3,1.58,2.23,252,0.47,7,16.093,259.2
27,2020-09-06 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5859,0.11,rain,23.73,24.77,23.7,1.0,1005.0,1.45,2.13,238,0.61,5,14.097,259.3
28,2020-09-06 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6169,0.12,rain,22.66,23.94,22.66,1.0,1005.1,1.27,1.84,186,0.69,3,11.375,259.5
29,2020-09-06 17:00:00,Mostly Cloudy,partly-cloudy-day,0.5804,0.12,rain,21.72,23.18,21.72,1.0,1005.5,1.06,1.48,44,0.74,1,9.096,259.6
30,2020-09-06 18:00:00,Mostly Cloudy,partly-cloudy-day,0.5003,0.1,rain,20.54,22.01,20.54,1.0,1006.3,0.94,1.25,305,0.74,0,9.539,259.6
31,2020-09-06 19:00:00,Mostly Cloudy,partly-cloudy-night,0.3815,0.09,rain,19.54,20.82,19.54,1.0,1007.5,0.91,1.2,355,0.69,0,13.824,259.5
32,2020-09-06 20:00:00,Mostly Cloudy,partly-cloudy-night,0.2521,0.07,rain,18.58,19.59,18.58,1.0,1008.8,0.93,1.22,37,0.61,0,16.093,259.3
33,2020-09-06 21:00:00,Partly Cloudy,partly-cloudy-night,0.1422,0.06,rain,17.78,18.51,17.78,1.0,1009.8,0.98,1.29,30,0.53,0,16.093,259.1
34,2020-09-06 22:00:00,Partly Cloudy,partly-cloudy-night,0.0529,0.05,rain,17.16,17.66,17.16,1.0,1010.4,1.06,1.42,31,0.45,0,16.093,258.7
35,2020-09-06 23:00:00,Partly Cloudy,partly-cloudy-night,0.0057,0.02,rain,16.71,17.01,16.46,0.98,1010.1,1.16,1.59,36,0.36,0,16.093,258.4
36,2020-09-07 00:00:00,Clear,clear-night,0.0,0.0,,16.38,16.52,15.4,0.94,1009.5,1.23,1.71,38,0.26,0,16.093,258.4
37,2020-09-07 01:00:00,Clear,clear-night,0.0,0.0,,16.22,16.25,14.53,0.9,1009.3,1.26,1.77,38,0.16,0,16.093,258.8
38,2020-09-07 02:00:00,Clear,clear-night,0.0,0.0,,16.22,16.21,13.91,0.86,1009.1,1.27,1.8,39,0.05,0,16.093,259.4
39,2020-09-07 03:00:00,Clear,clear-night,0.0,0.0,,16.4,16.4,13.36,0.82,1009.1,1.27,1.83,38,0.0,0,16.093,259.6
40,2020-09-07 04:00:00,Clear,clear-night,0.0,0.0,,16.36,16.36,12.9,0.8,1009.5,1.27,1.85,36,0.0,0,16.093,259.4
41,2020-09-07 05:00:00,Clear,clear-night,0.0,0.0,,16.26,16.26,12.77,0.8,1009.5,1.26,1.84,35,0.0,0,16.093,259.2
42,2020-09-07 06:00:00,Clear,clear-night,0.0049,0.02,rain,16.26,16.25,13.15,0.82,1009.8,1.22,1.74,47,0.0,0,16.093,259.2
43,2020-09-07 07:00:00,Clear,clear-day,0.0,0.0,,17.14,17.16,14.35,0.84,1010.2,1.09,1.48,73,0.0,0,16.093,259.8
44,2020-09-07 08:00:00,Clear,clear-day,0.0,0.0,,18.66,18.81,16.19,0.86,1010.8,0.97,1.21,100,0.0,2,16.093,260.4
45,2020-09-07 09:00:00,Clear,clear-day,0.0062,0.01,rain,20.24,20.54,17.67,0.85,1011.1,0.97,1.16,127,0.0,5,16.093,260.0
46,2020-09-07 10:00:00,Clear,clear-day,0.0438,0.04,rain,21.67,22.07,18.79,0.84,1010.7,1.19,1.43,193,0.0,8,16.093,258.4
47,2020-09-07 11:00:00,Clear,clear-day,0.1488,0.07,rain,23.34,23.83,19.73,0.8,1009.8,1.46,1.82,214,0.0,10,14.939,256.3
48,2020-09-07 12:00:00,Clear,clear-day,0.289,0.08,rain,24.38,24.96,20.7,0.8,1009.0,1.6,2.09,228,0.06,11,11.852,255.1
